TimePoint(hpf),ClusterID,ClusterName
4,1.1,04hpf-blastocyst - EVL
4,1.2,04hpf-blastocyst - margin
4,1.3,04hpf-blastocyst - DEL
4,1.4,04hpf-blastocyst - germline
6,2,06hpf-non-dorsal margin
6,3,06hpf-non-dorsal margin involuted
6,4,06hpf-ectoderm - ventral
6,5,06hpf-dorsal margin involuted
6,6,06hpf-ectoderm - dorsal
6,7,06hpf-germline
6,8,06hpf-apoptotic-like
6,9,06hpf-EVL
6,10,06hpf-non-dorsal involuted anterior
6,11,06hpf-dorsal involuted anterior
6,12,06hpf-dorsal margin
8,13,08hpf-tailbud - PSM
8,14,08hpf-neural plate - posterior
8,15,08hpf-notocord
8,16,08hpf-endoderm
8,17,08hpf-mesoderm - lateral plate
8,18,08hpf-apoptotic-like 2
8,19,08hpf-mesoderm - adaxial cells
8,20,08hpf-neural plate - anterior
8,21,08hpf-epidermal
8,22,08hpf-tailbud - spinal cord
8,23,08hpf-prechordal plate
8,24,08hpf-apoptotic-like
8,25,08hpf-forerunner cells
8,26,08hpf-EVL
8,27,08hpf-nanog-high
8,28,08hpf-germline
10,29,10hpf-prechordal plate - hatching gland
10,30,10hpf-tailbud - spinal cord
10,31,10hpf-neural - telencephalon
10,32,10hpf-neural - midbrain
10,33,10hpf-epidermal - gbx2
10,34,10hpf-anterior neural ridge
10,35,10hpf-mesoderm - lateral plate - fli1a
10,36,10hpf-epidermal
10,37,10hpf-neural crest
10,38,10hpf-notocord
10,39,10hpf-neural - hindbrain
10,40,10hpf-neural - anterior
10,41,10hpf-endoderm
10,42,10hpf-tailbud - PSM
10,43,10hpf-mesoderm - lateral plate - cxcl12a
10,44,10hpf-neural - diencephalon 
10,45,10hpf-epidermal - foxi3a
10,46,10hpf-germline
10,47,10hpf-EVL
10,48,10hpf-mesoderm lateral plate - ripply1
10,49,10hpf-differentiating neurons
10,50,10hpf-mesoderm - adaxial cells
14,51,14hpf-epidermal - pfn1
14,52,14hpf-optic primordium
14,53,14hpf-mesoderm - blood island
14,54,14hpf-neural - diencephalon 
14,55,14hpf-tailbud - PSM
14,56,14hpf-epidermal anterior
14,57,14hpf-neural - hindbrain
14,58,14hpf-endoderm
14,59,14hpf-epidermal - foxi3a
14,60,14hpf-neural crest
14,61,14hpf-mesoderm - pharyngeal arch
14,62,14hpf-notocord
14,63,14hpf-epidermal - otic placode
14,64,14hpf-mesoderm - heart field
14,65,14hpf-differentiating neurons - rohon beard
14,66,14hpf-mesoderm - lateral plate - cxcl12a
14,67,14hpf-neural crest - crestin
14,68,14hpf-neural - midbrain
14,69,14hpf-mesoderm - pronephric duct
14,70,14hpf-neural -  floorplate
14,71,14hpf-germline
14,72,14hpf-hatching gland
14,73,14hpf-periderm
14,74,14hpf-mesoderm - endothelial
14,75,14hpf-tailbud - spinal cord
14,76,14hpf-neural - telencephalon
14,77,14hpf-lateral line primordium
