Xpos,Ypos,TMS,C1S,VCL,GAPDH
71.4656669297553,488.634569850039,266,1,6,433
124.312556869882,625.370033363664,509,11,17,1030
161.812925170068,461.180272108844,377,1,11,483
417.590732224973,732.266713830916,207,2,12,735
499.741090909091,724.266181818182,116,3,12,440
567.136190992946,198.144872490505,202,5,13,631
606.471153846154,112.01467611336,62,0,3,304
609.165688487585,305.322799097065,152,4,2,521
777.492767598843,50.1629701060752,84,3,7,525
809.286296900489,425.607259380098,102,7,9,399
883.801002820432,928.162644938891,309,7,35,1058
954.934355828221,114.51472392638,162,1,4,590
1112.98944405348,313.74759558996,357,5,14,761
1102.61296162201,488.795076031861,228,3,4,562
1125.80337941628,57.6395289298515,87,1,0,286
1192.55627131489,915.627889352027,112,2,11,624
1287.64699162224,448.659558263519,164,4,18,626
1397.65265571265,565.918609094383,170,5,18,569
1488.73515715949,28.6705471478463,158,0,12,389
1702.70979228487,194.604747774481,241,8,6,486
1773.34857450242,101.362022592792,117,5,12,445
1896.87786259542,151.752789195537,334,6,8,391
1999.13926106374,298.204628501827,249,7,5,308
1996.93551054155,198.711037618851,466,12,12,534
2448.15745483958,863.839579401456,250,2,12,659
2576.06341250817,253.587273915886,483,3,45,723
2594.73015267176,568.66679389313,197,9,7,444
2676.11045909562,106.797031411805,96,0,8,300
2763.98940809969,81.4504672897196,74,0,4,265
2792.66244573082,904.437409551375,104,2,11,448
2895.11666851503,538.293667516912,302,27,44,879
2883.42199488491,35.5648976982097,259,3,16,589
2892.91361702128,395.684680851064,185,7,35,663
3129.01544860368,642.320855614973,103,5,14,578
3195.13071348941,443.172798216276,475,63,42,1275
4362.59622514324,863.90765082575,126,13,10,324
4361.34344569288,105.802247191011,144,5,15,678
4490.37716615698,529.645939517499,207,1,2,429
4496.252681764,215.445371473977,75,2,9,529
4515.05692108668,341.143919793014,114,1,9,510
4607.4952137843,96.1805998723676,109,0,3,438
4674.75363372093,55.2005813953488,191,3,9,600
4694.09499358152,1017.72528883184,122,3,7,500
4705.82337662338,1087.6161038961,8,1,0,39
4841.53781662504,322.421512665002,366,8,17,872
4860.04802561366,933.582977588047,191,3,3,680
4986.81350114416,655.70795194508,121,0,13,605
5005.64245149077,884.476573592049,104,1,10,561
5123.73620047409,423.310870301388,154,3,6,410
5147.00223499361,310.140485312899,248,9,14,958
5189.92802056555,924.550128534704,101,0,7,479
5291.434375,151.485416666667,197,5,5,743
5365.41251093613,663.472440944882,384,2,6,756
5386.67302941837,547.07994610375,413,4,17,1071
5548.80572933816,384.158379980244,231,5,9,715
5651.84823225065,144.531187122736,357,6,23,969
5697.52048403557,687.104679982505,541,5,29,1013
5822.18753117207,546.954114713217,255,2,17,592
5868.54760341431,20.0702560735391,238,15,9,757
5969.56503150315,640.525202520252,609,3,35,1113
6201.12664473684,214.571271929825,362,6,15,715
6226.41842937029,402.456114758084,294,5,32,881
6506.84869809993,532.35327234342,296,3,10,804
6539.9337273111,711.792739552554,174,5,4,498
6590.21832979476,631.79440905874,124,1,10,405
6659.5107587769,905.968289920725,330,0,9,597
6642.09099772506,494.068248293793,242,5,11,762
6695.18440046566,273.811175785797,516,8,37,1536
6715.15005359057,694.141121829225,84,0,6,385
6802.14492955782,552.323057609151,358,4,28,1045
6780.0266591038,77.4696539988656,151,0,3,543
6786.79269729093,861.204554377699,135,2,2,483
6797.22911437791,730.158479741843,80,0,5,390
6923.31328910764,346.614166488337,315,4,31,811
6948.85,874.701052631579,142,1,9,508
6978.21111846459,163.645929847783,291,4,13,766
7093.41909090909,564.085909090909,232,1,7,774
7112.3978393612,780.571160169093,135,3,8,502
7179.74128686327,346.152479892761,159,4,7,683
7240.34192570129,134.118271417741,138,5,17,909
7248.30143777888,529.214675260288,160,0,7,691
7348.82180685358,654.431464174455,103,4,3,545
7552.01773323053,175.8400154202,182,10,11,498
7562.16079295154,759.563436123348,131,5,8,447
7622.70587455245,486.032621668214,270,4,39,766
7796.95413260672,510.159854677566,229,0,6,568
7802.67471698113,623.043773584906,148,3,8,526
7899.54633982539,828.401611820013,136,4,11,515
7928.52368866328,133.916666666667,141,4,12,415
8140.50771128933,99.4756323257249,184,2,8,721
8163.8100286533,574.412893982808,454,20,26,1401
8289.90471092077,174.082976445396,317,6,15,1245
8339.97995805174,535.075506874854,169,3,4,444
8372.43369651874,429.77039596067,109,4,8,352
8360.36025732666,536.917441029307,40,0,2,117
8377.76738609113,427.11690647482,119,3,6,379
8406.10010649627,249.502129925453,107,5,7,478
8476.80021933833,905.793456406507,75,3,4,368
8468.55569514238,189.979061976549,155,7,4,654
8488.158105939,831.019261637239,66,5,6,376
8505.8322147651,75.1581975071908,185,5,9,915
8596.9959742351,885.668276972625,80,2,4,494
8762.98372781065,586.323668639053,253,19,28,750
8903.2634235888,40.6603946764571,85,3,5,498
8937.16144200627,283.090517241379,174,5,3,529
9031.86759285512,207.703147150553,151,5,21,701
9050.97623924621,455.129045473167,100,1,15,463
9112.8506086315,690.512357063814,155,1,11,541
9297.28629579376,55.554500226142,107,3,10,514
9368.09756097561,448.580158947657,169,0,12,415
9644.23156836461,361.846179624665,345,1,12,634
9683.78435305918,557.163156135072,227,4,8,584
9712.52834964563,844.008774890314,788,7,53,1067
9744.07971014493,236.342443064182,300,4,13,694
9784.58613569321,102.46784660767,108,2,14,506
9825.26041179223,450.49438465138,228,7,4,501
9904.30202578269,716.662523020258,324,4,9,775
9948.12448474856,400.310799670239,221,3,15,668
9973.41266375546,937.55058224163,82,5,11,334
10091.2798955614,498.392167101828,45,4,9,404
10203.5488442328,179.35091183645,364,7,10,1153
10290.1051752922,677.24774624374,59,2,3,405
10515.3230543319,496.935389133627,117,4,2,424
10533.7025019547,230.129788897576,471,8,19,963
10548.1347517731,341.052982895286,303,4,12,592
10596.4670790985,417.05125939019,70,0,0,367
10758.5894996476,937.662790697674,187,2,6,881
10811.5878462174,277.09011988425,317,7,14,1032
10937.7237142857,463.431714285714,461,1,14,1267
10940.7645580226,609.627147046502,275,2,15,1002
11020.599258071,620.549629035492,520,8,43,1565
11247.8385312351,529.156032427277,694,27,36,2487
11491.6570576541,776.512922465209,291,9,11,1198
11546.4285714286,392.675408824437,126,4,8,476
11734.3269230769,22.9331730769231,95,2,5,758
11764.557063541,519.329734731647,235,6,15,852
11853.5378400215,829.771343926744,214,4,11,833
11903.1459645106,147.5314825415,264,1,31,1449
11991.9434208807,429.179668104012,339,2,26,1311
11988.372978959,890.416389811739,111,1,7,754
11981.8007411631,632.459236031927,218,2,28,774
12125.6881906077,433.427831491713,362,12,11,874
12225.5872252747,750.027644230769,285,1,11,927
12344.3066213922,326.693039049236,283,5,6,554
12371.4674724493,579.877355136865,251,1,11,652
12471.806465899,673.270593445527,207,2,1,576
12497.4013539652,273.339458413926,299,3,10,674
12590.6760736196,520.312883435583,123,2,6,415
12602.1197424893,658.196995708155,246,0,8,659
12753.0037365717,503.097617935544,196,4,2,624
12760.5246861925,364.379079497908,159,2,10,499
12799.5203431373,659.962990196078,144,0,7,509
12846.6943859649,777.235438596491,128,1,5,439
