Xpos,Ypos,EGFR,PDGFRB,FOSL1,GAPDH
97.036410617806,345.013859525487,122,3,15,891
202.719037508846,958.032554847841,55,0,0,308
261.496571988247,92.3457394711068,25,0,3,249
289.693441789527,856.804778851042,57,0,3,252
319.176511466296,777.749131341209,20,0,2,123
371.285983954696,130.04577630958,52,3,16,342
548.26008492569,833.186836518047,33,1,3,351
633.378563283923,102.46921322691,15,0,1,216
630.080056179775,632.630617977528,30,2,0,326
685.363690476191,752.9,38,1,3,328
701.743226600985,837.158866995074,39,0,6,279
754.975226586103,107.666465256798,25,1,5,292
806.175,818.026111111111,48,1,8,332
844.94801980198,140.867161716172,8,0,3,287
869.715045188729,844.729930887826,28,0,1,262
880.905497501136,416.374375283962,43,1,6,386
979.411237016053,954.882908404155,54,0,1,234
1174.12401960784,409.813235294118,31,1,2,234
1192.55859969559,492.019786910198,22,0,0,208
1274.38505747126,19.5040229885057,23,0,7,278
1290.16052227343,277.008064516129,17,0,12,287
1332.30952380952,587.386054421769,37,0,2,221
1413.87658227848,140.335443037975,45,0,4,247
1438.82394366197,341.71963028169,24,2,12,276
1453.8403699236,502.270205066345,34,0,7,364
1565.18389694042,631.682769726248,67,1,5,422
1580.26642771804,317.97311827957,38,0,4,233
1593.41785525621,194.739566825145,13,1,3,425
1620.91089965398,445.81660899654,37,0,8,392
1651.80835569184,837.469145266386,70,0,2,412
1659.19860279441,710.98003992016,80,0,10,504
1683.25220070423,539.616637323944,26,2,14,335
1688.07510885341,332.603773584906,59,1,3,394
1729.8504356244,825.013552758954,55,0,0,346
1753.13209346686,226.50309966619,19,0,7,484
1785.74306502956,762.582082764893,78,0,7,354
1796.61798753339,537.202582368655,58,0,4,466
1859.03171726325,388.012233801541,29,0,5,451
1860.9500998004,882.020530367836,114,0,3,466
1867.08980089395,646.902478667208,23,0,9,358
1864.00696202532,720.826582278481,23,0,2,136
1889.68207126949,177.662026726058,4,0,2,352
1939.52937976061,22.1311207834603,25,0,1,412
1957.81324701195,720.839143426295,35,0,9,234
1978.79665379665,620.908193908194,65,0,0,287
1981.53905946366,881.706179556937,66,0,0,341
2000.47134356405,288.413404321954,51,0,0,457
2011.24794952681,523.885804416404,48,0,8,312
2032.16431654676,405.007482014388,60,1,2,436
2067.03440793552,802.225356478611,62,0,3,362
2070.01956947162,156.00626223092,24,0,2,495
2098.01974723539,501.528436018957,28,0,4,282
