Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH
30.8558875219684,725.126537785589,4,13,4,166
93.5362595419847,917.296564885496,3,70,11,416
217.724384148518,794.450553373795,3,10,22,301
242.142317380353,475.870780856423,4,63,43,394
356.037093690249,639.747992351816,0,65,12,452
364.910328638498,726.115023474178,2,21,5,208
470.968985378821,244.051395657953,6,46,21,473
724.41393631749,665.827872634979,5,75,0,364
758.743987172635,942.578300374131,2,17,4,270
1033.11473004695,467.179284037559,3,26,24,514
1045.51188537936,670.477694562032,4,31,17,340
1239.43392165303,890.875161429186,1,24,9,217
1419.57279327474,277.314100114635,1,57,30,413
1475.39848556555,849.366777094179,1,42,4,259
1476.99702507437,156.733531661708,3,51,39,541
1569.96391339214,48.9827586206897,11,40,18,481
1701.14479127492,323.283565250094,2,73,10,405
1821.54784688995,751.413875598086,4,28,29,174
1844.3700234192,686.117096018735,0,26,28,149
1940.3500952381,926.470095238095,9,19,17,401
1940.66361365529,139.175270607827,1,36,2,269
2071.7250293772,955.679592636114,3,34,17,438
2192.57708950125,295.571396037349,2,90,61,817
2779.68720260456,501.419233658903,4,94,57,553
2945.9914000688,779.258685930513,3,20,12,233
3017.65441176471,76.8684640522876,7,23,17,315
3331.45678233439,902.985488958991,0,31,44,338
3835.25370418508,201.135430205355,6,72,44,403
3848.57305502846,17.7046173308033,1,15,19,174
4106.66079812207,163.019561815336,7,63,20,448
4217.7280772325,884.402252614642,6,103,6,436
4259.76577540107,522.875935828877,5,53,56,577
4401.7100219058,610.046549835707,5,61,41,389
4576.97443609023,600.364912280702,4,29,4,197
4677.44583008574,835.806313328137,1,3,6,311
4884.22823618471,96.2755488266465,2,51,42,284
4967.44384753134,673.007418777181,9,116,30,629
4963.77959028832,274.710925644917,6,54,7,275
5101.15757575758,770.386776859504,2,38,22,469
5246.53807703617,850.360188179947,10,29,30,421
5360.32204913122,533.699520671061,5,114,21,486
5414.21522756274,914.121650361548,9,34,22,374
5418.65565075479,334.274581803346,3,30,5,265
5432.91232696111,697.250823994726,10,60,32,642
5516.16759517177,384.823119777159,8,35,12,321
