Xpos,Ypos,EGFR,C1S,VCL,GAPDH
1217.24517635492,673.632911392405,1,33,6,128
2192.78747361013,428.07881773399,2,2,2,29
3336.45429633979,49.418281464083,6,120,16,150
5525.81922557407,212.50945520036,8,152,31,266
5632.35509285312,379.988369911836,5,68,9,99
5874.66507177034,391.729465709729,1,52,4,86
6018.64288702929,260.559205020921,8,91,22,89
6394.3873293845,189.978496008241,43,244,105,673
8078.64481094127,258.23572003218,1,50,5,52
8780.28370554177,146.754342431762,0,51,3,173
10505.7209832329,98.4380595800098,0,0,0,4
10452.0884229717,57.2547857793984,0,0,0,7
10548.0183798502,130.822668481961,0,0,0,5
10572.6086032926,330.587360594796,3,10,0,19
11028.0619877049,108.986680327869,12,18,9,34
11433.877124183,938.985620915033,0,5,0,36
11452.5337552743,219.808016877637,6,12,5,49
11476.8185140073,908.540803897686,0,0,0,20
12773.6255678131,358.64892926671,3,12,7,135
13003.3765964791,716.204004142216,0,8,0,49
13029.7148148148,299.792901234568,0,13,5,104
13293.9471092468,528.256064198432,2,55,11,318
13786.7811334825,361.868754660701,1,69,8,178
13835.4700887688,158.311848707063,1,25,3,136
13907.7592717465,251.768037761295,0,21,4,64
14749.0769230769,33.4081976417743,2,39,7,141
15262.0800233645,363.817562305296,1,31,5,199
15414.4625343272,302.852687328364,28,65,43,261
15582.1850699844,846.605598755832,4,16,1,81
16182.531064111,734.158625247852,3,14,2,81
16236.1066838046,891.291345329906,0,7,0,58
16725.6093862816,438.753068592058,0,25,8,87
16767.7704002482,930.932671424139,0,7,2,70
16849.064940085,126.086586780054,1,51,5,113
16871.5314793357,679.752800309,2,10,4,40
16963.5078683834,851.916309012876,0,9,3,30
17246.0004024145,146.170221327968,0,111,15,164
17444.9670646357,890.064223960478,12,39,8,119
18994.9523151348,717.549412577747,1,25,6,124
19111.0581516096,937.106265143648,2,12,5,109
19193.9939186621,671.599201824401,3,20,4,136
19268.7163796262,68.1194576768047,5,36,4,157
19308.5617950564,959.44372450204,3,14,7,140
19338.4613368283,474.671035386632,0,15,4,107
20017.500966744,759.626256767208,1,59,7,342
20906.2390424815,685.145987862441,1,35,1,125
21137.6084879146,593.144744238336,6,73,5,143
21753.4847524752,616.726336633663,0,9,4,125
22778.5181308411,246.442242990654,0,57,3,140
22862.0529619459,756.114554727344,0,63,4,134
23694.4492065846,682.717039893223,1,12,7,53
23689.5414156627,564.685052710843,5,35,13,79
