Xpos,Ypos,TXNRD1,EGFR,LOXL2,GAPDH
86.2095363079615,149.582239720035,67,0,0,377
142.991800356506,198.360427807487,59,0,0,288
201.553322395406,849.508613617719,9,0,0,131
211.605463502015,726.69144648455,10,0,1,180
243.036578171091,121.789970501475,33,1,0,401
241.071536144578,323.676204819277,70,2,0,345
288.424349881797,595.375,48,2,0,393
291.5380859375,772.48681640625,9,2,0,203
392.819532120312,536.304864463424,19,0,0,284
398.10269058296,79.9071748878924,58,1,0,788
450.461365678347,656.550763701707,9,2,0,326
514.002688172043,406.551075268817,20,1,1,278
576.850910834132,901.111217641419,18,0,1,293
607.314374353671,464.092295760083,60,1,0,455
670.729743331656,552.874182184197,27,0,0,325
667.524056254626,644.913397483346,34,1,0,574
701.473296500921,261.069981583794,96,4,2,944
800.841031149302,928.035982814178,18,0,1,299
860.287803873094,463.348166460651,85,2,0,650
887.830759330759,677.953024453024,32,1,0,531
929.563993627191,606.329792883696,34,0,0,437
954.217469608285,784.386762719496,0,1,0,174
1334.22244720856,949.487127567255,18,2,1,210
1004.75565964091,129.751756440281,76,1,1,679
1007.95531914894,210.990780141844,84,0,1,638
1010.4,837.244,5,0,0,168
1102.45518380834,510.347790169352,9,0,0,262
1136.86424918643,167.194793119479,8,0,0,223
1190.42457805907,753.971518987342,3,0,0,212
1242.42702967869,532.822173166544,17,0,1,306
1233.74102239121,290.934093789607,9,1,0,211
1262.4775862069,788.466091954023,4,0,0,213
1268.43418013857,85.3464203233256,14,0,0,192
1343.12445673647,950.26866851047,14,1,1,156
1391.62140077821,412.34046692607,33,1,0,364
1391.89946902655,220.268318584071,10,2,0,230
1496.54422927963,688.105344694036,55,2,0,752
1518.47242026266,43.2337711069418,24,3,1,288
1654.32463672391,523.410832232497,39,4,2,863
1650.36401869159,330.385046728972,27,8,1,303
1688.32407073259,671.668711656442,26,2,0,603
1884.8912090745,704.970095385409,40,0,0,392
1885.05002174859,273.876903001305,6,2,1,73
1903.74563185697,876.786265745632,5,0,0,132
1938.14188163885,137.373672230653,23,9,1,5
1964.29555084746,37.7092161016949,20,1,1,26
1970.65357737105,780.045923460899,13,0,0,0
2083.27972270364,426.197227036395,33,1,0,40
2116.82910388581,255.985725614592,47,0,2,8
2270.07587382779,641.574168797954,8,0,0,0
2330.27729885057,799.420498084291,2,0,0,3
2400.03053435114,445.095218963439,43,0,3,38
2593.88388746803,104.448081841432,72,7,0,37
2782.78666035951,914.055818353832,11,1,0,146
2825.41495864797,821.654440848616,14,0,2,267
2972.43786191537,294.233407572383,49,0,2,483
3071.00274254371,130.345903325334,46,0,2,722
3143.60746210649,596.235911387485,49,0,2,434
3175.66695242177,443.880840120017,37,0,0,273
3200.88481675393,706.8256141764,20,0,6,343
3245.09114448472,568.262040393578,13,0,0,213
3335.93658536585,265.738536585366,41,5,11,303
3356.29809310151,172.076556365676,130,2,4,785
3395.6623952686,542.107442089699,28,0,0,320
3470.01656238498,159.106367316894,42,2,2,429
3486.14615384615,60.8570850202429,41,6,39,422
3643.12666894899,492.167066073263,68,2,16,718
3636.54515050167,60.3953177257525,47,1,4,483
3647.86010891763,702.956432947583,47,0,6,406
3704.91851626634,446.657646701125,35,2,2,384
3895.18133839983,784.598902258814,14,0,6,118
3932.37072892938,73.7653758542141,19,5,2,180
3955.70869117142,315.054276880797,12,1,4,437
3997.73744939271,182.747368421053,38,0,4,493
4031.74411508282,793.651700087184,18,0,0,102
4080.10929319372,60.6420157068063,12,4,2,204
4112.48468158348,444.890877796902,18,0,2,252
4166.43773905652,556.130896727582,101,0,1,790
4306.00169014085,852.586478873239,8,0,0,161
4423.07247223846,343.869082407949,29,4,2,280
4436.42229508197,127.309508196721,24,0,0,325
4470.67596153846,40.4144230769231,38,0,1,321
4480.033632287,915.074887892377,29,1,0,339
4489.10127478754,346.402266288952,11,2,2,174
4531.09519934906,297.174125305126,13,1,0,272
4660.95128330881,775.319764590486,33,0,5,242
