Xpos,Ypos,NGFR,AXL,LOXL2,GAPDH
9075.96993557624,40.7924123120974,0,0,0,122
9332.80663430421,102.417475728155,8,4,0,56
10029.661965812,499.940598290598,1,3,0,4
14931.6425233645,1440.73598130841,0,1,0,0
18445.0022205773,687.772020725389,0,0,0,67
22198.9821200511,1267.81928480204,0,0,0,82
22239.5414364641,1335.14048934491,0,1,0,81
22306.6914359305,1385.4206052801,1,0,0,156
23833.8189683317,1362.47845249755,0,0,0,57
23841.0234817814,1409.13360323887,0,0,0,43
24055.4280715397,1186.56959564541,1,0,0,88
24301.3337139595,1291.34934341993,0,0,0,69
24246.6586190246,1433.04394012554,0,0,0,189
24459.6588477366,1153.94650205761,0,0,0,21
24622.5366297338,1379.65288572846,0,1,0,37
24635.8010432191,1016.7086438152,0,0,0,55
24655.2561307902,1231.80472297911,0,0,0,12
24740.4058979457,1233.3015241882,0,0,0,24
24743.3285158421,1349.65369649805,0,0,0,13
24884.1784390342,1052.15749924857,2,1,0,125
24823.523107178,1409.06637168142,0,0,0,8
25155.3033707865,994.210674157303,0,0,0,30
25309.1117717004,1305.52318668252,2,0,0,58
25326.0855920114,997.717546362339,0,0,0,10
25442.8512820513,913.949450549451,0,0,0,89
25520.2530390275,953.709852847089,0,0,0,98
27402.2523598001,1316.04691837868,0,0,0,12
27583.98950555,1226.84228052472,0,1,0,100
27779.5352968677,1300.98831229547,0,0,0,237
28249.7333722287,1422.15169194866,1,2,0,18
9278.8,1405.07449392713,0,0,0,16
10640.7389714843,1130.31123568121,4,5,0,248
11863.0714865963,1698.49553208773,3,2,0,26
16170.2423887588,1906.53532396565,0,0,0,174
16254.5226932668,1966.11221945137,0,0,0,108
16353.8600767321,1692.34439178515,1,1,0,211
20108.4275362319,2278.11371237458,0,0,0,221
20187.5907843137,2292.29176470588,0,0,0,219
20492.7914336179,1904.53547247571,0,0,0,409
20626.3425707547,1928.60436320755,0,0,0,203
20682.2058823529,2037.72152690864,0,0,0,30
20687.2932783222,2235.62197008767,0,0,0,114
20676.6260370134,2328.73197192087,0,0,0,22
20681.6337349398,2028.18209982788,0,0,0,66
20803.7971808927,2249.20281910728,0,0,0,31
20894.876989724,2190.40318355833,0,0,0,7
20841.7571168989,1926.14778921866,0,0,0,65
20885.6456400742,2096.19109461967,0,0,0,30
21047.0595611285,1935.96836705614,0,0,0,87
21020.1892274982,2192.07087172218,0,2,0,7
21093.8859887242,1843.89120902067,0,0,0,115
21156.230022831,2307.61872146119,0,0,0,21
21293.7788340285,1878.69822485207,5,0,0,257
21228.9404915912,2237.35640362225,0,0,0,18
21250.2018218047,2020.88357529177,10,1,0,107
21324.8333997609,2098.35047163545,1,0,0,48
21348.1127126654,2314.09239130435,2,1,0,149
21449.1918053438,1683.84412915203,0,0,0,280
21457.720978657,2372.50598646538,0,0,0,21
21499.0242787775,1865.04512996287,5,0,0,129
21898.435510338,1791.99376435839,0,0,0,30
21554.778559464,1682.62780569514,2,1,0,143
21561.3146569225,2322.20889159562,2,1,0,33
21636.6026835632,1862.73127096534,1,0,0,25
21634.4877650897,1608.87194127243,2,0,0,211
21657.4603174603,2268.225,3,3,0,40
21671.7404109589,1688.61335616438,0,0,0,88
21917.6175635219,2273.9960466723,0,0,0,62
21762.3872858431,1558.22587917042,2,3,0,123
21746.9770908087,1826.7435826663,0,0,0,47
21774.8666896314,1670.15552876335,3,0,0,78
21780.3644102148,1905.70085123632,0,2,0,19
21789.5884758364,2203.2873605948,0,0,0,21
21821.1714077316,2007.63165572575,0,2,0,1
21884.5240232313,1494.59266103485,12,8,0,353
21889.0433228181,2156.56466876972,0,0,0,101
21873.0767760433,1694.52787511946,1,3,0,67
21918.7563652327,1778.72080772608,2,4,0,68
21957.4450480568,1880.58963643962,1,0,0,80
22007.9647480033,2399.57752685211,2,0,0,37
21995.4997969955,2326.68047097036,1,2,0,16
21997.3312672176,1592.90863177227,2,0,0,103
22053.3572748878,1811.54660681278,0,0,0,21
22053.309076982,1684.59479126771,0,0,0,151
22083.2305670297,1558.82350732257,0,0,0,143
22115.2429135887,1348.29634083491,1,0,0,183
22143.5343065693,1936.14452554745,0,0,0,56
22189.406062425,1627.18262304922,2,2,0,106
22136.5801282051,1746.08525641026,0,0,0,5
22210.9198259789,1265.96706028589,0,0,0,49
22213.0031941593,2315.29203741729,0,0,0,44
22181.6203125,2371.45625,0,0,0,34
22297.629885587,1373.0407740152,0,0,0,87
22245.4577963918,1842.11469072165,0,0,0,140
22234.6207219878,1923.75011720581,0,0,0,55
22257.5020213157,1534.92870268284,1,0,0,77
22260.233463035,1776.94708171206,0,0,0,19
22293.8239486814,2121.50890947969,2,4,0,2
22367.8795097532,1585.33557742103,1,1,0,140
22310.5188854489,2392.99442724458,0,0,0,17
22363.356438647,2274.28044896102,0,0,0,6
22332.7737321196,1775.51300390117,0,0,0,65
22342.4678243105,1714.2379979571,0,0,0,19
22333.8367617784,1474.3497013935,2,2,0,77
22356.5574037834,2079.32257012394,0,0,0,21
22398.6807138572,1876.62342531494,0,0,0,129
22368.6024371668,1217.03198781417,0,0,0,41
22410.354705274,1280.30765253361,0,0,0,101
22400.9585749793,1746.61557580779,0,0,0,73
22425.3805246137,1476.60007186489,5,3,0,105
22532.5334379906,2237.2103610675,0,0,0,1
22651.0064464142,2378.43567015847,4,0,0,1
22810.0151515152,2390.01818181818,0,1,0,56
22809.344005227,2306.24534465861,0,0,0,14
22891.4064282011,2236.06272680145,1,0,0,45
22525.3495054169,2259.20348563354,0,0,0,1
22542.2203274216,2205.36084583902,0,0,0,1
22709.0965189873,2318.85522151899,0,0,0,9
22759.2155625657,1997.48825797406,0,0,0,25
22810.027946343,2343.81619290961,0,0,0,34
22883.9902745995,2234.71796338673,1,0,0,27
23028.8579668349,2013.02919971161,0,0,0,76
23165.6880841121,2033.60806074766,3,0,0,58
23302.2418945588,1935.03298562165,0,0,0,35
23279.1401834862,2191.49871559633,0,0,0,69
23309.40649259,2024.85862150082,0,0,0,79
23401.6041666667,1565.50908119658,0,0,0,25
23438.3581288344,1720.99156441718,0,0,0,34
23477.8328545312,1781.57769652651,7,3,0,103
23589.3028021748,1571.89728147219,0,0,0,181
23568.5069474598,1843.23729917499,0,0,0,61
23475.2872968981,1527.06720827179,0,0,0,65
23515.4288398309,2319.66932832316,0,0,0,121
23715.9570902394,1923.90662983425,0,0,0,81
23849.0919866014,1907.25715021902,1,0,0,136
23842.4817032601,1409.03526280772,0,0,0,82
23474.5839717148,1624.13789039481,0,0,0,83
23563.5801444043,1845.67238267148,0,0,0,67
23627.7984969996,1624.94632942628,3,1,0,122
23503.0373443983,2235.49502074689,0,0,0,50
23562.5194709772,1096.71124173402,0,0,0,65
23570.7146702557,2223.36944818304,0,0,0,63
23567.2906894101,1151.52665245203,0,0,0,13
23817.4383067578,1885.36946342698,0,0,0,58
23838.2349386989,1367.07438258931,0,0,0,74
23748.2193897258,2010.56237929703,7,0,0,89
23735.4764991896,1449.60669908158,0,0,0,102
23890.3608686242,1552.91357044946,0,1,0,243
23794.3143359277,1795.34898317851,0,0,0,116
23806.2318162484,1703.3696299447,1,0,0,111
23833.7400199601,1635.44261477046,5,0,0,85
23873.5447827372,1223.0446349394,1,0,0,101
23970.3282602991,1694.76830228287,0,0,0,129
23953.7171232877,1616.24863013699,1,0,0,73
24058.8588466579,1863.43446920052,0,0,0,146
24192.3533280974,1466.41910465345,0,0,0,40
24036.9304769604,1314.26879547292,1,1,0,190
24062.7049489989,1732.51341140914,0,0,0,66
24087.7539737388,1165.94574982723,0,0,0,48
24111.0009356725,1616.46385964912,0,0,0,101
24116.2322366918,2085.09721270276,0,0,0,184
24104.449339207,1935.42621145374,0,0,0,101
24321.289530006,1318.62884170876,0,1,0,100
24137.8765206813,1379.02311435523,0,0,0,170
24186.6280775275,1706.4669984285,0,0,0,130
24217.1177658143,1920.77557200538,1,1,0,129
24238.0045561434,1193.75734861846,0,0,0,129
24213.6535369775,1561.92926045016,1,0,0,183
24282.0613513514,2140.55459459459,0,0,0,205
24256.058630394,2233.32833020638,1,0,0,142
24334.4548554485,1722.96538176427,0,0,0,137
24325.4087277197,2003.88076213891,1,1,0,177
24348.4816,1084.3984,0,0,0,116
24397.0649616368,1918.76163682864,0,0,0,46
24420.1909610575,1671.95855662737,1,0,0,127
24458.9091173055,1151.3093786295,0,0,0,20
24484.1083504098,1804.64267418033,0,0,0,14
24859.5882352941,1357.90866873065,0,0,0,50
