Xpos,Ypos,CYR61,NGFR,LOXL2,GAPDH
124.45852749301,1175.65424044734,0,2,1,38
141.223408989764,1108.60436137072,0,1,1,82
229.899021663173,321.343640810622,3,1,8,122
262.490412739682,645.38414039649,8,2,1,66
296.1448128993,551.879525403103,6,2,2,66
316.125336927224,420.350673854447,1,0,5,34
362.901060630046,279.332594586038,7,0,6,124
404.346564195298,523.189059674503,5,0,4,65
397.206763122476,686.034152086137,5,2,11,78
469.868380062305,289.318535825545,0,0,1,52
502.959901800327,495.386661211129,0,0,9,124
550.018556041378,391.871814013011,1,0,5,74
525.922161390145,610.817900499881,2,0,11,91
534.115761935906,786.048070634402,0,0,0,24
553.113685734975,258.210716871832,0,1,3,64
601.664319909885,554.290903970713,0,0,4,63
640.26046074283,472.965679360602,0,0,10,67
648.190927555856,392.68855788761,0,0,8,80
687.861031927024,676.080815279361,0,0,15,106
989.83801980198,825.606732673267,0,0,13,112
1028.68099808061,909.413051823416,0,0,7,110
1096.28236980411,283.146679407549,0,4,4,206
1092.30015491867,400.424477149497,0,0,8,149
1201.67170524327,825.120689655172,1,1,5,110
1232.45543584721,700.116552399608,0,0,0,52
1275.97406896552,215.012137931034,10,0,0,154
1293.33333333333,881.467105263158,0,0,8,261
1458.14746543779,852.247926267281,0,0,2,116
1493.14530993561,741.735891932837,11,0,3,241
1555.96334586466,505.107142857143,0,0,0,88
1556.00044702727,322.409476978096,0,0,3,83
1665.65581591132,886.232636452925,3,0,3,221
1625.45389249305,386.428869323448,1,0,9,214
1705.78407407407,499.645925925926,1,0,3,161
1757.15757344525,341.215185043876,5,1,5,176
1796.70177587263,547.165339865279,0,0,1,100
1834.30518617021,231.751994680851,10,1,4,240
1852.79814459373,450.47216890595,1,2,4,119
1961.45894736842,570.992421052632,2,0,0,63
1945.81447734751,572.008352315869,3,0,2,63
1898.55633333333,834.979,0,0,7,122
1929.6383480826,328.468436578171,6,0,0,113
1955.8455399061,245.995305164319,11,0,4,360
1944.10379550736,1024.75677769171,0,0,1,75
1971.46996124031,446.098352713178,0,0,8,261
2025.69005524862,565.646408839779,2,0,1,122
2067.15769308328,349.09155071587,7,0,8,224
2133.45147969718,279.575705437027,11,0,2,254
2159.40061565523,646.936675461741,1,0,3,117
2189.27296,466.6456,1,0,6,284
2257.99726252395,571.26799890501,2,0,5,160
2321.28015122873,285.297920604915,24,6,13,572
2327.52901543143,49.1958269941317,21,1,5,483
2292.94274432379,484.930898321816,3,0,4,129
2399.82049439494,464.499568841621,6,0,9,248
2401.15092478422,686.217755856967,8,1,13,180
2426.16138763198,769.058823529412,0,0,5,63
2568.44347012744,320.815678709225,14,0,4,350
2481.13502398903,93.8498115147361,33,3,15,753
2503.17320354996,901.600343544231,0,0,3,91
2560.32499232422,679.837120049125,1,1,11,170
2527.18962386511,802.509208819715,3,0,3,133
2588.59135977337,197.523725212465,3,1,5,191
2622.91080180357,84.525975298961,19,0,11,514
2625.58148710167,909.847647951442,1,0,6,81
2675.29012036108,497.128385155466,1,0,12,261
2702.3220754717,649.852452830189,1,0,8,231
2730.16964285714,142.172805059524,2,1,4,354
2723.07293666027,840.994881637876,2,0,2,139
2732.5530098832,18.7879604672057,17,0,3,213
2729.54596935376,925.757161892072,0,0,1,27
2757.2208854668,532.564966313763,2,0,6,151
2842.91746378792,833.221371959552,0,0,2,86
2856.58287108942,541.448413578877,1,0,11,137
2834.44593528019,637.58681925809,1,0,3,76
2915.07617774808,380.697627798196,2,0,3,103
2957.76482434549,210.5627657194,2,0,5,222
2948.01324503311,600.008071192053,5,0,11,173
3036.5043409629,909.024861878453,0,0,8,131
3051.26679192109,279.75951150775,1,2,1,140
3097.25964704889,801.071012412395,0,1,39,355
3081.55128525081,601.098327926129,2,0,7,113
3080.59955947137,391.063876651982,2,0,1,108
3161.43979812545,286.264780100937,3,0,5,154
3189.13436967632,552.761286201022,0,2,13,128
3172.22478632479,656.85811965812,2,0,3,56
3255.46275605214,332.47905027933,1,0,0,111
3258.37458471761,397.687707641196,18,0,3,53
3299.73247160204,883.548766157462,2,0,0,53
3319.74942704354,459.225362872422,2,1,2,47
3353.08379458795,730.15344403444,2,0,6,123
3332.66617538688,361.585482682388,2,6,3,125
3371.69992743106,556.469883889695,4,7,5,108
3436.54526256511,678.421371251584,4,0,6,261
3412.43388429752,452.638085399449,3,1,2,151
3441.87785234899,927.551677852349,0,0,5,76
3457.03859964093,378.667863554758,5,0,3,87
3494.50622799892,540.012726780395,6,1,4,257
3823.0144076841,195.309498399146,1,0,10,138
3841.87373371925,1101.00940665702,0,0,0,194
3949.53531379107,223.879598662207,4,0,4,86
3983.72940257712,620.903162827021,0,0,7,138
4043.71083024624,774.608847243408,0,0,4,63
4025.91153009427,317.232052211748,2,0,2,55
4044.696520251,131.553337136338,0,0,4,80
4150.67152383305,405.163991108916,2,0,19,100
4146.60928299273,899.437824731555,1,0,2,127
4168.85555156306,743.468559108875,2,2,9,94
4201.8990237099,312.472245467225,2,0,8,131
4214.49510961214,836.68802698145,0,0,6,107
4293.1694191344,472.809510250569,0,0,0,82
4339.7660040124,752.386649644355,1,0,12,138
4350.90538336052,345.081566068515,0,0,7,86
4379.8041185334,674.186840783526,0,0,9,97
4459.69494430163,330.612314848819,3,1,12,95
4451.01818181818,474.856086286595,2,0,13,229
4535.80067567568,242.110135135135,1,1,4,75
