Xpos,Ypos,LMNA,KDM5B,GAPDH
103.330118369136,670.420429636124,106,4,344
265.416005767844,768.830569574621,46,2,218
431.370067372474,708.754571703561,93,2,255
552.05659494855,941.954162768943,93,5,396
713.363518758085,954.250970245796,34,4,192
791.843245372194,901.73335959039,38,6,257
830.840981012658,984.981012658228,64,1,448
907.327753303965,716.730396475771,68,1,207
978.561031084155,849.120040434673,100,3,494
1114.11430550745,918.984412885348,155,2,714
1153.72673626872,438.49886518384,35,5,165
1260.10053859964,544.788150807899,79,5,296
1297.07416502947,125.448428290766,17,1,239
1326.68496911462,33.6602608098833,2,0,94
1359.67998335414,278.43570536829,98,6,578
1389.79815668203,957.984946236559,65,2,497
1487.78073848496,253.324704986677,58,2,503
1741.16022099448,905.822099447514,140,6,640
1838.38559006211,791.698881987578,72,5,490
1878.94909895669,404.055011065444,40,4,377
1927.63695416817,312.066041140383,119,18,368
1941.09994874423,728.995899538698,135,11,554
1969.98374224061,590.684008276678,97,5,525
2134.70985427788,836.030298658202,245,14,882
2292.59514042285,370.803408015147,169,5,929
2358.32313829787,909.643617021277,71,4,321
2389.44660194175,374.361596548004,109,3,891
2401.97336293008,137.099889012209,86,10,860
2453.51683879659,75.5729681185451,29,0,646
2630.17251008377,580.470989761092,73,1,698
2808.22106690778,801.247513562387,206,6,764
2831.01911535897,314.236719270949,177,9,977
2842.86409078627,682.756011888679,210,21,871
2892.5691533948,203.254819782062,100,5,745
3000.06455897981,815.655951115834,101,7,485
3007.36831987697,188.240676662822,71,4,610
3061.16815571155,606.157413316316,253,9,1196
3077.95029051001,361.877985797289,286,8,1280
3151.89914304548,159.683586025049,92,1,659
3194.61568373299,796.163318211277,179,9,656
3260.11686390533,159.19674556213,128,3,720
3314.89588377724,808.037530266344,115,14,599
3365.45130890052,168.053926701571,65,3,555
3447.63885043469,600.416302120826,155,23,987
3450.36018518519,860.873611111111,170,5,781
3466.318388564,174.287199480182,73,0,589
3514.03712480253,1168.37144549763,3,1,149
3493.55244565217,698.940760869565,102,5,611
3485.35595776772,40.6877828054299,25,0,267
3577.51510204082,1287.1412244898,35,0,363
3589.30507529281,124.620747350809,38,0,542
3595.12895132965,581.079277471149,116,12,531
3693.08556149733,455.566433566434,103,4,625
3732.04682062638,220.461984604028,82,7,812
3753.69894813203,128.389553862894,133,7,634
3780.93175853018,570.597675290589,126,2,453
3852.69107351225,693.49504084014,107,3,554
3850.26096737908,319.467941507312,113,5,451
3913.67215849844,119.695307612096,168,9,701
3904.94385150812,392.713225058005,51,4,232
3940.93229398664,273.170601336303,75,7,384
3978.85231316726,491.443416370107,147,8,507
3992.23795180723,357.05421686747,38,2,200
4048.10438074635,295.063818280151,43,0,232
4078.62167026638,174.595392368611,109,4,577
4136.64784160987,586.822784810127,100,4,372
4138.9752096245,331.254101348888,123,7,613
4145.48674242424,783.034564393939,128,5,511
4174.56915739269,18.0882352941176,62,2,295
4234.95697940503,191.302517162471,50,1,255
4267.525678015,117.921523369879,51,0,231
4290.22120307167,813.370093856655,196,16,999
4364.52120094812,421.651303660785,122,19,829
4348.86157380816,29.0011487650775,32,0,220
4431.32295409182,151.356087824351,33,2,309
4468,48.4602908277405,55,2,472
4513.33027522936,222.731442869058,84,2,598
4517.75553732568,1007.09187858901,32,1,539
4570.91621219633,434.978185423897,37,0,389
4619.7230450237,260.090639810427,62,5,419
4627.23121110579,920.241263762566,70,1,619
4978.8778335005,236.517753259779,31,0,148
4659.02158979392,474.375204448806,33,4,362
4660.90217734301,751.385295045756,105,12,719
4719.50083084081,256.702558989698,148,8,708
4811.33030884662,936.393474088292,235,4,1039
4978.2368947579,211.173269307723,27,0,283
4980.10044642857,277.110863095238,30,3,182
5027.74874970231,1248.10335794237,61,1,758
5070.15809146878,1341.89841688654,107,2,1024
5102.0652173913,631.815592203898,158,2,713
5242.92123629113,306.828015952144,69,1,442
5328.94477317554,880.145956607495,48,0,435
5423.33275462963,528.068865740741,117,10,876
5462.60218870157,754.681750961254,76,8,555
5534.26484947111,863.061025223759,139,9,292
5522.38524145415,549.88334237656,66,3,310
5623.42189647274,618.056344480073,60,4,13
5659.34221748401,541.7710554371,47,1,20
5664.45027407987,331.34534064213,131,5,218
5747.15594125501,849.985313751669,62,1,30
5819.6578349735,833.705526116578,38,3,33
5869.68068266139,384.023250061835,83,10,9
5964.85490463215,762.559718437784,135,2,9
6228.34160706773,804.542700883467,37,2,63
6298.17838709677,248.266129032258,22,3,2
6517.9705027933,470.775865921788,165,12,920
6571.85415050427,721.249418153607,76,4,377
6827.33951919022,312.52931252636,124,6,616
6846.41040772532,200.011266094421,70,2,318
6869.72691975841,92.2773943054357,43,3,498
6950.79513184584,558.958620689655,199,6,903
6965.53844555278,253.812344139651,134,5,670
7055.42044661549,341.017096999302,86,7,370
7166.14507198228,209.389442598745,59,1,414
7258.94425756848,29.9139836617011,51,2,210
7309.3082149475,179.757257566399,55,2,358
7393.30728017649,231.450362433029,163,5,684
7763.3712270804,451.301833568406,195,2,585
7826.68388888889,548.385277777778,236,0,536
7842.79707622694,222.214061956143,24,2,266
7949.07320933914,375.673525920063,100,0,298
7997.83764598122,530.20265628578,203,4,712
8018.08484551251,344.976459048553,77,0,273
8105.46333104866,737.278272789582,272,5,655
8112.03633217993,838.334256055363,129,2,391
8343.43211733734,178.289958631064,134,2,666
8739.49352112676,63.550985915493,31,0,366
8556.85462382445,401.878134796238,77,1,475
8678.41110517886,401.789108382274,116,1,733
8742.08265117507,852.767097966728,111,3,592
8754.32864674868,49.1245292493096,12,0,215
8863.91397174254,908.094191522763,62,1,355
8943.31708471368,135.90156176053,12,1,250
8945.05023491146,677.122515359595,133,2,706
9018.64470108696,92.9619565217391,2,0,141
9051.83215010142,876.596855983773,174,7,708
9118.7668296352,485.047010154193,84,1,513
9165.36004390779,867.642288693743,86,9,810
9221.31224489796,583.403498542274,101,3,396
10553.4538524367,71.298665940648,72,5,362
10464.8131059373,623.05611775529,389,21,1362
10430.4483790524,263.389692435578,199,2,889
10530.8095868644,223.572563559322,214,5,875
10550.995047276,66.1051328230527,44,3,295
10542.6013546202,788.238993710692,127,5,585
10566.2858642407,860.825752274318,80,6,274
10683.1383554899,49.0379123584441,68,1,389
10751.9457403651,702.074543610548,91,3,458
