Xpos,Ypos,NGFR,NRG1,FOSL1,VEGFC
28.5394965277778,614.411024305556,1,2,0,0
208.524904214559,163.92337164751,2,5,2,0
479.721878056733,56.9680469514183,2,0,6,0
554.704936854191,458.557405281286,3,15,8,0
633.990916597853,894.337737407102,1,5,2,0
757.762034514078,542.577051165607,4,5,7,0
926.091891891892,789.509009009009,0,1,0,1
1016.99173767106,629.320681642138,0,3,2,0
1059.01260882618,409.389372560793,3,9,1,0
1272.06357031655,228.098339387649,1,7,21,0
1301.72481572482,44.7981162981163,0,3,7,0
1379.89904636633,512.679710621506,2,11,7,0
2060.33602391629,635.374887892377,4,36,0,0
2329.80553496417,891.203854707191,3,4,4,0
2381.06982208795,60.2319570325613,2,4,6,0
2562.00766817707,295.170094109446,0,8,10,0
2590.8690844759,522.216718266254,1,1,3,0
2633.21722846442,735.824968789014,4,5,6,0
2673.83373590982,115.520128824477,0,3,7,1
2781.40352811466,777.549430356487,0,1,2,0
2868.14810472841,625.513872606487,0,0,1,0
3097.59189797449,931.827081770443,0,2,1,1
3288.26081632653,786.485714285714,0,1,0,0
3351.44241898148,233.466724537037,1,2,13,0
3437.32426920462,770.892590074779,3,4,3,0
3598.27159946832,73.6840939299956,1,0,4,0
3654.50906400296,437.582315945246,0,1,3,0
3928.51206529454,262.427608232789,2,7,3,0
3975.69653179191,499.814306358381,2,4,1,0
4101.22219725904,796.044709054145,4,6,2,0
4195.69774112585,573.035496593761,0,3,0,0
4254.1698889346,652.956396544632,2,2,1,0
4332.48518372185,719.245357566179,0,3,1,0
4379.45713256484,797.637968299712,4,9,0,0
4424.85705759475,350.327663384064,6,3,13,0
4656.17279411765,916.4375,0,0,1,0
4710.5987012987,812.381818181818,0,6,0,0
4772.63247193944,353.941268598277,2,23,14,0
4853.8297579758,673.184268426843,1,2,0,0
4966.98355263158,937.919225146199,0,2,2,0
5111.44909542391,793.488116353317,1,11,2,1
5206.84364358683,937.381101021566,0,1,2,0
5420.51951951952,512.004504504505,3,1,6,0
5585.59941398075,244.045625784847,0,3,7,0
5631.85685210312,428.003165988241,1,3,5,0
5616.73114977823,694.31252132378,0,12,3,0
5624.47752629901,579.046541281479,0,7,0,0
5635.28410513141,941.439299123905,1,3,3,0
5675.86857142857,806.801428571429,0,9,5,0
5682.64285714286,322.09751924722,0,3,3,0
5910.0880866426,659.271480144404,0,0,0,0
5962.67647058824,531.952515946138,1,1,3,0
6687.16770573566,302.803927680798,1,1,5,0
7189.21642644704,356.006634637383,3,2,23,0
7389.60200190658,715.23689227836,0,3,1,0
7433.11659095825,464.947869348908,0,4,6,0
7469.54592833876,804.861889250814,0,3,1,0
7604.09110021023,335.196215837421,1,3,1,0
7656.08419243986,946.116838487972,0,1,12,0
7767.52076677316,111.960292104062,0,1,1,0
7785.50906555091,335.774407252441,0,1,5,0
7879.84946236559,737.174347158218,1,0,0,0
7996.5240704501,660.338943248532,0,0,2,0
8467.24957439564,904.600953353762,0,1,0,0
8549.69118105329,768.526955437831,1,4,2,0
8605.39573582943,24.0780031201248,1,2,5,0
8623.73709536308,957.737532808399,0,0,2,0
8896.25377643505,48.963746223565,1,2,1,0
8914.54699488491,766.053069053708,0,11,5,0
8925.31513575968,169.004332755633,1,3,8,0
8963.52820148989,528.882227740333,2,5,19,0
9032,413.923934687376,2,4,9,0
9159.06321243523,657.737823834197,1,1,1,0
9248.062215478,89.9529590288316,0,0,1,0
9404.1407678245,34.1042047531993,2,0,2,0
9421.26659372721,432.889496717724,0,0,3,0
9574.31742424242,282.898484848485,0,1,3,0
9579.23757763975,98.7170031055901,0,0,5,0
9652.44288968435,584.153270419785,1,3,0,0
9709.97331372137,844.05337255726,0,4,1,0
9794.77958697379,706.175536139794,0,2,4,0
9871.05636503068,256.11004601227,1,4,8,0
9925.11154929577,1157.51408450704,2,1,7,1
9923.4864121087,131.199174406605,0,1,5,0
9969.15589829096,901.292205085452,0,1,3,0
