Xpos,Ypos,NGFR,JUN,LOXL2,SERPINE1
23.4519408502773,356.751386321627,0,26,3,0
22.667619047619,516.394285714286,0,11,4,0
53.6988496302383,647.539441248973,0,6,14,0
142.661971830986,866.162546708824,0,37,6,0
178.645977950184,580.935892200898,0,9,3,0
232.762338425382,372.41392479436,0,23,3,0
248.334286531313,659.251644266514,0,4,4,0
301.952971576227,818.487855297158,0,13,6,0
326.778212654925,577.912589693412,0,7,2,0
345.762475696695,385.899222294232,0,6,20,0
362.306088682991,511.602581072138,0,15,13,0
415.843273231623,868.63430420712,0,9,4,0
465.293084522503,675.478594950604,0,10,11,0
479.734290843806,470.647666068223,0,1,4,0
527.966011683484,559.039830058417,0,14,3,0
534.647732696897,791.422911694511,0,13,5,0
564.743510863296,50.8994424149202,0,78,34,0
576.086431522085,961.825548141087,0,30,12,0
612.514961725818,635.578983994433,0,7,1,0
617.671337579618,536.227388535032,0,11,1,0
625.345396059509,466.065540812224,0,18,3,0
679.232310582342,846.730432060113,0,11,11,0
723.552407932011,277.891946580332,0,27,22,0
747.601410342512,744.337139019476,0,8,6,0
738.613965744401,432.355072463768,0,6,2,0
787.530032467532,94.3449675324675,0,19,6,0
791.893541518808,386.139815471966,0,3,5,0
805.338466688986,624.855038500167,0,15,11,0
804.372751626483,874.902028319939,0,15,7,0
874.188727583262,207.634500426985,0,14,11,0
897.027474747475,527.873535353535,0,5,5,0
945.342405296065,730.515998528871,0,10,13,0
962.652090032154,319.682958199357,0,18,2,0
980.568276436303,866.568276436303,0,56,8,0
984.383257918552,574.429864253394,0,60,4,0
1014.51003764115,148.421580928482,0,15,10,0
1051.98075131947,767.020180068302,0,8,1,0
1066.36689767631,404.569099062373,0,60,7,0
1068.50663871419,19.5366876310273,0,13,8,0
1091.31336593317,106.275468622657,0,6,2,0
1100.05233719537,912.083100279664,0,12,0,0
1133.80628272251,189.320323655402,0,10,5,0
1188.35535659154,658.401975918493,0,13,4,0
1205.88716814159,143.204424778761,0,16,13,0
1218.69061784897,564.549199084668,0,13,4,0
1257.78758486906,836.81231813773,0,35,2,0
1262.19710669078,405.54068716094,0,29,10,0
1357.06619309009,935.670164675492,0,41,4,0
1342.8106122449,21.9559183673469,0,13,11,0
1364.2192008879,87.8129855715871,0,18,2,0
1379.90594059406,291.111063280241,0,50,20,0
1393.95571776156,754.642822384428,0,19,8,0
1410.28552456839,478.210624169987,0,28,8,0
1433.4724981827,640.195541555609,0,49,11,0
1523.18953568954,262.463617463617,0,47,12,0
1570.52056807052,739.466209598433,0,20,3,0
1606.69747031492,65.8136293236964,0,15,7,0
1624.70625,183.729545454545,0,19,13,0
1633.60138436482,934.359527687296,0,10,3,0
1671.76600866635,631.744824265768,0,11,2,0
1683.72797262618,244.530367835757,0,40,7,0
1777.9173944687,826.333333333333,0,30,13,0
1781.34428571429,551.220952380952,0,25,4,0
1812.53392330383,911.401769911504,0,23,5,0
1831.82727272727,643.886363636364,0,40,6,0
1888.08915795267,610.212438084755,0,18,0,0
1906.65217391304,437.274879227053,0,21,2,0
1908.74710648148,540.693287037037,0,54,9,0
1919.44711951849,902.917454858126,0,19,1,0
1934.93135011442,765.704805491991,0,10,5,0
1963.86361031519,147.076217765043,0,16,21,0
1983.60876494024,712.306374501992,0,16,2,0
2024.8492917847,650.690084985836,0,27,5,0
2074.55543237251,517.764966740576,0,14,2,0
