Xpos,Ypos,NGFR,JUN,LOXL2,SERPINE1
59.2204603580563,97.3616368286445,0,25,15,0
75.2739856801909,642.871121718377,0,12,7,0
94.5375807398708,856.140634174985,0,12,6,0
114.088942307692,492.428786057692,0,35,17,0
180.051379123851,38.6371011357491,0,30,16,0
196.018176120338,239.030084612974,0,70,16,0
199.443015521064,398.925498891353,0,33,19,0
197.792156862745,850.725925925926,0,8,16,0
213.063880597015,626.590149253731,1,31,16,0
223.059608170071,494.333472280117,2,18,7,0
289.119085805934,748.69286287089,0,17,12,0
364.656138965653,156.921437031188,0,70,39,0
369.981522217334,468.099868015838,0,56,14,0
372.280911062907,909.241865509761,0,7,16,0
376.583742742296,727.914694059848,0,30,15,0
473.510499432463,68.927639046538,0,101,30,0
462.905867014342,322.230247718383,0,135,27,0
462.514860977948,444.832694151486,0,59,7,0
514.282360210071,208.021624961384,0,31,8,0
555.139168343394,548.932595573441,0,40,13,0
551.765728189086,759.247132429614,0,57,8,0
583.678701677608,437.73814733771,0,58,22,0
612.200841852075,319.419723391461,1,24,16,0
633.333571939871,838.42125984252,0,21,17,0
649.58249868213,81.0484976278334,0,73,34,0
668.819512195122,197.565156794425,2,10,5,0
681.201238390093,471.70092879257,0,57,15,0
759.911646586345,462.978915662651,0,28,18,0
761.695622199242,828.241296104791,1,42,28,0
787.650246305419,577.467980295566,1,34,22,0
808.540885860307,690.425894378194,0,19,14,0
874.104354354354,344.25975975976,1,25,35,0
937.339426523297,421.749462365591,1,52,50,2
930.640339425588,612.345953002611,0,21,1,0
937.924242424242,270.499511241447,0,31,22,0
943.641830448812,806.594602522734,1,38,17,0
963.075752773376,705.686846275753,0,44,28,0
1002.26928355751,183.722206972276,1,57,40,1
1024.40502316508,892.704218483297,0,72,73,4
1046.03683133587,43.0292312189418,1,59,26,0
1137.82119682769,739.895169430425,0,110,42,0
1217.20559085133,329.003303684879,1,101,55,7
1248.51868349418,397.802029200693,6,132,73,1
1245.62362362362,853.27027027027,0,21,9,0
1314.09931224209,608.129573590096,2,76,35,0
1356.22883597884,521.361552028219,0,21,11,0
1390.00691389063,727.96103079824,1,41,48,0
1408.19271445358,448.207207207207,1,35,46,0
1457.47743352037,868.548182483533,2,68,63,0
1523.29508196721,41.3944262295082,1,82,94,0
1527.57483403742,615.809293904647,3,56,63,1
1573.04895104895,205.991534781008,0,66,61,3
1572.15861848417,806.979533098817,0,88,50,0
1640.78170212766,546.839574468085,3,72,42,1
1661.88227049755,66.8409250175193,0,51,46,1
1715.33463605276,358.270151441133,2,96,66,1
1739.31054461182,80.2020084974894,0,47,45,0
1776.706271777,263.339721254355,0,66,90,2
1861.29836734694,371.321224489796,1,48,40,0
1907.27377220481,216.461337513062,1,18,31,1
1947.733547821,532.615677098567,2,71,50,0
1971.75027593819,139.905629139073,1,102,68,4
1965.93815201192,372.891207153502,0,29,33,1
2064.32524120759,491.245253657018,10,115,71,0
2063.11736770692,286.564789687924,2,62,70,3
2150.00361663653,387.75904159132,14,115,94,4
2170.0952848723,171.796660117878,1,124,60,2
2243.99916177703,691.679798826488,2,50,46,1
2306.02708039492,313.396332863188,5,90,75,10
2306.90912062766,179.326904217064,1,67,73,3
2320.99862574439,54.1621621621622,1,59,28,0
2428.50037988148,893.356480777997,1,96,78,0
2462.21063139506,661.836036935363,1,80,62,0
2474.80791462872,179.445975989329,2,89,41,12
2498.05232247731,734.25467164976,0,35,13,0
2529.7194979568,395.608581436077,4,135,45,10
2552.29836065574,199.853187613843,4,85,68,10
2591.10418943534,279.265573770492,2,96,72,3
2619.9484291642,710.616478956728,0,56,37,2
2614.81659388646,881.444687045124,0,13,9,0
2724.88468954878,520.783648283841,3,79,52,1
2734.24646314222,817.010796723753,0,78,39,0
2792.95383843452,334.981435022579,0,35,15,0
2806.23136976579,546.533711852378,3,61,29,0
2824.85337353939,624.393516773464,0,52,21,2
2840.19428152493,749.020161290323,1,39,42,0
2894.96072746442,427.561676331049,0,80,92,4
2896.82913729439,852.031889895938,0,26,31,4
2950.93512658228,639.552215189873,0,45,47,2
2987.99549718574,845.390619136961,4,25,29,0
3024.03534883721,353.082170542636,0,91,53,6
3030.05249228055,929.591971768858,0,61,42,1
3054.56328679332,652.861295490959,2,55,61,1
3105.95687698593,771.898774398547,1,38,3,0
3139.59514521023,384.53055916775,8,69,55,1
3132.23387096774,593.376344086022,0,83,18,0
