Xpos,Ypos,WNT5A,NRG1,GAPDH
8454.67370892019,737.228286384977,0,0,82
9788.90042016807,765.241176470588,0,0,148
9852.87598699489,265.779842080817,0,1,148
13992.5438950555,644.305247225025,0,0,93
16453.6444823663,906.460182025028,0,0,54
16582.6734104046,905.306358381503,0,0,9
16887.8380169066,1121.93968471556,0,0,137
16997.5237949969,1134.04148871263,0,0,110
17011.85984156,500.822059719683,0,4,59
17075.5405334037,818.391338790599,0,0,0
17092.7642694064,909.470319634703,0,0,1
17089.459807074,972.0538585209,0,0,11
17175.4224246231,845.553706030151,0,0,41
17239.6534500515,523.542224510814,0,0,68
17290.2537125598,768.639818776743,0,0,70
17353.9606903164,795.149568552253,0,0,72
17496.1211246391,774.411321702021,0,0,154
17790.6113250283,703.564779161948,0,0,297
18092.6143085532,890.933653077538,0,0,90
18124.4787294385,722.454339194555,0,0,68
18298.2809687098,414.979639948564,0,0,0
18416.6492407809,406.363557483731,0,0,23
18434.1241677164,564.924959510527,0,0,2
19238.4408105226,337.321483588103,0,0,760
19457.7144878325,327.397000565931,0,0,164
19460.5328621908,781.47703180212,0,0,135
19644.3613707165,203.432242990654,0,0,310
19829.0193752471,136.550415183867,0,0,534
19874.6841032609,280.888586956522,0,0,268
19919.3042537851,333.307858687815,0,0,179
19959.4202652159,240.833049982999,0,0,393
20683.1006076975,99.0391627278866,0,0,472
20767.7551479495,1136.7714137394,0,2,81
20781.0877423595,126.430167597765,0,0,352
20918.2297069204,1203.99508976523,0,1,204
21037.942513369,312.675579322638,0,0,277
21125.8784099766,1249.09976617303,0,4,161
21157.6195207481,328.379894798364,0,0,194
21187.8450769949,1049.34927671489,0,0,61
21651.195257261,1178.68040900685,0,0,170
21314.9763513513,1160.85067567568,0,0,217
21337.4180555556,1103.09027777778,0,0,324
21374.2578231293,694.766666666667,0,0,98
21542.8198288878,1331.68797181681,0,0,76
21749.3661714286,487.753752380952,0,0,284
21940.0270127119,1290.86917372881,0,0,100
22019.8030696066,888.469087764808,0,3,157
22056.6306775875,1329.54604120129,0,0,71
22094.6850501367,1079.54876937101,0,1,163
22100.7748802555,1141.64608834486,0,0,113
22149.0012300123,885.488929889299,0,0,129
22228.1172472387,902.1474086661,0,0,121
22325.9605346913,855.843411839593,0,0,158
22326.7622585438,1332.55423476969,0,0,46
22392.7317253625,854.638354542764,0,0,175
22410.640527804,501.513100848256,0,1,9
22490.1949593496,1245.89707317073,0,1,84
22519.5644640235,927.16328928047,0,0,145
22574.4113018598,1007.05078683834,0,0,64
22618.3165253266,890.958514783406,0,2,133
22615.547920434,1190.15611814346,0,0,84
22691.1615261595,802.352524560201,0,1,130
22646.6260306243,1339.78739693757,0,0,117
22651.3743396226,1134.29886792453,0,0,54
22699.5316503391,1279.16672946496,0,0,151
22773.5031806616,1166.14567430025,0,0,69
22852.921299639,1236.27682310469,0,1,217
22833.5213141461,881.346185175129,0,0,146
22878.0977229602,1348.38614800759,0,0,146
22895.2004830918,795.149758454106,0,0,179
22947.9804913295,699.020231213873,0,0,137
23307.029076491,801.539897571452,0,0,70
23437.9652941176,858.391176470588,0,0,181
23159.6684390429,1279.69673376377,0,2,312
23279.1270994099,431.802390679377,0,6,120
23249.8465930719,675.343738104301,0,0,77
23287.2919776119,909.603544776119,0,1,348
23354.8730399595,822.559736975215,0,0,76
23290.6856240126,367.003159557662,0,0,71
23338.8247584226,662.928702010969,0,0,52
23373.612089007,555.313184988376,0,0,154
23385.2587492828,429.454962707975,0,0,69
23564.3525693872,833.865347622973,0,0,160
23649.5525439848,826.18021873514,0,1,232
23682.0595842956,909.393533487298,0,0,124
23737.6466750842,1274.88026094276,0,0,220
23779.5918100632,992.940535830974,0,0,212
23827.3158090977,705.85523862789,0,1,278
23920.2364542696,865.655252131195,0,0,297
23886.7782974743,1266.31751971135,0,0,256
23970.9087758638,668.399959229436,0,0,268
24015.5723684211,1108.3875,0,0,71
24068.0273206057,1320.6448321264,0,0,225
24063.7456140351,1241.96162280702,0,0,94
24101.3047053449,882.211055276382,0,0,512
24103.6022312808,506.296502896374,0,0,254
24298.3569402588,771.932237191987,0,1,619
24157.985550873,694.727874774232,0,0,300
24240.7455595977,902.712390327413,0,0,244
24271.4023210832,1288.07513762833,0,0,156
24287.7913644214,989.106044905009,0,1,139
24375.462962963,1331.24870569494,0,0,147
24496.9436860068,898.430674061433,0,1,277
24470.1388499299,1266.52384291725,0,0,128
24463.3655239015,687.225012071463,0,0,331
24591.7902828136,707.92385786802,0,0,344
24565.6482712766,800.285904255319,0,0,252
24606.0485965647,881.566401340595,0,2,174
24705.7041866241,1265.43995032819,0,0,316
24771.8968756991,736.909104466483,0,1,659
24686.3492027335,883.43576309795,0,0,336
24866.3961027135,885.569659442725,0,1,371
24914.7083243708,1314.42740374274,0,2,57
24973.5903381643,756.342167011732,0,0,406
25044.9728404376,1272.44398340249,0,0,51
25040.3739711934,680.945473251029,0,2,135
25059.6238117871,889.407319391635,0,0,262
25098.2546399406,1081.71789161099,0,0,10
25145.6681054417,768.367812548173,0,0,237
25130.6306465899,1325.71257750221,0,0,73
25167.7581699346,1198.67973856209,0,0,22
25202.9472174412,720.605851979346,0,2,170
25250.3795823666,895.649187935035,0,4,101
25294.8263783125,696.19829424307,0,1,218
25295.6297558206,825.321029717963,0,6,271
25282.5135653604,1139.51000274048,0,0,40
25382.733098722,1174.60048157066,0,0,61
25462.0457746479,767.020326504481,0,2,315
25418.1579229122,703.485010706638,0,0,122
25491.4328116568,924.832973556395,0,0,124
25519.5298913043,1277.86039402174,0,0,63
25526.308726838,1161.83054393305,0,0,61
25541.4871630295,1350.53530166881,0,0,58
25587.2511149228,859.847341337907,0,1,219
25620.3480230254,727.795979994338,0,0,357
25604.652173913,1141.78532608696,0,0,13
25654.8224137931,908.831609195402,0,0,85
25657.458419244,1341.14364261168,0,0,76
25736.3619953416,814.716614906832,0,0,231
25758.2800324675,916.154220779221,0,0,78
25781.3633027523,1030.51987767584,0,1,10
25801.6358732299,745.472016183412,0,0,96
25806.5541947336,1125.81873851806,0,0,16
25838.5887407407,853.729777777778,0,0,130
25866.5546588408,1194.67742724382,0,0,193
25866.4951534733,772.29563812601,0,1,92
25936.3238021638,833.104327666151,0,0,193
26041.1957730812,873.490545050056,0,0,267
26119.4576897977,1224.98216227975,0,0,242
26173.1012769705,1090.68604139146,0,0,151
26154.3244766506,887.5346215781,0,0,226
26165.5726851852,974.494444444444,0,0,169
26177.5463576159,1331.01059602649,0,0,80
26187.3677098151,786.287339971551,0,1,271
26297.6261202186,811.135846994536,0,0,328
26291.2282077845,1040.79665532041,0,0,253
26346.5783053801,1123.49640601176,0,0,163
26346.6030469742,1298.02920016928,0,0,273
26371.2951417675,878.841319847455,0,0,353
26454.041168023,798.984202967927,0,0,216
26478.1430237077,1073.56393315196,0,0,188
26499.5920367534,895.427565084227,0,2,172
26481.427184466,1339.35029126214,0,0,167
26538.2958141909,1170.14139867279,0,0,242
26590.5352112676,842.808328230251,0,2,193
26561.4903722721,1356.07188703466,0,0,276
26660.11045583,1022.25064504239,0,0,383
26623.5006066489,1141.93351128367,0,0,257
26778.683198146,1307.27902665122,0,0,99
26820.5077920459,878.406931804014,0,2,271
26788.6434482759,1201.27793103448,0,0,111
27103.2383295838,1166.70598987627,0,0,7
27167.2608641822,856.223721678841,0,0,21
27139.4583333333,1290.93834005376,0,0,14
26857.0054249548,782.444394213382,0,0,63
26868.004416636,1124.15016562385,0,1,38
26935.852998824,1265.56958055664,0,0,102
26949.4951177484,676.097645031591,0,0,42
27001.2363034939,853.545999586521,0,0,117
26988.4668874172,1214.56754966887,0,1,66
27060.9196710942,1204.92125237192,0,0,34
27137.9141465915,884.586365966171,0,0,35
27139.8116360635,1278.11388487724,0,0,52
27139.2855235043,1134.23584401709,0,1,25
27199.0417174921,829.517443278849,0,0,31
27302.4758317171,1193.24593465612,0,3,68
27272.8420776495,976.656348373557,0,0,45
27324.9844868735,800.115751789976,0,0,36
27480.5728126835,1233.15105695831,0,0,54
27438.2277081798,808.310488823385,0,0,140
27418.9392033543,1019.08874912649,0,1,41
27563.8062357166,1090.32615083252,0,9,108
27623.8144003378,862.486486486486,0,1,163
27645.2963671128,1050.94996813257,0,5,38
27644.9802058591,1280.70229612035,0,2,56
27719.2218535722,1284.40278699403,0,0,78
27797.0898764448,795.418692706258,0,0,26
27735.4615384615,841.345259391771,0,1,80
27772.3452461227,775.439649359407,0,0,63
27794.727180869,700.735938026271,0,2,113
27832.0747806181,808.760778328882,0,0,133
27967.3890985325,856.89501048218,0,1,258
27946.235744089,735.384561891516,0,0,60
27965.1655495979,1001.23324396783,0,1,103
28007.1392818281,1346.67083786725,0,0,79
28016.8987951807,737.523694779116,0,0,116
28047.5303254438,1017.04142011834,0,0,67
28087.4852095316,934.857436318817,0,0,57
28123.3515195899,740.8051995606,0,0,138
28175.1419813634,1229.61574301128,0,0,76
28164.9123173278,874.531315240083,0,2,197
28256.7770022043,784.958302718589,0,0,179
28232.339767202,1050.51200825107,0,2,115
28249.6827089337,703.57492795389,0,0,130
28489.3804840829,860.0006358357,0,1,518
28327.309375,629.500625,0,0,100
28363.6719615811,1198.88215736978,0,0,50
28369.8646153846,819.184957264957,0,0,235
28380.2974001268,738.857324032974,0,1,114
28527.8079752226,1173.26816363402,0,0,85
28515.5830583058,694.287128712871,0,1,241
28577.3346447582,1038.73501504281,0,0,125
28631.19134493,1159.31523122613,0,0,49
28789.1062751408,840.806918744972,0,1,429
28870.9976461843,786.980673934589,0,1,202
28955.5778731149,1273.97594903796,0,1,2
28964.5213764338,1054.34184914842,0,0,2
29024.7581619077,858.107767884556,0,0,238
28978.5712579618,694.378184713376,0,1,110
29133.788034188,809.341595441595,0,0,180
29230.8223878153,1242.77022600721,0,1,36
29187.9352750809,912.43284789644,0,1,105
29220.2764265669,986.097754911132,0,0,20
29438.6702383441,870.203690152624,0,0,145
29350.6049652433,1120.62502482622,0,1,34
29378.9396984925,795.336683417085,0,0,171
29485.3353271028,731.559626168224,0,0,197
29467.9538198404,1215.4897377423,0,0,8
29488.6738351254,982.927867383513,0,0,27
29650.6909272183,907.536889332004,0,0,249
29756.4761513158,740.195723684211,0,0,96
29623.6135401975,1104.50352609309,0,0,12
29650.9996278377,1206.74395236323,0,0,6
29673.0814606742,1032.17359550562,0,0,1
29751.5064516129,1049.48064516129,0,0,21
29764.3010890455,1184.21524663677,0,0,11
29926.6876987448,1017.06510460251,0,1,120
29959.5279232112,1195.03263525305,0,1,63
29999.3693181818,917.962901069519,0,0,409
30090.5700750804,1038.49124061494,0,0,68
30098.9564439141,1116.06801909308,0,0,23
30128.6311914324,922.580321285141,0,0,189
30198.175729443,1186.04675066313,0,0,44
30232.0775390625,1114.6568359375,0,0,9
30310.4631544926,1020.68552036199,0,0,22
30237.2737771739,603.3984375,0,0,188
30349.8617886179,1110.78048780488,0,3,15
30344.8724365659,688.721584984359,0,0,586
30493.1780956541,887.598929897357,0,1,515
30475.9622512011,1050.76321207962,0,0,58
30674.1482533371,1056.82618574269,0,1,122
30698.591152815,1221.61572832887,0,0,113
30778.9497816594,1260.33557272422,0,1,219
30793.1265976872,1070.49269628728,0,2,149
30848.3700845277,731.783535464903,0,2,286
30928.6767155891,674.429194763983,0,0,309
31036.56643026,941.144680851064,0,0,163
31137.7830451757,962.74456218628,0,0,102
31173.5563307494,1233.19651162791,0,1,188
31283.0338983051,1034.12178279975,0,1,220
31514.0136736554,1174.71649954421,0,0,97
31500.4388924252,1179.10502864418,0,1,129
31513.6955035049,1285.92545734314,0,0,203
31640.8201160542,830.909574468085,0,1,122
4755.34462001505,1452.07975921746,0,0,9
6586.6905,1641.195,0,0,149
6763.10868079289,1401.1954887218,0,7,141
9328.93939393939,1034.84399551066,0,0,248
9408.85754985755,1041.69195156695,0,0,136
10374.1450326323,1775.63596809282,0,0,58
15685.725423266,1506.41944292736,0,0,4
16019.1116439509,1809.37691401649,0,0,4
15813.846310088,1459.38320920785,0,0,7
16022.7350663717,1825.78318584071,0,0,0
16404.9819870009,1207.47873723305,0,0,47
16391.3625067531,1030.99189627229,0,0,114
16502.2695422244,1036.47446703024,0,0,162
16608.3278855975,1321.37742594484,0,0,11
16613.5391008689,1060.75028333963,0,0,46
16765.6712580349,1390.9213345577,0,0,50
16800.6371486624,1559.78005418219,0,0,28
16952.0453122554,1158.8110032869,0,0,23
16869.7892481496,1241.80210362291,0,0,0
17035.5092316855,1473.47826086957,0,0,2
16687.7957746479,1419.89225352113,0,0,14
16758.3033258315,1368.72043010753,0,0,112
16763.4430443548,1596.30443548387,0,0,29
16781.9933431953,1453.35355029586,0,0,91
16832.7872622733,1533.57452454666,0,0,31
16935.3058966565,1127.20303951368,0,0,37
16872.2091551917,1262.34015630815,0,0,0
16991.9052361066,1235.98297462255,0,0,37
17024.5634973404,2258.27825797872,0,0,70
17080.7528409091,1172.94933712121,0,0,38
17507.5684426932,2065.88761350009,0,0,114
18102.9909159727,1833.31566994701,0,0,26
18405.8643292683,1855.19908536585,0,0,96
18406.520714866,1431.67181153534,0,1,58
18510.4893350063,2051.61982434128,0,0,11
18557.4262075134,2055.51118067979,0,0,6
18736.7306173353,1781.42735398046,0,0,164
18898.814001696,1805.31263544709,0,0,219
18883.6422764228,1598.39634146341,0,0,58
18916.1186200378,1365.97920604915,0,0,67
19071.5832696715,1979.72704354469,0,0,10
19054.9840764331,1375.92866242038,0,0,46
19112.7010489511,1800.03409090909,0,0,165
19110.7555643879,1335.90302066773,0,1,62
19125.6665404996,1705.83913701741,0,1,84
19241.2771509576,2001.14459295261,0,2,7
19216.5848946136,1707.25117096019,0,0,74
19292.7959302326,1808.62151162791,0,0,87
19334.600369174,1477.39963082603,0,0,231
19298.5292939409,1637.18828242364,0,1,76
19327.4565429688,1151.83349609375,0,1,38
19376.5456634118,1770.59448592763,0,0,113
19402.1086445547,1673.79916427266,0,0,88
19452.3866380467,2208.21625972632,0,0,352
19468.4326574173,1810.41771611526,0,0,169
19481.8379844961,1641.60465116279,0,0,116
19490.787327478,2050.05144291092,0,0,125
19546.7608011445,1203.38884120172,0,0,66
19636.6388709051,1692.17512624628,0,1,279
19668.4562427912,1482.80219146482,0,1,272
19674.7363751584,2009.19771863118,0,0,209
19711.1095224478,1932.18272805262,0,0,209
19733.3233587786,1818.99022900763,0,0,164
19805.1641202563,1434.14884179399,0,0,205
19855.9822303922,1629.66452205882,0,1,154
19831.52462022,2201.75039287585,0,0,476
19855.5645046329,1816.11712995961,0,0,201
19927.9831382078,1528.19291657463,0,1,423
19925.5538169749,1697.09815078236,0,1,184
19895.6720420366,1319.20474723682,0,0,147
19887.690023753,1917.60866983373,0,8,303
20037.3403384279,1736.97680131004,0,0,279
19999.0433983927,1296.29161882893,0,0,99
20046.4822852903,1485.67482841773,0,1,287
20096.6862527716,1992.65576496674,0,0,291
20097.7407407407,1291.81433381433,0,1,78
20136.3750493486,1805.55171733123,0,2,198
20126.8927986907,1930.40425531915,0,0,205
20150.5572979493,2160.83474065139,0,0,221
20174.0938709677,1555.27537634409,0,0,287
20193.3378378378,1299.86745255894,0,4,284
20265.7210343113,1831.86797613128,0,0,327
20269.3514262429,1691.89877750611,0,2,201
20300.5921951219,1428.13991869919,0,0,292
20388.135298213,1782.33488048271,0,1,198
20384.7472063571,1628.37695555004,0,1,140
20383.4935805991,1547.2482168331,0,0,72
20581.8340726298,1335.01345357056,0,1,253
20510.6160840257,1586.0948424518,0,0,94
20544.6434846266,2279.59370424597,0,0,109
20723.7525773196,1961.54742268041,0,0,236
20737.7358778626,1221.79847328244,0,0,69
20425.2406152719,1448.39150338766,0,1,73
20564.1640958203,1395.24502416833,0,1,36
20512.15625,1789.43843984962,0,0,162
20524.7769230769,1446.38076923077,0,0,69
20539.4865694551,1720.91174213354,0,0,41
20623.990459364,1775.70636042403,0,1,107
20603.8106169297,2019.52331420373,0,1,136
20632.5789638933,1159.04740973312,0,0,182
20669.2426966292,1535.3797752809,0,2,128
20817.7268660326,1319.56464613897,0,2,247
20744.3605589451,1582.31155284393,0,0,227
20762.4377012633,1153.56650978449,0,0,59
20832.5715751263,1768.66548295455,0,0,190
20814.7314349525,1661.85259631491,0,3,108
20949.1848105811,1427.14183972709,0,2,281
21009.202435312,1742.57965499746,0,0,114
21162.4726176735,1351.35449531871,0,1,284
21130.5283938339,1642.88841372452,0,0,248
21141.4893794749,1159.77255369928,0,0,108
21097.935033394,1502.60109289618,0,1,260
21154.0240228013,1908.10504885993,0,0,299
21137.7268623025,1782.44770504138,0,0,56
21189.969924812,1042.30353056554,0,0,67
21191.1293617021,1825.39191489362,0,0,86
21290.3242872143,1625.81140457152,0,1,460
21333.7511111111,1793.78746031746,0,0,312
21288.8092198582,1450.91914893617,0,1,262
21279.6769230769,2032.34666666667,0,0,67
21280.4805057956,2077.31085353003,0,0,19
21328.7806645458,1128.68275008837,0,0,89
21346.0118845501,1379.7474533107,0,2,289
21420.6026678657,1534.84982014388,0,0,348
21394.8678217822,1896.4301980198,0,1,79
21417.8467635403,1811.07001321004,0,0,177
21433.6438356164,1312.39409905163,0,0,195
21454.8232598109,2238.76969349757,0,1,100
21529.9053205722,2047.61814345992,0,1,276
21468.572263722,1767.15394608639,0,0,178
21546.5149809886,1400.94342205323,0,1,224
21494.9416628388,1230.53399173174,0,0,244
21540.0226557583,1685.57111390812,0,2,353
21601.7412693592,1791.33161251139,0,0,485
21545.1890773686,1323.71534960695,0,1,144
21655.2632190881,1489.52421393186,0,1,598
21653.5969183621,1174.03081637865,0,3,272
21813.7028366508,1523.69618825046,0,0,768
21765.6606125356,1831.55662393162,0,0,111
21767.4063178201,1284.84301904992,0,0,373
21836.1145038168,1048.79114503817,0,0,298
21869.7418589321,1745.69083717864,0,0,446
21915.3911688312,1305.94,0,1,290
21948.5596913685,1609.20764795659,0,5,558
21976.5546218487,1209.33946682121,0,1,296
21993.1234354769,1902.15753129046,0,0,169
21976.0710676996,1020.8275513641,0,0,214
22038.3243661972,1342.72845070423,0,0,208
21999.5533678756,1105.48549222798,0,1,250
22111.1917198905,1444.21065237226,0,0,417
22093.9710456651,1693.67471872932,0,0,394
22173.9072181671,1816.32927818329,0,2,373
22097.1362476612,1108.08811022283,0,0,78
22091.0064724919,1230.23162274619,0,0,151
22158.3799070248,1548.8861053719,0,1,343
22129.4292237443,1000.80707762557,0,2,226
22194.9712041885,1618.43979057592,0,0,176
22237.185662505,1245.21063229964,0,0,108
22242.4115962777,1324.99856836077,0,0,111
22273.8663257852,1643.1161431702,0,0,155
22346.8569665175,1953.15367998766,0,1,559
22341.8249218401,1206.6054041983,0,1,152
22329.9207240949,1348.55617977528,0,0,57
22516.6876327458,1726.82568841525,0,1,505
22403.7642149191,1321.15388628065,0,0,100
22474.1672252299,1573.31434218441,0,0,330
22544.4973399968,1215.61631468644,0,0,122
22493.1964842642,1471.38049333711,0,0,218
22530.1897679952,1307.75847709697,0,0,76
22589.3536465177,1423.4858738502,0,0,160
22666.0201908957,1942.40308370044,0,0,143
22771.9056315038,1252.68236074271,0,3,117
22679.9660484125,2023.60421251179,0,0,339
22714.9674931129,1845.94269972452,0,0,144
22728.1003802281,1703.25627376426,0,1,238
22784.4653729749,1394.80380986292,0,1,192
22791.3882758621,1100.19724137931,0,0,49
22811.6237596472,1786.97023153252,0,0,187
