"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043025","CC","GO:0043025","neuronal cell body","66/1182","483/20408",6.93344754234007e-11,4.6648235064864e-07,4.03672614280873e-07,"TNFRSF1B/PRKAA2/TTLL7/SORT1/KCNH1/TGFB2/DPYSL5/KIF5C/SCN1A/PTPRN/EPHA4/DNER/ALCAM/NMNAT3/CPLX1/PPARGC1A/SNCA/CPE/CTNND2/MYO10/MAP1B/KCNN2/EPHA7/PPP1R9A/NPTX2/NOV/ARC/SLC31A1/ASS1/OLFM1/CACNA1B/APBB1/RIC3/KCNJ11/SYT7/SHANK2/IGSF9B/SLC4A8/KIF5A/ANG/CKB/HOMER2/CYBA/SERPINF1/SRCIN1/PLXDC1/KLHL14/MBP/EEF1A2/EFNA2/TUBB4A/PCP2/KCNN1/CD22/SPTBN4/TGFB1/ATP1A3/APOE/SLC8A2/TRPM4/CACNG7/SYT5/RTN4R/PVALB/PDE9A/ND1",66
"GO:0046873","MF","GO:0046873","metal ion transmembrane transporter activity","60/1182","444/20408",7.99892245095802e-10,2.69083751250228e-06,2.32852842506573e-06,"KCNJ10/ATP1B1/ATP2B4/KCNH1/SLC8A1/SCN1A/SLC40A1/KCNE4/ATP2B2/SCN5A/CACNA2D2/SLC4A4/SLC39A8/TRPC3/SLC12A7/HCN1/KCNN2/PKD1L1/KCNH2/SLC39A14/JPH1/KCNQ3/KCNK9/SLC39A4/SLC1A1/SLC31A1/GRIN1/LRRC26/CACNA1B/KCNQ1/KCNJ11/PDE2A/GRIK4/SCN3B/GRIN2B/SLC4A8/SLC41A2/ATP12A/GAS6/KCNK13/KCNG4/ATP2C2/ATP2A3/ATP1B2/TRPV2/SLC39A11/SLC39A6/KCNQ2/HCN2/KCNN1/RYR1/ATP1A3/SLC8A2/TRPM4/SLC6A16/SLC17A7/CACNG7/TTYH1/SLC5A1/SLC5A4",60
"GO:0022836","MF","GO:0022836","gated channel activity","50/1182","351/20408",3.55241851027249e-09,5.86217067907285e-06,5.07285593997621e-06,"GABRD/CLCNKB/KCNJ10/KCNH1/SCN1A/KCNE4/ANO7/SCN5A/CACNA2D2/TMEM150C/HCN1/KCNN2/GABRG2/KCNH2/CLCN4/VDAC3/JPH1/CNGB3/NCALD/KCNQ3/GRIN1/LRRC26/CACNA1B/KCNQ1/KCNJ11/ANO5/HTR3B/GRIK4/SCN3B/GRIN2B/ANO4/GAS6/KCNK13/GABRG3/CHRNA5/TMC7/KCNG4/DLG4/CHRNB1/TTYH2/TMC6/KCNQ2/HCN2/KCNN1/RYR1/TRPM4/SLC17A7/CACNG7/TMC4/TTYH1",50
"GO:0022838","MF","GO:0022838","substrate-specific channel activity","58/1182","442/20408",4.64143411625129e-09,5.86217067907285e-06,5.07285593997621e-06,"GABRD/CLCNKB/KCNJ10/KCNH1/SCN1A/SLC40A1/KCNE4/ANO7/SCN5A/CACNA2D2/TRPC3/HCN1/KCNN2/GABRG2/PKD1L1/KCNH2/CLCN4/VDAC3/JPH1/CNGB3/NCALD/KCNQ3/KCNK9/GRIN1/LRRC26/CACNA1B/KCNQ1/KCNJ11/ANO5/PDE2A/HTR3B/GRIK4/SCN3B/GRIN2B/AQP5/AQP6/ANO4/GAS6/KCNK13/GABRG3/NOX5/CHRNA5/TMC7/KCNG4/DLG4/CHRNB1/TRPV2/TTYH2/TMC6/KCNQ2/HCN2/KCNN1/RYR1/TRPM4/SLC17A7/CACNG7/TMC4/TTYH1",58
"GO:0015077","MF","GO:0015077","monovalent inorganic cation transmembrane transporter activity","53/1182","387/20408",4.90361366107245e-09,5.86217067907285e-06,5.07285593997621e-06,"KCNJ10/ATP1B1/KCNH1/SLC8A1/SCN1A/KCNE4/SCN5A/SLC4A4/SLC12A7/SLC45A2/NNT/HCN1/KCNN2/SLC2A12/ATP6V0A4/KCNH2/CLCN4/ATP6V1H/ATP6V0D2/COX6C/KCNQ3/KCNK9/MFSD3/SLC1A1/SLC2A6/LRRC26/KCNQ1/SLC22A18/KCNJ11/TCIRG1/GRIK4/SCN3B/SLC2A13/SLC4A8/ATP12A/KCNK13/C15orf48/NOX5/KCNG4/ATP2C2/ATP2A3/ATP1B2/COX10/KCNQ2/HCN2/KCNN1/ATP1A3/SLC8A2/TRPM4/SLC6A16/SLC17A7/SLC5A1/SLC5A4",53
"GO:0015267","MF","GO:0015267","channel activity","60/1182","467/20408",5.62524463360747e-09,5.86217067907285e-06,5.07285593997621e-06,"GABRD/CLCNKB/KCNJ10/KCNH1/SCN1A/SLC40A1/KCNE4/ANO7/SCN5A/CACNA2D2/TMEM150C/TRPC3/HCN1/KCNN2/GABRG2/PKD1L1/KCNH2/CLCN4/GJB1/VDAC3/JPH1/CNGB3/NCALD/KCNQ3/KCNK9/GRIN1/LRRC26/CACNA1B/KCNQ1/KCNJ11/ANO5/PDE2A/HTR3B/GRIK4/SCN3B/GRIN2B/AQP5/AQP6/ANO4/GAS6/KCNK13/GABRG3/NOX5/CHRNA5/TMC7/KCNG4/DLG4/CHRNB1/TRPV2/TTYH2/TMC6/KCNQ2/HCN2/KCNN1/RYR1/TRPM4/SLC17A7/CACNG7/TMC4/TTYH1",60
"GO:0022803","MF","GO:0022803","passive transmembrane transporter activity","60/1182","468/20408",6.09916687775118e-09,5.86217067907285e-06,5.07285593997621e-06,"GABRD/CLCNKB/KCNJ10/KCNH1/SCN1A/SLC40A1/KCNE4/ANO7/SCN5A/CACNA2D2/TMEM150C/TRPC3/HCN1/KCNN2/GABRG2/PKD1L1/KCNH2/CLCN4/GJB1/VDAC3/JPH1/CNGB3/NCALD/KCNQ3/KCNK9/GRIN1/LRRC26/CACNA1B/KCNQ1/KCNJ11/ANO5/PDE2A/HTR3B/GRIK4/SCN3B/GRIN2B/AQP5/AQP6/ANO4/GAS6/KCNK13/GABRG3/NOX5/CHRNA5/TMC7/KCNG4/DLG4/CHRNB1/TRPV2/TTYH2/TMC6/KCNQ2/HCN2/KCNN1/RYR1/TRPM4/SLC17A7/CACNG7/TMC4/TTYH1",60
"GO:0045333","BP","GO:0045333","cellular respiration","32/1182","176/20408",7.12936569523301e-09,5.88403426954489e-06,5.09177569698554e-06,"MDH1/SUCLG1/FASTKD1/SLC25A12/NDUFB3/NDUFS1/MDH1B/FASTKD2/IDH1/UQCRC1/PPARGC1A/SNCA/ETFDH/NNT/PDHA1/UQCRB/NDUFB9/CYC1/NR4A3/ME3/DLAT/OGDHL/AIFM2/GPD1/COQ10A/IDH3A/COX10/NOS2/ME2/NDUFA3/ACO2/ND1",32
"GO:0007409","BP","GO:0007409","axonogenesis","58/1182","449/20408",8.29804318669872e-09,5.88403426954489e-06,5.09177569698554e-06,"RAP1GAP/ZSWIM5/NFASC/DPYSL5/KIF5C/CHN1/EPHA4/GPC1/SEMA3F/ROBO2/ALCAM/NKX6-1/SPP1/COL25A1/SEMA5A/EMB/MAP1B/FSTL4/CYFIP2/EPHA7/SEMA3C/SEMA3A/CDKL5/XK/OPHN1/NEFL/KIF13B/UNC5D/PTK2/ADGRB1/VLDLR/NR4A3/NTNG2/OLFM1/GRIN1/APBB1/SSH3/ANK3/UNC5B/SLIT1/SEMA4G/KIF5A/SLITRK5/SPTB/LINGO1/DOK4/EFNB3/TRPV2/GRB7/NGFR/AFG3L2/EFNA2/NRTN/RAB3A/SPTBN4/APOE/BRSK1/RTN4R",58
"GO:0005216","MF","GO:0005216","ion channel activity","56/1182","427/20408",8.74559195830097e-09,5.88403426954489e-06,5.09177569698554e-06,"GABRD/CLCNKB/KCNJ10/KCNH1/SCN1A/SLC40A1/KCNE4/ANO7/SCN5A/CACNA2D2/TRPC3/HCN1/KCNN2/GABRG2/PKD1L1/KCNH2/CLCN4/VDAC3/JPH1/CNGB3/NCALD/KCNQ3/KCNK9/GRIN1/LRRC26/CACNA1B/KCNQ1/KCNJ11/ANO5/PDE2A/HTR3B/GRIK4/SCN3B/GRIN2B/ANO4/GAS6/KCNK13/GABRG3/NOX5/CHRNA5/TMC7/KCNG4/DLG4/CHRNB1/TRPV2/TTYH2/TMC6/KCNQ2/HCN2/KCNN1/RYR1/TRPM4/SLC17A7/CACNG7/TMC4/TTYH1",56
