Xpos,Ypos,TXRND1,NDRG1,A2M,GAPDH
26.7390550498483,425.12570437798,45,3,4,444
71.1813018785496,793.758846657929,43,3,0,605
79.2922055225446,560.428871024117,38,5,6,528
163.642857142857,431.604314002829,122,1,2,571
176.396807925151,796.961199779857,31,0,2,292
177.279609279609,892.590557590558,11,5,3,428
200.223760731099,661.779839379673,46,17,0,612
223.202525935949,51.2408660351827,13,0,0,267
247.713099041534,530.209584664537,60,3,1,613
320.90546875,902.61640625,50,28,3,816
322.581052631579,732.332280701754,43,9,11,555
378.388553002821,63.0423216444982,13,0,1,349
457.277848911652,683.596350832266,11,41,65,507
579.736610711431,887.269384492406,18,1,2,459
711.131369426752,726.538614649682,46,6,12,614
798.905381431106,178.429331756357,26,0,2,803
943.342842842843,111.396646646647,39,0,1,841
996.984079173838,857.234724612737,18,3,1,412
1044.45351681957,949.6,5,11,31,465
1050.24610822832,646.550778354337,36,1,7,593
1231.95446460334,895.32977588047,42,1,15,438
1241.10157858614,773.902882635552,41,2,3,524
1403.89238347859,590.066312997347,33,36,15,785
1491.75695805566,416.287338298706,76,18,3,654
1520.92041522491,897.551903114187,36,10,5,1050
1599.96138482024,375.103861517976,80,0,18,1223
1795.04524269637,347.302262134819,50,3,16,967
1757.50849093014,251.154187572366,102,5,21,1815
1770.51194436045,797.777441790142,51,1,1,802
1944.31338264963,654.090338489128,32,62,48,1059
2079.89149851141,570.719814753556,21,5,0,540
2098.81914893617,308.348071808511,64,3,5,1118
2108.19016949153,1038.96847457627,4,0,0,107
2192.6936267505,985.424692769363,20,2,2,469
2188.49024597116,27.9626802374894,22,1,0,529
2204.49410972736,783.967351060249,103,11,12,1357
2352.86649181966,483.15517672037,128,8,16,2025
2308.58870967742,902.409796893668,61,0,7,739
2360.47906336088,65.3049586776859,18,3,1,553
2364.56897398135,222.60824742268,26,2,3,697
2390.79643998174,155.211775445002,26,2,0,461
2468.31678399407,243.782882549092,33,11,1,1273
2676.29166666667,824.387854609929,50,2,1,1165
2756.64593698176,258.712686567164,12,15,6,929
2783.23804552099,564.789100020881,98,11,8,1435
2779.86602628918,404.547775530839,39,15,10,1000
2836.05576827035,771.441484934243,18,2,1,589
2831.20581917594,910.484085139621,8,2,1,480
2882.74422815754,262.095518334088,15,14,3,684
2902.36337566571,333.339614911921,10,11,1,339
2904.46192893401,850.118274111675,9,3,1,518
2922.19685393258,401.687191011236,23,6,4,376
2984.32285911602,635.997237569061,36,1,2,788
3022.85014953565,508.751141193137,23,1,1,724
3111.75295988691,477.315603463509,41,4,5,840
3137.39389168766,665.163727959698,66,1,3,557
3137.06361686919,315.685489635454,23,1,6,849
3147.13406593407,24.2092307692308,12,0,0,1053
3284.32092875318,643.50858778626,137,4,5,1057
3324.65555555556,899.233777777778,18,1,0,556
3327.88656036446,268.881093394077,16,2,2,762
3386.19279128248,157.908633696563,11,1,1,781
3397.04273877017,869.167902311382,31,4,0,464
3444.08166058394,434.231295620438,32,1,1,900
3505.0716840052,612.998374512354,84,4,8,1129
3509.7894218134,295.900788436268,15,2,1,934
3648.41809851088,582.97479954181,59,4,0,931
3871.07401656315,750.534161490683,27,0,5,385
3997.67878787879,833.215757575758,13,1,2,382
4031.46867271228,243.466199505359,19,3,2,439
4107.95080862534,645.797843665768,9,3,4,248
4128.7342350924,817.936559344637,15,0,2,226
4182.3644295302,787.951677852349,9,0,5,341
4266.65751072961,365.992703862661,10,1,3,368
4341.7247311828,649.095913978495,16,0,1,260
4341.16876122083,437.582585278276,25,2,6,389
4378.5896656535,740.663373860182,33,0,4,484
4468.28918590523,898.410692588092,10,0,1,551
4550.88657265481,67.9797670141018,5,1,0,242
4587.68102995271,627.548607461902,39,2,6,745
4605.74887525562,480.686707566462,23,1,1,503
4782.87573964497,478.566272189349,11,0,2,392
4788.29300054259,186.541508410201,4,1,1,434
4798.24470416362,96.0927684441198,11,0,0,704
4900.99779249448,887.964049195837,21,5,1,467
4944.67590618337,214.763859275053,15,0,1,483
5031.84474327628,191.867359413203,11,3,2,487
5103.46532702916,571.179275019701,29,2,1,516
5174.55178127589,714.713615023474,41,0,3,885
5193.68950516585,26.415986949429,5,3,0,337
5213.94200686761,443.688286913392,53,3,0,579
5414.33078792086,429.251301631378,18,1,3,491
5504.13040123457,661.368827160494,40,5,2,679
5522.36083269083,171.686584425598,36,4,0,788
5735.50725402269,475.094434186231,52,0,7,700
5797.26663961039,914.103896103896,19,1,5,628
5850.26888489209,230.357014388489,39,1,4,617
5960.08962597036,225.07586450247,20,9,5,742
5999.22384492831,566.733404142326,132,3,15,1196
6049.6505050505,42.3321789321789,25,60,1,881
6111.30135301353,917.258302583026,39,0,0,657
6229.50032446463,648.197598961713,29,3,2,473
6293.36604189636,931.46361631753,27,1,2,369
6315.66519823789,479.673568281938,25,5,3,436
6327.34552666373,862.014103129132,46,1,2,580
6408.12513873474,778.3884572697,20,8,6,469
6393.17130214918,415.173514538559,13,19,0,651
6418.95424836601,51.5539215686275,6,1,0,487
6457.10290055249,695.459254143646,33,9,2,547
6522.56471053152,87.1155898043865,1,0,0,234
6527.35187340005,89.934605538748,11,1,0,727
