Xpos,Ypos,NGFR,JUN,LOXL2,SERPINE1
40.6879553181156,216.881495871782,0,40,21,2
78.1060830860534,647.083271513353,1,149,65,0
83.6649181703735,861.003776751993,1,68,41,0
117.183806600153,32.0214888718342,2,57,27,0
138.567300916138,270.151515151515,1,65,18,6
178.005937234945,722.915606446141,1,46,33,0
226.0869297164,218.590320591862,0,58,33,15
234.279267321476,514.026811786568,0,46,22,4
272.856371938564,877.831880448319,1,55,25,0
294.457168620379,617.714457469191,0,34,19,1
292.014940239044,61.5991035856574,0,46,12,3
299.668807810894,727.270041109969,0,41,28,1
312.285888970408,154.243580337491,0,50,9,6
333.885978835979,360.465343915344,2,69,37,9
340.992107340174,1186.00710339384,0,43,18,10
393.909090909091,647.762503932054,0,58,14,1
400.992693110647,275.780097425191,1,40,20,4
400.156111545478,862.376856919468,0,67,32,4
440.264413518887,429.733314399318,3,41,20,5
504.501380961149,576.058368624563,0,47,16,3
510.011220196353,92.8068022440393,1,31,10,0
520.079694785926,351.172530733362,1,42,25,3
545.553149171271,207.338121546961,2,34,37,11
573.238890195156,829.226193275335,0,69,26,4
587.778042959427,434.750994431185,0,25,24,1
623.147727272727,588.265769944341,0,67,9,2
635.409403669725,696.796636085627,0,66,8,7
657.840357967667,121.908198614319,1,14,4,1
678.21187427241,23.0058207217695,0,10,5,0
701.095070422535,200.574295774648,1,33,14,3
695.361271676301,337.957851637765,2,31,12,7
722.969362129583,726.577096936213,1,167,18,0
743.521265377856,577.460105448155,0,92,16,4
797.850845578043,479.212642084835,0,112,23,9
793.57127545552,872.108520900322,0,111,14,0
811.414241486068,295.028173374613,0,16,20,3
836.263836408091,770.804178706379,0,113,25,5
833.373265494912,94.9801110083256,0,13,14,0
949.664801751399,606.53393334955,0,81,25,5
973.78883321403,432.712419470293,0,38,26,1
1002.12865853659,55.9225609756098,0,26,13,0
1007.6714362851,269.886879049676,0,38,23,3
1101.22921348315,155.928539325843,0,48,11,0
1178.80672926448,793.6104590506,0,35,28,0
1165.7069637883,274.326183844011,0,25,26,1
1171.80335429769,74.2171907756813,0,27,13,0
1219.54266777133,18.9246064623032,0,8,0,0
1253.46858220868,530.573646785663,2,80,64,1
1333.6380069877,826.591219808598,1,48,36,0
1306.93767937679,99.9780647806478,0,45,8,0
1370.00838043266,271.029818748782,0,28,54,1
1429.18446414803,735.465304548959,0,48,32,1
1435.91371077763,28.0119372442019,0,5,4,0
1449.24040810461,412.23149877856,1,99,92,3
1453.39616519174,123.347787610619,0,12,2,0
1525.75375191424,209.581010719755,0,28,14,0
1555.31800503317,871.340425531915,0,26,36,0
1556.09497568882,599.37017828201,0,16,33,0
1618.6003467707,35.4603381014304,0,3,1,0
1670.97354118993,743.009868421053,0,38,36,0
1673.45325203252,224.13640469738,0,19,4,0
1706.14881398252,507.695880149813,0,10,49,0
1697.58230683091,76.3253079507279,0,2,1,0
1725.62554653342,321.025296689569,0,18,7,0
1788.46191646192,617.69484029484,0,8,24,0
1812.60443786982,901.857100591716,0,46,14,0
1808.50683413373,134.581824898412,2,53,4,0
1836.58166141602,1286.34969325153,0,6,2,0
1817.41156019122,298.760973489787,1,26,2,2
1944.94692949204,44.9241849886278,0,11,10,0
2021.75016458196,532.808097432521,1,27,5,1
1905.00171870524,676.982240045832,0,23,40,1
1896.49814814815,296.945185185185,0,28,11,6
1920.98602050326,172.143056849953,16,83,13,1
1939.57356907402,408.397362900809,0,61,25,10
1971.9851836394,814.30070951586,1,89,47,0
1960.96474267842,943.984077338641,0,47,22,3
2005.42607836681,505.996048732302,2,41,5,1
2002.74928321121,129.588722523097,1,11,15,2
2011.27511591963,645.536321483771,0,25,16,0
2041.6192353173,564.754828537643,4,18,13,5
2078.51914341337,397.145360155743,0,31,27,2
2092.04948453608,227.918671248568,0,24,49,0
2132.5848733092,905.246332634788,0,51,23,0
2151.9147260274,654.464726027397,1,38,25,0
2163.48617814831,100.582272926722,0,4,11,0
2192.53145833333,800.508125,0,55,53,2
2215.29632248939,401.408062234795,0,5,28,1
2250.87458949097,560.322249589491,1,22,72,0
2240.87914139057,36.8376108259449,0,3,4,0
2257.52404371585,238.821038251366,0,2,43,0
2313.80758426966,412.133426966292,0,11,29,0
2326.24190800681,902.660136286201,3,33,25,1
2366.25900839881,344.485505283121,0,17,18,1
2429.89377382465,204.148665819568,0,13,10,0
2437.21977089521,83.1340687314383,0,14,2,0
2476.18564814815,885.127314814815,1,51,28,0
