Xpos,Ypos,NGFR,JUN,LOXL2,SERPINE1
25.1532653831635,119.565118912797,0,0,0,0
36.7880910683012,240.450525394046,0,0,0,0
27.5362731152205,689.628022759602,0,0,0,0
26.3837675350701,840.302104208417,1,0,1,0
80.2440230832646,617.918384171476,0,0,0,0
107.662169454938,48.5596330275229,0,0,0,0
106.88160291439,338.223132969035,0,0,0,0
112.882096069869,186.719213973799,0,0,0,0
140.323752890651,540.162867525603,0,0,0,0
132.054848188051,717.643976493634,0,0,0,0
169.417752050169,824.24650265316,0,0,3,0
191.989443378119,47.7178502879079,0,0,0,0
194.98476702509,337.200268817204,0,0,0,0
220.512671375156,628.491483174076,0,0,0,0
221.198326359833,737.453556485356,0,0,0,0
226.592565329407,478.376150165624,0,0,0,0
225.955906821963,1024.88019966722,0,4,4,0
279.071864111498,762.626306620209,0,0,0,0
291.818008575512,868.276798475464,0,0,0,0
330.488862311257,74.4368365973987,0,0,0,0
310.362690152122,281.690152121697,0,0,0,0
315.876237623762,194.56300630063,1,0,0,0
331.218255578093,577.543610547667,0,0,0,0
342.427295562378,458.581635500977,0,0,0,0
351.093161012386,749.961766289715,0,0,0,0
381.95935529082,897.070077084793,0,2,1,0
392.540967896502,648.47053186392,0,0,0,0
391.862829148806,820.648499693815,0,0,0,0
444.786681104494,744.808337845154,0,0,0,0
456.716950788035,398.272434866517,0,0,0,0
469.982227488152,608.060821484992,0,0,0,0
490.305908750935,307.893044128646,0,0,0,0
485.110515740121,495.720361687877,0,0,0,0
500.771312584574,47.2776725304466,0,0,0,0
510.010631078941,831.419362135264,0,0,0,0
516.99106611078,910.61465157832,0,3,3,0
520.489666136725,1028.52146263911,0,4,4,0
564.74787414966,487.785714285714,3,0,0,0
610.044379656625,180.864269517331,0,0,0,0
599.69696969697,397.009906759907,1,0,0,0
629.372492836676,758.72533769955,0,0,0,0
643.19634525661,563.67301710731,0,0,0,0
643.198393574297,321.900401606426,1,0,0,0
671.402681836652,48.3177570093458,0,0,0,0
711.817724068479,368.008727760994,0,0,0,0
707.712449799197,693.844176706827,0,0,0,0
766.423349893542,582.769339957417,0,0,0,0
759.705136757839,876.37891927952,0,3,0,0
775.4034938219,758.359181934384,0,0,0,0
783.820973782771,462.079775280899,0,0,0,0
801.856813693219,113.840026333114,0,0,0,0
849.823945829486,245.790089258233,1,0,0,0
865.954458476847,566.24837351703,0,0,0,0
870.317829457364,898.489188086495,0,2,0,0
863.792490118577,368.705138339921,0,0,0,0
873.638788426763,809.108499095841,0,0,0,0
861.751953928425,702.380913204443,0,0,0,0
906.673126142596,73.9045703839122,0,3,1,0
932.057964791756,373.949334478317,1,4,1,0
953.392208553017,684.583333333333,0,0,10,0
993.101809541217,872.513800036556,0,0,1,0
961.078767123288,852.567351598174,0,1,2,0
980.23080377189,445.058823529412,2,2,6,0
1007.87405687754,190.607951247824,1,0,3,0
1002.7038147139,878.859400544959,0,1,1,0
