Xpos,Ypos,EGFR,PDGFRB,FOSL1,GAPDH
35.5357142857143,193.857142857143,96,1,2,488
40.5842044134727,574.230739450252,71,2,0,416
54.9401658767773,357.314573459716,47,0,2,223
52.7786211258697,21.4345351043643,32,0,0,340
109.033129623673,468.521389514313,58,0,0,417
119.432731508445,300.566686080373,27,1,1,329
136.6015625,735.545072115385,75,0,1,554
178.832030196819,914.073335130763,72,0,1,208
183.221341785526,373.133650290544,65,0,7,331
193.344119477287,525.372121966397,65,0,4,404
209.710954848261,812.403774981495,59,0,0,450
210.153128430296,670.093304061471,58,1,0,397
230.463492063492,122.317857142857,67,0,6,544
235.05866376969,581.07061379685,36,0,3,218
294.364509135955,349.346237225147,110,1,5,416
312.7804,598.5524,53,0,4,321
320.790877464244,56.3420950908388,110,0,6,516
325.724576271186,868.391242937853,61,0,1,448
325.701834862385,231.70126146789,75,1,5,507
378.652411735455,720.592242665341,64,0,1,371
387.9265625,453.664583333333,53,0,4,449
452.740517241379,348.144827586207,100,1,1,440
480.618851105976,529.963519313305,174,4,8,874
474.923311184939,224.367109634551,89,3,9,509
476.670924743127,755.756178839211,84,1,3,466
487.418535127055,65.1714000996512,70,3,5,459
557.243146603099,810.576281287247,93,0,6,359
588.860042411391,329.296879733414,131,0,3,655
618.646526772793,73.9196816208394,115,4,13,518
628.957926371149,636.312922614576,73,3,3,751
659.689821182944,186.066712517194,38,1,5,372
700.8356,310.7456,73,4,1,634
768.59315375982,65.5869809203142,70,1,3,393
770.272827891533,208.451023796348,67,1,5,468
776.448043184885,676.944669365722,62,1,1,497
821.549772691644,484.250509484245,387,6,7,1637
895.283884738527,310.378868729989,110,1,10,635
905.379729260673,127.490454703228,76,3,8,666
897.025657472739,740.141757536883,34,0,2,379
945.959308240081,952.751780264496,42,1,1,336
1183.51476154428,803.688115064345,35,0,1,237
969.079207920792,248.635643564356,82,2,14,341
1004.69581167839,731.032100275145,53,0,0,486
1074.74460011675,421.552831290134,90,1,12,554
1087.41730349345,54.3367903930131,157,2,6,653
1090.19454863716,255.627156789197,169,1,8,746
1094.87104825291,678.078618968386,61,0,4,433
1149.40272177419,573.344758064516,30,0,3,194
1197.24365256125,360.012917594655,61,1,7,241
1216.81173312883,498.302914110429,100,0,15,325
1229.92744479495,630.258990536278,61,0,8,385
1227.42311886587,741.568157033806,45,0,1,410
1247.06267487409,256.788192501399,169,6,19,631
1280.78482758621,384.80091954023,57,1,19,457
1300.01642908915,176.854312635902,166,6,17,1105
1336.97189922481,485.223352713178,74,2,22,539
1387.04173459407,610.81252037822,116,1,0,509
1439.01852631579,241.034105263158,59,0,18,645
1456.38918643203,444.864575363428,155,1,14,658
1462.20399234345,811.908941755537,127,1,3,538
1458.85698963175,665.521630318198,139,0,4,472
1515.50840550178,202.797249108507,73,0,10,458
1536.16913580247,369.659567901235,74,6,3,591
1542.87310549777,92.7845468053492,149,2,13,1015
1555.77286942924,701.469898358092,74,4,4,451
1584.88443396226,891.790683962264,87,0,2,530
1617.04035874439,561.651420029895,66,0,3,659
1646.05551794177,778.666892349357,113,1,7,508
1654.44879032258,153.154435483871,63,0,1,607
1664.42962659007,385.91136643414,79,5,25,504
1703.77955112219,224.978054862843,124,1,6,703
1721.36115916955,459.619809688581,94,3,15,487
1736.92211302211,827.648402948403,143,1,1,633
1775.75993485342,84.9915309446254,78,1,0,749
1792.74256292906,651.770022883295,71,1,1,676
1825.86746333514,352.045084193373,73,0,7,600
1845.45100626856,508.239854833388,110,2,9,494
1869.36832546313,258.75953505267,156,0,6,539
1887.77893030794,112.655753646677,83,0,2,523
1924.44539614561,842.051153937664,102,1,5,716
1960.6448390677,230.221975582686,52,0,8,260
2002.03283966516,959.493882807469,110,1,15,693
2002.32580037665,168.976773383553,49,0,9,320
2014.77448156682,431.045218894009,104,2,8,554
2009.35400633771,579.243549117248,59,0,6,399
2010.56147540984,51.7996926229508,74,1,6,394
2030.0215424386,296.469625161568,75,1,27,632
2095.735,114.678181818182,105,2,4,784
2114.41320850202,911.774291497976,46,2,5,528
2200.14451239137,613.574187318957,56,1,14,450
2198.95994173343,404.743141539209,86,1,13,668
2254.99829157175,536.593963553531,52,0,14,381
2266.24239298608,744.542031975245,30,0,8,475
2310.06839622642,217.937106918239,76,2,16,617
2348.10194624652,644.965400061786,99,1,4,510
2344.23348017621,356.788546255507,45,4,10,519
2404.44227129338,437.015772870662,83,0,17,582
2413.76083550914,572.961879895561,94,0,6,418
2423.60691537762,46.2247497725205,88,0,9,709
2487.2784493539,574.268028345144,66,0,5,344
2504.2467590523,766.234018775145,112,0,7,684
2511.73315118397,467.886612021858,53,0,3,406
2522.92237586424,225.38717787555,78,0,0,755
2551.93933737751,865.33271115259,72,4,6,483
2553.72485399092,645.581440622972,34,0,3,391
2569.89342948718,933.856570512821,40,0,7,412
2578.65926204819,45.488328313253,197,0,0,802
2589.3546184739,408.331726907631,74,0,4,602
2605.66901931649,534.660846953938,34,0,7,492
2661.25564681725,299.544490075291,65,1,2,505
2682.09257322176,705.413179916318,80,0,10,480
2712.39587545491,197.098665588354,58,0,4,925
2727.49291019581,377.665766374072,54,0,9,593
2758.55728073856,529.634074695762,133,0,7,394
2822.04828897338,462.334980988593,88,0,14,387
2837.40498220641,20.95871886121,64,0,6,333
2865.01771217712,893.469003690037,48,1,2,464
2867.50538492222,103.8711607499,58,0,2,447
2873.04444444444,331.51450094162,97,1,10,497
2892.43174061433,523.343344709898,67,0,10,355
2891.82123600166,733.025300705102,81,0,7,394
2906.04722422495,225.224224945926,98,1,30,455
3008.38907435508,395.415477996965,61,0,22,441
3004.61073541843,237.574809805579,82,1,27,473
3041.8661100804,39.9823747680891,170,0,20,573
3029.2188365651,591.722991689751,71,0,21,404
3066.26962283384,784.332313965342,28,0,1,328
3092.92120571126,434.328397673189,61,1,10,375
3118.64340344168,620.446940726577,42,0,17,355
3158.29155405405,128.39527027027,133,9,26,649
3167.07672727273,504.509090909091,82,1,5,486
3184.47971781305,709.902557319224,57,0,12,386
3272.33542074364,745.447749510763,74,0,1,470
3278.08410351201,172.943622920518,51,0,9,375
3321.82929242949,427.773874319644,133,3,65,660
3317.92272126816,233.369220607662,49,0,6,273
3347.94210847044,50.8433881779403,100,6,23,586
3428.90178023327,718.201964395335,103,2,11,553
3424.09919724771,264.79128440367,65,0,11,344
3447.31189903846,198.264423076923,53,2,5,322
3460.69818716316,526.450269475747,68,0,18,380
3476.61227970438,918.771461057419,42,0,5,489
3532.94740796394,510.582268970699,58,0,18,439
3544.32804428044,621.536162361624,63,0,0,316
3534.03657740039,146.721750489876,79,2,14,404
3596.8085106383,783.390070921986,89,0,21,383
3592.25582860744,183.338374291115,112,8,24,468
3625.11821705426,411.671834625323,95,1,23,432
3628.68972491909,345.854368932039,98,1,48,355
3648.08717948718,860.89641025641,68,0,4,390
3646.48664688427,693.312232113419,104,1,22,465
3646.14314928425,566.111963190184,91,6,41,338
3657.05846363018,15.1815091774303,94,2,12,350
3703.4089848308,99.8815635939323,71,3,13,374
3719.17899929528,530.562367864693,144,0,22,492
3714.45849297573,303.436355896126,96,0,19,313
3750.21322732201,918.25514998193,95,0,7,456
3759.90036900369,217.192619926199,128,2,1,345
3791.32452613441,318.539919586445,97,0,8,501
3864.08768821966,831.496014171834,77,0,15,478
3876.91450046978,719.828061384278,169,0,8,534
3889.34624468588,553.931034482759,67,7,20,403
3932.48995127893,932.613276492083,137,0,29,571
3940.74651972158,155.803944315545,221,3,12,810
3938.11820652174,292.356657608696,113,0,35,454
3934.98153135821,415.492497114275,93,0,10,440
3971.35867061533,683.29779532741,77,0,5,483
3974.56012269939,554.020245398773,72,1,14,344
4028.41101694915,360.545197740113,95,0,20,475
4081.12118289939,920.469302475088,142,5,26,556
4112.75309541151,527.885166302501,75,4,7,388
4094.01826086956,660.211594202899,84,0,4,420
4112.2150595883,116.136511375948,67,0,20,584
4117.29664723032,260.637026239067,107,0,29,591
4182.35703766042,390.511256048811,171,0,24,759
4187.83733826248,748.265249537893,101,0,23,484
4275.85654362416,568.530201342282,149,0,20,644
4294.80924630925,871.376845376845,72,1,2,459
4289.64923076923,692.475076923077,42,0,2,343
4316.28754402818,175.483189241114,248,0,34,785
4359.17943107221,68.3194748358862,86,0,17,562
4365.33156263834,952.916777335104,91,2,9,527
4368.2618525022,447.060359964881,136,0,20,621
4377.58994974874,687.695979899498,85,5,3,328
4460.97522816167,281.144285093438,92,0,28,513
4466.27817067421,437.4243281471,94,0,22,532
4496.31196581197,91.5365622032289,109,0,14,724
4548.21137067267,690.285674078244,180,2,4,648
4548.14149704531,869.874589625739,99,2,4,528
4561.77057710501,268.766319772942,86,0,8,487
4593.67969085444,494.058823529412,55,0,5,337
4652.92942453855,973.590662323561,50,0,4,11
4667.01690507152,613.036410923277,129,0,14,529
4679.83388157895,445.195065789474,89,0,10,428
4728.58922829582,822.701500535906,90,0,0,515
4732.32481022773,351.391530163803,88,0,19,465
4799.53600702576,503.576990632318,89,0,13,561
4860.09553872054,249.193181818182,86,1,15,559
4875.74213836478,768.775471698113,40,0,3,289
4902.50763665595,633.996382636656,53,0,6,369
4939.93386374938,822.583789159622,49,0,5,337
4961.03655107779,735.559512652296,42,1,8,290
4972.02135493373,33.6251840942563,90,3,6,456
4966.96393251891,134.142524723677,46,0,10,542
5046.28915996673,958.257277515941,52,0,6,181
5131.33977512298,330.667603654252,128,6,11,562
5123.99675792507,607.007204610951,75,2,13,467
5193.00206398349,769.327141382869,71,0,6,461
5234.20526572404,597.417357386641,67,1,10,399
5269.59538524928,847.309435517099,151,5,1,576
5276.92064979694,108.682911590128,134,0,15,671
5296.82663451233,470.179528403001,199,15,29,706
5296.6838316722,318.37707641196,70,1,11,395
5409.40631036703,232.320991629105,145,5,20,662
5437.3735744089,653.112378303199,146,3,15,774
5432.22326869806,25.6548476454294,76,5,2,420
5452.29891584925,351.316985028394,57,0,22,403
5462.79844031194,760.610377924415,137,3,1,567
5629.01068294544,810.418924074781,38,0,2,417
5637.25414141414,338.278383838384,83,0,15,425
5766.85883849089,186.399745654939,82,4,22,321
5814.2865497076,459.282119440014,99,1,20,517
5789.48408018868,583.14858490566,33,2,5,210
5803.93901890189,884.177092709271,109,0,5,473
5845.85828449654,768.821523708045,44,0,7,365
5856.44002068252,586.915201654602,54,1,7,256
5928.38432304038,533.919239904988,53,0,14,280
5944.81091877497,808.184642698624,40,0,3,332
5949.88701359587,161.732301922175,50,1,11,373
5963.71324422843,910.06439854192,81,0,20,510
6058.17457719585,276.864157119476,199,4,30,879
6060.9389813414,51.5905194150277,51,0,12,370
6110.74839154412,920.202435661765,85,0,6,668
6088.24464960134,744.366344943349,53,1,15,405
6142.0981443299,661.217731958763,52,0,3,328
6231.03363074811,764.1153054221,126,4,11,415
6229.16589278176,590.018151118615,102,0,13,358
6272.35782241015,34.365221987315,61,0,6,388
6310.45682585625,903.808972503618,77,0,8,477
6340.81430745814,568.330289193303,126,1,21,584
6351.4359430605,660.442615658363,48,1,11,337
6381.61385634233,910.256240448293,80,1,6,589
6408.90673119226,708.24725032996,63,0,23,349
6413.72234368168,266.068211630958,87,0,16,471
6452.43236212279,83.8158168574402,86,1,12,696
6466.50994108984,408.60235640648,90,1,11,425
6496.57431192661,491.946177370031,52,0,2,358
6517.78775199696,636.308482312666,169,0,20,406
6526.23179045569,247.002511661285,65,1,5,511
6598.62754360465,458.91824127907,74,0,9,513
6638.21366782007,281.043252595156,33,0,6,560
6751.42947202522,784.489361702128,40,0,8,262
6766.704778157,703.02090443686,53,0,0,382
6782.78675400291,471.446870451237,130,1,31,699
6796.48867860764,902.606285907401,119,4,14,580
6849.88932806324,688.588438735178,65,0,6,395
6872.24161280394,366.204678362573,148,5,35,693
6923.00850405876,679.412060301507,25,0,3,336
6947.41832519715,953.089748404056,67,0,5,528
6958.58970753656,477.214566929134,145,4,46,461
7008.31168316832,586.636435643564,158,1,29,612
7031.87574910108,272.562924490611,43,0,16,499
7050.20172496406,418.570675610925,74,0,21,346
7182.91655886158,483.496119016818,22,0,9,388
7201.47377501725,237.410282953761,64,0,0,572
7206.55770183259,336.570084200099,65,0,10,393
7297.90124309392,686.925069060773,78,1,10,600
7308.28585397653,942.776727509778,143,3,23,845
7398.19925611052,604.784803400638,35,1,4,331
7395.3923627685,703.849164677804,40,0,2,340
7413.92052023121,168.715799614644,48,1,5,390
7448.46530746465,369.402499177902,59,1,13,469
7521.05953002611,603.842297650131,38,0,0,501
7574.52564809708,847.718560397132,171,3,0,875
7554.29366515837,177.43665158371,90,1,29,330
7574.66058277297,400.968940121678,72,0,18,407
7663.4524979525,155.264946764947,148,3,18,701
7707.92502466294,454.142716211772,67,0,11,381
7720.0757058641,590.605646912814,147,2,23,540
7747.48770301624,863.329466357309,77,0,5,396
7751.80448065173,357.710115410726,33,1,21,218
7772.59223985891,161.70582010582,122,0,19,637
7793.16571194763,765.245090016367,79,2,1,487
7854.72333600642,459.937048917402,70,0,10,384
7871.15532879819,288.87925170068,54,0,22,275
7885.1934401789,196.758106597093,77,4,19,438
7924.87213342599,60.0555941626129,206,3,17,656
7929.36111111111,354.929166666667,97,5,33,283
7971.04312227074,918.743995633188,97,1,11,500
8058.36229287953,370.193013882669,128,5,41,585
8079.90087195961,70.7379531895365,120,0,9,434
8101.20126984127,474.760317460317,160,3,41,499
8183.65132715565,848.444479346631,329,11,5,762
8192.67124735729,524.404862579281,55,0,14,241
8189.02993451824,233.818989710009,106,0,36,576
8229.42521192234,674.027344818157,105,3,19,530
8273.3096359743,75.6209850107066,101,0,4,688
