Xpos,Ypos,NGFR,NRG1,FOSL1,VEGFC
52.0341438178996,60.9994826694258,0,4,3,0
134.060028860029,220.154401154401,0,29,19,0
130.793777423215,712.629038691663,0,5,13,0
271.310475634666,674.491975488766,0,8,27,0
302.435897435897,430.226867335563,0,5,9,0
421.37150951032,103.859975718333,0,54,85,0
521.943487250172,275.440041350793,0,24,32,0
598.111365719523,756.735105407883,0,3,1,0
635.434044616877,920.629970902037,0,5,5,0
859.748151370161,546.079164854284,0,5,4,0
1028.65727411945,754.023277182236,0,3,4,0
1024.88873812754,277.337856173677,0,6,15,0
1038.32230769231,899.502692307692,0,3,0,0
1147.05317324185,673.958404802744,0,5,7,0
1292.125,194.180509868421,0,7,17,0
1367.63073304586,123.477459819679,0,18,38,0
1500.55097706032,576.985556499575,0,5,2,0
1567.19972862958,453.568249660787,0,20,45,0
1850.51082846339,316.046407700241,0,14,79,0
2161.40476957783,557.169513374154,0,10,11,0
2218.27433628319,768.889380530973,0,3,2,0
2402.29127857748,866.707451312447,0,2,1,0
3295.81490159325,667.93908153702,0,3,2,0
3336.49035576511,116.831975996571,0,26,93,0
3364.98034734918,791.668647166362,0,1,2,0
3519.75831702544,868.685909980431,0,9,1,0
3571.26032823995,755.527447651387,0,4,1,0
3592.53146853147,656.357642357642,0,14,43,0
3695.26523151909,341.523151909017,0,9,42,0
3762.69924541861,693.617319439454,0,1,5,0
3813.29322766571,78.9773054755043,0,8,29,0
3911.58512898331,456.474658573596,0,5,35,0
3957.03593303389,862.844834626378,0,1,1,0
4096.81720919645,393.744366036877,0,26,146,0
4170.13872022419,869.608127043438,0,1,0,0
4289.42119866815,919.702552719201,0,1,4,0
4326.52894954508,818.698924731183,0,3,3,0
4621.2263502966,550.547299406806,0,8,11,0
4761.32952380952,683.274149659864,0,3,23,0
4863.66281755196,253.832563510393,0,16,32,0
5029.81930879038,894.064613072878,0,6,6,0
5048.25674178057,390.771333579608,0,5,12,0
5072.9661259542,620.985209923664,0,1,6,0
5088.27524856096,37.6206174777603,0,1,9,0
5119.41591987348,143.998945703743,0,3,11,0
5285.51854939558,358.360566902876,0,4,5,0
5375.28201970443,441.710180623974,0,4,7,0
5529.9889298893,258.328940432261,0,2,3,0
5561.00242954325,358.233722060253,0,2,1,0
5644.68695652174,132.459038901602,0,9,5,0
5681.72847948512,849.451327433628,0,2,2,0
5709.00290556901,260.595641646489,0,3,4,0
5811.00737704918,691.653825136612,0,1,16,0
5847.414503386,489.558126410835,0,9,53,0
5941.7405982906,938.729487179487,0,7,20,0
5950.11203117389,527.075012177301,0,5,12,0
6085.99804782821,760.182528062469,0,2,0,0
6134.5384279476,402.08384279476,0,15,45,0
6135.08907641819,634.267229254571,0,1,8,0
6182.59600665557,287.820299500832,0,28,41,0
6267.02653799759,734.791716928026,0,6,1,0
6284.37084148728,911.615459882583,0,3,0,0
6342.17506874427,442.263978001833,0,9,9,0
6417.46390598769,918.216564073867,0,2,2,0
6516.11555708865,87.5146602276647,0,10,6,0
6640.12136888181,554.463191404696,0,7,5,0
6669.37814343372,352.496740142813,0,9,31,0
6858.37747572816,529.300970873786,0,10,18,0
7323.54649499285,819.281831187411,0,6,20,0
7325.54469956033,104.023448949682,0,17,13,0
7396.52645095018,626.517205957884,0,10,45,0
7441.91709034024,412.776300351975,0,12,15,0
7524.42564619,599.519973145351,0,4,11,0
7619.91708333333,214.579583333333,0,11,19,0
7610.6782778865,563.33072407045,0,5,10,0
7853.08698630137,582.798630136986,0,13,31,0
7877.19226260258,240.739742086753,0,18,3,0
8035.94720072827,377.417387346381,0,4,16,0
8106.69584245077,36.7452328852766,0,9,9,0
8141.48612315698,891.555073720729,0,2,2,0
8169.02549575071,712.523229461756,0,3,10,0
8172.91831683168,153.45495049505,0,6,10,0
8206.11228070175,302.571929824561,0,6,17,0
8312.80620503597,425.121852517986,0,8,37,0
8330.90909090909,117.998015085351,0,5,17,0
8403.09108057127,286.22877930477,0,14,24,0
8405.4239460371,596.668465430017,0,3,12,0
8437.2230927835,678.711340206186,0,3,0,0
8488.986,376.8704,0,3,22,0
8515.16962025316,33.0092827004219,0,7,13,0
8530.87870619946,177.095687331536,0,2,18,0
8530.62535904801,953.26754205991,0,5,5,0
8624.51558441559,760.383116883117,0,3,2,0
8706.52618904274,25.7254665863937,0,4,3,0
8761.28341993387,367.666509211148,0,21,3,0
8766.17906746032,825.451884920635,0,1,5,0
8802.78057960105,235.843056078284,0,3,18,0
8843.10888145671,61.8071348940914,0,8,27,0
8894.98361904762,337.058666666667,0,12,52,0
8918.90312300829,934.384958572339,0,4,3,0
8958.81882821388,184.031285551763,0,8,5,0
8937.39862542955,712.963672066765,0,6,15,0
9050.84634146342,27.0869918699187,0,15,60,0
9066.59029345372,867.209179834462,0,1,6,0
9087.45071010861,551.177527151211,0,9,15,0
9099.9036445332,658.949575636545,0,4,7,0
9158.00765420982,719.083746060333,0,6,12,0
9209.26154474867,505.749897834083,0,8,18,0
9221.36439615545,395.535311324697,0,5,27,0
9216.34081902246,966.680317040951,0,1,2,0
9258.39463163906,140.059394631639,0,5,6,0
9269.14746732026,784.679738562092,0,1,1,0
9311.85886654479,883.401828153565,0,0,1,0
9328.09005763689,77.0871757925072,0,7,6,0
9413.84524590164,587.822786885246,0,22,14,0
9428.8498003992,948.327345309381,0,0,13,0
9447.29763197914,729.914403649794,0,6,2,0
9530.50168010753,285.966397849462,0,13,11,0
9580.49727272727,110.246363636364,0,7,44,0
9602.49512012012,578.418543543544,0,13,30,0
10030.7986251516,299.032349373231,0,31,153,0
10051.7835227273,110.900568181818,0,9,26,0
10188.8131450299,202.624117327539,0,2,6,0
10282.4388398487,827.733291298865,0,2,2,0
10294.7141590304,691.474430978422,0,7,12,0
10339.4395852119,364.098286744815,0,2,3,0
10440.1427297056,430.595896520963,0,11,13,0
10489.6672885572,547.082089552239,0,7,30,0
10519.4838262477,120.837800369686,0,11,21,0
10614.9020234292,530.606673766418,0,3,22,0
10770.4471544715,732.253510716925,0,1,10,0
10902.1673422119,751.078170237406,0,3,2,0
10905.1710158434,560.758620689655,0,9,12,0
10932.3736383442,178.682461873638,0,10,1,0
10964.747112462,703.849240121581,0,2,12,0
11096.8468830796,673.673944268888,0,0,33,0
11112.9417475728,264.010194174757,0,3,8,0
11150.1068376068,850.2442002442,0,0,7,0
11330.8847736626,369.135054246165,0,12,13,0
11361.4347090663,600.702300405954,0,1,10,0
11416.7619047619,774.624542124542,0,4,3,0
11608.4001667361,402.786160900375,0,22,30,0
11609.9587433762,576.690764572294,0,11,24,0
11809.701682243,604.103551401869,0,26,39,0
11893.6417833074,866.567133229653,0,1,4,0
12003.89958159,128.303347280335,0,4,7,0
12062.7764177887,260.442268461852,0,2,1,0
12184.5832061069,217.939185750636,0,12,1,0
12484.7891552767,508.814698633206,0,2,1,0
12527.182814555,35.8684787373959,0,17,0,0
12584.860768673,826.200870195794,0,5,1,0
12693.7520518359,451.277753779698,0,16,1,0
12714.0669671603,165.987121699936,0,22,4,0
12821.9257688229,619.530929657123,0,15,2,0
12814.288993923,356.861917623228,0,12,4,0
12869.261627907,46.5255813953488,0,7,0,0
12953.3016548463,418.906382978723,0,9,5,0
13010.7640328924,747.708258848766,0,0,1,0
13024.5607054963,164.102132895816,0,9,17,0
13044.0142090306,547.07451847174,0,9,6,0
13048.1312234658,359.680046314164,0,15,6,0
13116.2958079784,877.071670047329,0,5,3,0
13152.205684368,480.212789827973,0,4,7,0
13162.5315895372,690.352515090543,0,5,2,0
13257.9876705142,50.5598111227702,0,6,119,0
13331.4220325834,273.50543056633,0,10,9,0
13336.782369146,622.262495080677,0,6,30,0
13403.4312617702,876.74670433145,0,8,1,0
13438.9729957806,745.733333333333,0,0,2,0
13492.0496492175,315.368321640583,0,9,46,0
13565.2245666918,215.975885455916,0,18,32,0
13819.3215424761,692.184111336619,0,9,26,0
13819.9463768116,23.1876811594203,0,1,0,0
13979.330802603,943.733731019523,0,1,0,0
14038.8609677419,254.688387096774,0,16,19,0
14141.832,93.3212631578947,0,15,40,0
14274.3284736686,371.140731925022,0,5,47,0
14305.015470563,609.67984529437,0,7,9,0
14339.5406422479,844.911941796287,0,8,5,0
14456.8772328678,356.540759987009,0,3,44,0
14498.0066518847,146.570288248337,0,7,10,0
14571.7861664713,597.320046893318,0,16,94,0
14751.7996604414,32.8862478777589,0,4,1,0
14790.6130004305,265.863538527766,0,5,16,0
14822.5310600053,790.868358445678,0,9,17,0
14840.1072695035,806.828014184397,0,0,1,0
15185.9185552408,355.821883852691,0,7,17,0
15355.6586263287,473.43172526574,0,16,11,0
15365.5153583618,755.074154514428,0,3,2,0
15391.1356809943,247.030295183843,0,10,24,0
15695.8248055669,834.76381498158,0,1,1,0
15884.7523564696,840.381748071979,0,0,1,0
15987.4486552567,486.162184189079,0,8,7,0
16187.2037543997,361.270238560813,0,16,14,0
16238.2109251658,737.998105462583,0,2,6,0
16286.1596045198,545.714218455744,0,3,18,0
16360.4770070148,495.509223174851,0,9,24,0
16371.2602020202,355.052525252525,0,14,13,0
16411.6095152603,785.597396768402,0,5,3,0
16502.3096821877,32.4863266814486,0,22,56,0
16540.4917859036,512.776629570747,0,10,56,0
16543.6130163679,667.700701480904,0,9,14,0
16608.3742280774,891.853849320708,0,3,2,0
16627.579020979,367.537995337995,0,5,8,0
16687.1594105827,690.415271265908,0,5,5,0
16779.3446261682,107.371495327103,0,5,7,0
16826.7371868979,328.348747591522,0,4,4,0
16913.8341103341,676.736596736597,0,1,2,0
16943.908649174,44.3838678328474,0,1,3,0
16985.5603079555,911.823353293413,0,1,20,0
17018.4631879914,519.954253037884,0,10,10,0
17154.857380873,411.436187937354,0,9,88,0
17174.6816208394,897.28509406657,0,1,8,0
17222.3878157504,788.291728578504,0,7,1,0
17291.413559322,634.479661016949,0,21,17,0
17383.3115419297,723.485572587917,0,7,2,0
17868.2097594036,634.157573703829,0,4,2,0
17987.5924623116,677.532663316583,0,1,4,0
18081.3423180593,647.455525606469,0,4,1,0
18229.3411386593,808.688246097337,0,4,0,0
18367.1295681063,817.488372093023,0,1,2,0
18413.6358450202,386.04635131923,0,12,22,0
18517.9370503597,408.748201438849,0,7,3,0
18574.4325566131,692.733180177224,0,8,15,0
18623.0697615424,500.117199391172,0,12,37,0
18718.3477894737,569.457684210526,0,10,5,0
18708.0727699531,47.5525821596244,0,6,13,0
18849.8710743802,227.095041322314,0,3,26,0
18925.4325699746,387.251060220526,0,4,4,0
19007.3759791123,361.006788511749,0,8,3,0
19058.3955739972,785.736284001844,0,3,3,0
19077.6981677917,107.455641272903,0,11,5,0
19156.4467030243,297.347545860188,0,7,3,0
19163.076419214,761.279475982533,0,2,2,0
19269.8792007266,309.095367847411,0,19,37,0
19416.257616248,121.569214323891,0,7,29,0
19437.1550503168,726.254193067462,0,5,4,0
19453.2789646672,406.19433032046,0,7,42,0
19555.0746829497,372.891028651949,0,5,5,0
19599.7960636516,607.522613065327,0,2,11,0
19587.8036327933,290.796269023073,0,10,7,0
19603.781606149,775.718261330506,0,0,13,0
19681.494723512,448.930772477839,0,9,24,0
19695.5591247672,357.499068901304,0,4,27,0
19751.597718254,286.434027777778,0,4,11,0
19885.2077114428,458.901741293532,0,4,23,0
19901.3573287077,219.224631396357,0,2,2,0
19904.7639077341,43.9796472184532,0,3,18,0
20109.0215479332,786.508795074758,0,3,1,0
20151.8770442156,943.004239854634,0,1,0,0
20151.7642512077,182.539130434783,0,1,16,0
20264.6745043799,470.002766251729,0,1,9,0
20294.9276872964,850.839413680782,0,3,6,0
20360.4269301471,277.213694852941,0,4,7,0
20460.8797552541,424.485767491354,0,13,76,0
20596.1458842706,343.490627546862,0,9,7,0
20849.6136595311,241.942575603126,0,16,21,0
20949.9522952295,318.218271827183,0,17,6,0
21020.0696682464,205.740758293839,0,13,25,0
21249.9686670207,232.383961763144,0,8,3,0
21265.004130335,32.9490592014686,0,4,9,0
21335.5645377401,907.001786511836,0,0,2,0
21469.5792151163,929.591206395349,0,7,26,0
21508.6623478602,393.836277974087,0,13,0,0
21727.595917142,51.2251576103272,0,5,0,0
21778.0459479016,423.752532561505,0,19,0,0
22032.4263674614,875.525946704067,0,11,2,0
22045.0502879079,737.901343570058,0,4,0,0
22054.4411111111,272.691944444444,0,38,5,0
22600.059222702,136.983343615052,0,2,16,0
22429.5203271028,897.486214953271,0,1,24,0
22456.7438271605,650.005401234568,0,20,3,0
22522.4265512266,384.714285714286,0,7,29,0
22583.3160333642,709.377510040161,0,1,48,0
22609.2563510393,122.667436489607,0,2,1,0
22713.1268696581,693.198717948718,0,3,32,0
22847.0889074693,404.558249721293,0,4,17,0
22854.4781167109,865.183687002653,0,4,28,0
22866.1747336377,683.253881278539,0,8,28,0
22983.7333333333,232.991044776119,0,2,3,0
23071.4943762781,306.730572597137,0,4,0,0
23200.4977992958,662.244278169014,0,4,6,0
23328.7092686459,41.3797972483707,0,6,39,0
23332.7428003972,724.99950347567,0,1,5,0
23359.1027366532,183.419919246299,0,13,17,0
23408.8356583872,384.758421231711,0,9,19,0
23430.4343782294,561.405442645539,0,4,12,0
23569.7482550023,255.841321544905,0,10,17,0
23727.1910066007,375.553630363036,0,8,21,0
23744.930465718,595.644566623545,0,35,136,0
23939.0528784648,430.210234541578,0,5,15,0
24118.5784671533,320.506204379562,0,1,1,0
24160.1991294886,868.815741748277,0,4,1,0
24191.7426658163,247.022321428571,0,10,33,0
24254.2929139826,830.354679802956,0,2,0,0
24286.0256756757,414.491081081081,0,3,23,0
24569.7036158862,53.0983995257854,0,6,0,0
24624.5651945321,122.298633017876,0,9,7,0
24626.7731207289,715.061047835991,0,4,4,0
24686.1827293755,522.83500385505,0,4,43,0
24832.5240384615,215.808566433566,0,8,25,0
24899.0008196721,444.173360655738,0,14,15,0
24968.2693965517,293.50474137931,0,4,3,0
25155.6464684015,285.695167286245,0,16,49,0
25174.7222421847,459.00898311175,0,1,22,0
25285.8998561151,762.620431654676,0,5,5,0
25473.5401762571,116.315189217211,0,8,6,0
25591.7942583732,253.421351674641,0,12,69,0
25897.0967308554,879.934617107031,0,2,0,0
25969.4695,843.588,0,5,0,0
26478.7553897181,949.639718076285,0,4,12,0
26523.9333333333,317.402424242424,0,13,25,0
26571.1404878049,109.211219512195,0,7,15,0
26583.3261851016,812.187358916479,0,13,8,0
26619.1520172911,557.097982708934,0,4,1,0
26754.828202309,485.129466739967,0,9,69,0
26779.7047220562,832.591751344889,0,6,20,0
26811.5306781485,209.814208826695,0,37,58,0
26830.7326994189,923.720549392499,0,3,3,0
26876.4163424125,652.5129112133,0,5,4,0
27006.3838342811,696.801380991064,0,0,7,0
27083.5317851959,816.299274310595,0,1,1,0
27088.9604064471,362.170287316048,0,9,26,0
27120.6837044534,158.384362348178,0,15,122,0
27162.6632801161,950.841799709724,0,4,16,0
27179.6626984127,594.715608465609,0,3,15,0
27274.9856361149,447.067715458276,0,15,35,0
27278.1877012234,192.137797810689,0,17,43,0
27310.0839041096,724.924657534247,0,5,9,0
27361.5356777057,608.58381700239,0,7,12,0
27405.7544141252,861.347672552167,0,3,2,0
27400.3527042578,321.833716915995,0,15,68,0
27431.9596958175,137.990874524715,0,11,34,0
27499.0780243379,569.329992841804,0,9,29,0
27511.0154597234,329.787632221318,0,12,5,0
27587.1605545617,759.7343470483,0,2,12,0
27581.672183908,170.089195402299,0,4,4,0
27624.6924910608,564.758045292014,0,17,9,0
27844.192838654,159.167385677308,0,3,11,0
27868.0447139068,859.284577491474,0,4,3,0
27877.7622072251,296.844382691544,0,3,25,0
27917.5294561934,468.617069486405,0,6,30,0
27925.5490930032,704.182551108552,0,4,6,0
28026.5793406593,818.673406593407,0,3,6,0
28070.4826789838,39.0051963048499,0,1,0,0
28105.5623276338,411.19194704909,0,6,48,0
28193.1740139211,637.519721577726,0,0,2,0
28209.9156553398,308.346480582524,0,4,35,0
28292.8903107861,102.793875685558,0,3,6,0
28368.8838912134,632.485355648536,0,4,1,0
28390.715603382,853.333973866257,0,6,19,0
28503.3727557709,454.832145910516,0,4,28,0
28814.7776609724,679.370565045992,0,4,8,0
29045.1657317695,799.181540030597,0,1,0,0
29139.8852594016,358.130387043645,0,35,31,0
29142.862027833,913.84055666004,0,2,1,0
29188.0304904993,30.7335395492709,0,15,49,0
29338.9204275534,535.306413301663,0,9,31,0
29372.7413587604,162.397695669448,0,35,25,0
29531.2304635762,177.41059602649,0,17,13,0
29616.6198793268,493.965068275643,0,19,16,0
29733.3449852989,297.34563868017,0,22,44,0
29916.0412451362,914.101945525292,0,12,16,0
29974.0963339577,176.775755953974,0,14,119,0
30040.8588319599,770.329989251164,0,2,7,0
30107.6812069531,591.449983601181,0,9,12,0
30283.4230503796,869.427536231884,0,3,6,0
30289.9684244792,387.5810546875,0,17,172,0
30415.9650145773,407.706997084548,0,36,163,0
30461.3044083527,122.210208816705,0,12,147,0
31060.843358396,70.253634085213,0,31,123,0
31340.8834250344,478.447386519945,0,12,37,0
31426.1126385809,337.351662971175,0,2,5,0
31478.1563227308,134.461986035687,0,3,14,0
31568.0634210526,457.491315789474,0,9,41,0
31704.8222429037,64.0939972080037,0,21,6,0
31875.2691436339,369.574082464884,0,3,4,0
31931.833518313,948.254716981132,0,4,1,0
31934.4762757386,315.915846016115,0,12,9,0
32001.6336442586,471.413959472499,0,8,23,0
32022.4838544336,829.776012301384,0,3,1,0
32084.4165492958,36.6330985915493,0,11,30,0
32111.2143139581,512.491894029261,0,21,30,0
32132.5950413223,753.7101738387,0,3,16,0
32241.241693218,782.216203914429,0,9,2,0
32282.851070529,230.132871536524,0,7,43,0
32431.5248458469,794.195139644541,0,0,0,0
32495.0545722714,377.205014749263,0,5,2,0
32516.5496273048,121.566496665359,0,4,6,0
32536.5368928439,580.230255839822,0,9,20,0
32643.8600220872,797.859193815572,0,0,13,0
32657.926028481,467.420490506329,0,8,2,0
32752.9731543624,445.819239373602,0,11,3,0
32752.2012618297,27.8990536277603,0,3,9,0
32772.8473029046,204.007468879668,0,5,38,0
32851.6430045398,594.326454808089,0,8,37,0
32888.0105698529,785.314797794118,0,1,15,0
32904.3167649537,184.93049705139,0,15,22,0
33116.5758606035,718.113472163196,0,5,14,0
33485.30759372,846.952258891381,0,4,2,0
33464.0974069149,549.087765957447,0,3,17,0
33473.0382695508,869.575707154742,0,10,41,0
33609.3095100865,434.463112391931,0,13,37,0
33768.719259724,775.308030112923,0,1,11,0
33947.4422903517,916.400360685302,0,6,2,0
33975.3549488055,378.053090633295,0,15,78,0
34049.0999555753,734.813860506442,0,9,15,0
34076.8236397749,598.847091932458,0,4,20,0
34110.9050728277,940.403314917127,0,4,1,0
34255.2715654952,156.854810081647,0,15,40,0
34290.8194993412,941.970136144049,0,7,2,0
34303.1933165649,540.472152353575,0,6,14,0
34365.715785381,182.236391912908,0,16,14,0
34435.4220779221,428.319709702063,0,5,3,0
34487.5684357542,737.704748603352,0,11,15,0
34527.8145131433,185.475749722325,0,14,91,0
34706.9165730337,823.256741573034,0,9,8,0
34746.9064579256,343.282191780822,0,15,118,0
34836.2506702413,484.761840929401,0,6,57,0
34877.6431095406,834.45897133883,0,3,12,0
34925.5266750948,546.233375474083,0,6,51,0
34996.4858548585,708.612956129561,0,27,25,0
35069.1650868878,208.451421800948,0,3,16,0
35126.9790745653,329.344532861774,0,15,9,0
35182.0671987642,485.178939237899,0,1,3,0
35164.3051317614,720.516643550624,0,0,4,0
35215.7367567568,657.509189189189,0,1,0,0
35393.2347334981,687.788916343099,0,2,0,0
35533.0639509417,624.546649145861,0,5,0,0
35666.711493718,614.237319683574,0,2,0,0
35671.4570833333,808.610416666667,0,0,0,0
35689.4537902388,98.0474212530287,0,3,1,0
35807.2294605809,55.2966804979253,0,2,0,0
35809.9312410842,434.485592011412,0,34,0,0
35961.2353452019,162.422926617455,0,10,3,0
36102.5010635065,384.149194773625,0,20,82,0
36243.6782894737,449.649013157895,0,18,21,0
36291.2826420891,149.703533026114,0,18,28,0
36322.5472618155,686.106526631658,0,2,8,0
36347.4500693481,256.848127600555,0,41,60,0
36450.5050675676,485.140540540541,0,19,24,0
36445.3641703377,762.067058247675,0,0,0,0
36489.13089701,895.988704318937,0,0,0,0
36506.5515267176,624.929389312977,0,1,2,0
36623.3794376598,213.093439363817,0,22,34,0
36646.3323232323,460.342087542088,0,12,20,0
36674.0080769231,36.0819230769231,0,35,152,0
36805.9734255552,631.98980706225,0,5,30,0
36930.8841234011,432.41309255079,0,19,32,0
36961.8612656467,560.915159944367,0,1,18,0
24.5985432733505,1695.20608397601,0,3,2,0
125.377026401112,1850.32190829088,0,4,10,0
139.164931278634,974.170345689296,0,9,13,0
166.080901856764,1660.01370468612,0,11,3,0
254.966494845361,1264.46950171821,0,15,5,0
351.858776443682,962.831332189823,0,6,5,0
544.731187884524,1220.48556554662,0,11,13,0
601.719583333333,1868.88375,0,8,28,0
646.706595905989,1636.67589082638,0,9,11,0
699.91348973607,1136.00806451613,0,5,14,0
775.171029042668,1122.51129437074,0,15,64,0
875.350812064965,1528.56519721578,0,1,5,0
901.867454068241,1665.51924759405,0,11,2,0
991.145528044467,1044.74229408792,0,2,13,0
1083.72740888667,1721.50773839241,0,0,7,0
1192.9098173516,1471.08789954338,0,2,5,0
1275.0231918239,1013.27594339623,0,27,21,0
1428.26050808314,1396.12840646651,0,4,23,0
1453.48565022422,1161.78161434978,0,21,26,0
1497.02884182064,1401.11041009464,0,4,32,0
1603.17334533994,1625.04772624944,0,5,9,0
1605.0990990991,1195.22322322322,0,6,18,0
