Xpos,Ypos,NGFR,JUN,LOXL2,SERPINE1
35.0174627632255,868.425269645609,0,0,0,0
124.327953997403,635.283249860879,0,9,3,0
177.559071729958,215.970698546648,2,14,5,0
231.676609105181,613.487441130298,0,2,0,0
249.422566371681,1181.37389380531,5,2,0,0
284.869455645161,218.857862903226,5,11,4,1
306.255411255411,1155.39579468151,5,0,0,0
454.664367816092,595.209195402299,2,2,0,0
495.93429225237,533.344230140569,3,6,3,0
524.864029666255,172.522249690977,0,1,1,0
699.73018792483,465.488204718113,1,5,7,1
619.069003895381,333.764051196439,0,2,0,0
652.190168175938,952.269728331177,0,0,3,0
764.033982300885,311.06796460177,0,2,3,1
1189.41766233766,1322.28987012987,1,3,3,0
978.289824854045,234.502085070892,0,5,8,4
1045.27895914941,884.921096810297,1,1,1,0
1291.38619854722,429.134382566586,1,2,17,3
1363.93026599569,557.657081236521,0,0,14,1
1417.35603345281,493.893070489845,4,10,16,3
1422.35592156863,356.940862745098,3,0,5,0
1426.34759547383,184.132602545969,2,0,0,1
1476.33645890789,613.42250413679,1,1,28,1
1514.77220447284,215.827795527157,1,1,0,0
1529.63985532208,351.445056837754,1,0,8,0
1522.55242334322,18.2566765578635,0,0,2,1
1570.3637077769,117.012961508248,0,0,0,0
1582.74580335731,550.537170263789,1,0,4,0
1674.50355871886,363.706801107157,0,0,2,0
1648.58754027927,438.593984962406,0,1,3,0
1688.04082563576,176.476109020413,0,0,0,0
1689.03666777445,745.46516007533,3,4,6,0
1703.58652339378,535.032907991941,1,3,1,0
1824.0066456222,244.22877554411,1,0,1,1
1775.0094029149,497.096850023507,0,0,0,0
1775.75846833579,596.741286205204,1,5,0,0
1860.695056147,445.804141752953,0,1,3,2
1962.21180410213,665.82693828194,0,1,2,0
1918.67491063665,876.889769104434,1,1,1,0
1926.36156351792,512.257328990228,0,0,9,0
2221.27079575065,325.422128683103,0,5,2,0
1923.9328358209,872.129434793247,0,0,5,0
2022.70026350461,616.772256728778,0,2,9,0
2093.75131655939,506.059098888239,1,4,26,0
2120.08591466978,150.114552893045,0,0,1,0
2174.96413043478,657.571739130435,2,3,31,0
2194.96182620372,281.990600422022,0,2,1,2
2256.3062898815,380.219462169553,0,0,1,0
2310.05351733423,709.029956243689,3,3,4,0
2517.6987474235,428.228634850166,0,0,6,0
2816.78325064966,110.968343964092,1,0,2,2
2854.62632375189,125.642360060514,0,0,0,0
2896.796444667,209.921882824236,1,5,5,2
2964.55446756426,23.3408812729498,1,1,0,0
3057.24114671164,237.683342701892,9,6,12,3
3062.32240346205,921.588382157124,2,1,3,0
3057.98728233222,116.962433965956,0,0,0,0
3136.92450891508,633.473133877304,9,8,12,0
3347.2323189027,499.291613087584,3,5,10,1
3378.18355893034,672.372400132057,1,2,2,0
3518.01802575107,366.866094420601,1,2,12,0
3669.59071428571,236.251428571429,0,0,0,0
3962.90262020529,704.182198811453,0,0,2,0
3909.98145506419,678.708511650024,0,0,0,0
3986.18509518023,715.036046982584,2,0,2,0
4101.26536016949,800.046786723164,0,0,2,0
4155.68165070007,861.035372144436,0,1,2,1
