Xpos,Ypos,LMNA,AXL,LOXL2,GAPDH
52.02828854314,304.966053748232,39,1,15,68
88.927744510978,263.444311377246,89,1,9,196
113.890894819466,137.042386185243,219,2,5,283
156.956161714564,20.4013638577691,86,4,2,120
252.579485488127,910.815963060686,108,2,4,457
307.12693498452,837.943498452012,110,0,1,148
318.440256615878,442.375300721732,179,12,7,223
368.848968922451,611.268370607029,293,8,18,517
424.165250965251,108.783783783784,204,4,6,656
437.337647058824,304.010196078431,222,6,17,309
499.413452027695,274.3353115727,263,8,12,423
593.687086092715,845.432119205298,143,0,3,416
695.563598759049,98.3305756635643,176,10,8,392
777.541267834567,700.366263319487,465,3,10,295
775.220505088579,338.550320392009,76,21,11,176
825.507350019865,200.780294000795,134,2,18,315
964.707827542905,299.754709083298,108,3,2,464
980.527972027972,442.401631701632,202,2,8,889
1067.97699594046,40.744248985115,180,2,3,656
1197.99901768173,87.0032743942371,241,1,9,778
1297.42071260767,201.753915426782,238,5,3,936
1311.85149654643,890.682271680737,84,2,23,351
1334.73913043478,790.888359046283,148,0,11,499
1420.24790753288,948.893383818254,192,2,6,810
1451.79453476306,846.441023867174,331,0,0,942
1475.70479573712,339.53161634103,429,17,21,1770
1702.90776699029,409.380582524272,199,4,8,984
2032.66076347895,804.737111373475,134,2,6,358
2117.51046561299,876.312686885946,123,0,5,296
2162.70139804801,717.375362701134,228,4,23,590
2173.09735794426,486.491494752081,366,4,23,855
2238.06101355857,545.273616359191,388,5,16,803
2417.45389744769,194.286272706369,349,8,9,535
2422.42812823164,89.8297138917615,137,8,6,417
2613.48705882353,693.604705882353,63,0,9,321
2609.1534688157,133.49824807288,137,2,11,441
2610.36647009267,414.725779275484,124,3,13,382
2680.37905236908,487.836658354115,79,3,9,331
2792.29278183293,45.4375506893755,270,3,29,689
2892.48741007194,827.088129496403,79,10,12,301
2915.97244444444,455.638,261,1,4,918
2967.20909944974,810.959065897195,173,0,13,540
3006.93627008485,486.058674851056,231,4,14,787
3137.11988543372,809.046849427169,111,5,9,302
3121.73092224231,898.233996383363,137,0,7,442
3143.25400213447,712.23941657773,247,3,6,778
3171.73982785602,109.687402190923,273,7,18,756
3186.1090712743,323.583513318934,163,5,16,590
3301.65770750988,951.547826086957,118,7,2,382
3354.92490518331,892.8,228,1,23,569
3383.46572934974,573.381722319859,135,0,3,529
3390.97207977208,407.870655270655,273,8,19,730
3465.34241941902,262.384401114206,343,7,13,850
3482.04180352344,155.558375634518,386,9,20,1003
3489.74596874225,667.886132473332,218,3,21,544
3698.97587354409,366.801580698835,193,5,10,522
4075.60316855815,941.949958108005,263,0,24,877
3790.66478236292,571.917184850198,137,0,9,183
3785.27135900841,255.536963258079,163,3,3,289
3882.17999126256,699.03626037571,381,0,8,398
4083.4086928934,934.59961928934,296,1,12,293
4059.32255354893,166.073498530029,148,6,3,275
4070.84027221777,333.584867894315,91,0,1,224
4192.17142857143,466.282239382239,206,7,11,438
4321.2750385208,521.323574730354,213,7,8,361
4455.39748953975,146.448495716278,371,10,9,858
4452.07841369986,377.158179360072,238,3,9,473
4470.85689415042,873.074164345404,267,1,4,750
4485.42899914457,715.846449957228,102,1,1,218
4566.07921776599,611.106065628107,99,6,3,315
4586.3582172702,269.402228412256,150,2,5,389
4595.37238723872,725.992299229923,91,0,2,147
4629.64114552893,223.868497954413,90,2,10,261
4862.39087719298,766.776140350877,255,0,3,602
4669.45079714129,551.270478284772,96,0,4,284
4760.11754068716,104.250904159132,76,0,1,303
4787.53684210526,956.19176201373,139,3,11,372
4849.17930063365,379.800750997418,169,0,13,493
4842.64430041937,250.872664887533,229,2,4,469
4892.81677018634,49.8503105590062,144,2,2,364
4992.60391425909,921.728797763281,200,2,13,506
5003.46556350626,704.945885509839,129,0,1,245
5026.86126201421,395.073965733389,149,2,9,446
5035.41918956684,611.879832324173,101,0,3,331
5112.85810055866,881.068994413408,231,3,14,575
5095.23723723724,776.233633633634,18,0,1,90
5201.76731078905,623.022544283414,106,6,17,404
5274.16242774566,339.36098265896,357,3,16,921
5506.16415804327,832.155221072436,52,14,24,178
5591.84507590502,897.911249513429,165,9,18,455
5653.97788873039,563.817760342368,89,14,18,312
5661.4369150131,718.605391239236,53,1,4,172
5683.37044776119,156.983582089552,91,2,19,391
5888.42664165103,424.603752345216,106,4,30,341
5935.34369747899,291.297899159664,168,27,73,538
5956.78860445913,789.228736581338,154,2,4,510
6025.69046030687,542.432955303536,29,0,1,84
6074.40413697201,134.716148096645,270,4,16,499
6137.24139235717,474.049943246311,125,9,14,370
6136.19604974396,882.588149231895,99,0,13,444
6196.09009393681,677.438087105038,72,2,9,303
