cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF
1,313.962904746935,957.854762653254,5,74,13,63,1,3,1,0,3,2,7,0,2,19,11,0,7,1,0
2,587.733037939629,877.971476045417,5,51,7,57,1,1,0,10,4,3,14,0,3,28,13,0,5,1,0
3,735.958480849694,874.000965561635,1,33,7,59,0,0,0,8,1,0,4,0,0,6,5,0,0,1,0
4,822.832534246575,680.116095890411,4,21,2,30,0,0,0,1,0,0,0,0,1,12,5,0,6,0,0
5,914.67830823454,609.751682153156,3,38,5,34,0,0,0,0,1,0,1,0,0,19,4,0,2,2,0
6,1691.93255164712,781.590954773869,8,87,15,133,3,0,0,3,4,7,8,0,3,27,9,0,14,0,0
7,2570.23164281269,943.003733665215,1,198,16,176,1,4,1,0,4,6,13,3,3,32,15,0,4,3,0
8,3057.25738033821,798.656348523932,4,21,5,12,2,1,0,0,1,2,12,2,1,7,7,0,6,1,0
9,5707.01696428571,423.16875,5,51,3,92,1,1,0,4,3,0,4,6,0,38,11,0,0,1,0
11,6826.97630492181,802.031480603886,7,180,10,243,0,2,1,9,3,9,4,3,1,49,11,0,1,3,0
12,9008.51804330393,617.242983159583,2,38,2,27,1,0,2,0,0,2,7,0,1,11,15,0,1,1,0
13,9158.52262813522,245.189749182116,5,95,11,74,1,0,0,1,1,5,7,0,4,30,10,0,4,3,0
14,9932.92610277399,686.56184629377,8,72,5,118,0,0,0,3,2,2,3,1,2,25,12,0,9,1,0
15,10067.7471314137,920.685429746698,2,47,0,49,0,0,0,0,4,1,4,1,0,59,9,0,5,1,0
17,10439.010569777,250.802312138728,6,139,9,186,0,3,0,2,5,6,6,1,0,48,8,0,7,3,0
18,10684.457817247,660.783126898808,7,69,0,57,2,0,0,0,4,2,5,2,0,32,14,0,8,0,0
19,11430.2834992343,287.769812404288,12,79,2,101,4,3,1,7,15,6,11,0,2,77,16,0,7,5,0
20,11515.2737623762,660.136468646865,6,18,1,36,1,0,0,1,2,1,1,0,2,58,8,0,7,0,0
21,11589.4853582555,572.196573208723,4,39,3,45,1,1,1,4,9,2,7,2,2,50,14,0,8,2,0
22,12130.3685902342,770.02035818154,12,55,14,111,0,3,0,2,60,0,1,0,5,51,5,0,9,2,0
23,12592.7266168513,588.308167997939,4,36,1,26,1,2,0,0,3,0,7,0,1,10,1,0,5,1,0
25,13192.3626461211,367.254782146652,7,23,0,24,0,0,0,0,1,0,3,1,0,2,8,0,3,6,0
26,13252.4025569068,939.41315871531,0,45,1,36,0,0,0,0,1,0,2,0,2,2,4,0,5,0,0
27,13286.48252149,426.503438395415,2,24,2,43,1,1,1,4,5,2,3,0,1,3,10,0,8,3,0
28,13343.4989786986,333.78494309892,0,48,4,46,1,4,0,5,7,3,8,0,0,0,11,0,7,6,0
29,13549.5032437442,730.38218257646,6,108,8,145,2,0,1,4,3,7,4,1,3,10,5,0,6,1,0
30,13554.9914113942,150.725164614944,4,71,9,91,1,0,0,0,4,2,8,1,1,0,9,0,9,2,0
31,13623.9003866976,368.678886310905,7,87,14,102,1,0,0,1,3,1,5,2,2,6,10,0,4,2,0
32,13774.1746344207,571.877390326209,3,49,5,57,0,0,0,0,1,1,0,0,1,23,5,0,4,0,0
35,15829.4766003228,1029.91447014524,9,67,17,48,0,1,0,0,2,0,4,0,3,27,9,0,10,3,0
36,15815.9336935167,1095.39489194499,3,64,3,61,0,0,0,0,1,0,2,0,2,25,4,0,5,0,0
37,16132.7873448138,735.123748498198,4,27,2,29,2,1,0,0,5,2,4,0,2,45,7,0,7,4,0
38,16252.9846,429.6868,1,173,40,498,4,4,0,10,15,6,13,1,2,76,17,0,13,17,0
39,16383.3143032535,174.369551872314,5,84,57,405,1,0,0,0,4,3,5,0,0,52,9,0,6,1,0
44,17120.3273288729,859.914307771487,3,70,6,92,1,1,0,0,2,2,4,0,2,33,4,0,8,1,0
45,17337.3272879464,648.461216517857,1,90,4,153,0,1,0,1,4,1,8,0,0,72,7,0,9,2,0
46,17480.6158421195,692.682346580157,7,127,3,162,0,0,0,1,0,0,2,0,0,53,4,0,9,1,0
48,18138.8736196319,590.2530334015,6,0,3,75,0,1,0,1,3,2,7,0,3,63,11,0,8,2,0
49,18533.6522577093,238.055754405286,0,176,5,186,3,1,0,2,5,3,4,0,1,16,7,0,0,3,0
50,18514.9469632164,358.121471343028,4,47,8,157,0,0,0,0,3,0,3,0,1,21,4,0,1,0,0
53,18700.6931902295,119.021465581051,0,65,17,148,1,0,0,3,16,1,1,1,1,45,0,0,0,2,0
54,18755.7031425365,761.088664421998,2,32,11,99,2,1,0,1,9,0,10,1,2,19,11,0,1,4,0
56,19399.2010345638,593.126498941923,2,54,6,112,0,0,0,0,2,0,7,0,4,19,13,0,0,0,0
57,19528.7564560985,559.666269368296,0,45,2,34,0,0,0,0,1,0,0,2,0,56,5,0,0,0,0
58,19908.9619520265,109.603804797353,0,144,5,89,1,0,0,2,2,3,4,2,0,42,8,0,0,0,0
59,20852.3244137102,540.061936259772,3,11,4,15,1,0,1,0,1,1,3,2,2,7,2,0,6,1,0
60,21527.175430323,269.117425135581,16,189,41,404,7,1,0,1,6,6,13,3,4,105,17,0,19,4,0
61,21992.445004029,566.359387590653,2,34,2,46,0,1,0,0,2,2,8,0,2,13,12,0,12,1,0
62,22136.6433322775,194.867279062401,1,57,4,61,0,2,0,0,3,2,18,5,3,17,12,0,7,2,0
63,22772.9316074189,178.920788253478,0,129,9,77,0,1,0,3,6,1,8,1,3,26,12,0,5,2,0
65,23226.8713833635,350.762658227848,2,71,4,77,1,0,0,1,4,3,0,0,0,25,3,0,8,4,0
66,23470.0520774047,495.377916903813,1,16,2,35,0,0,0,1,1,3,7,0,0,33,8,0,1,1,0
67,24461.0412062184,786.781607042517,3,28,1,69,0,0,0,0,3,3,6,0,0,32,8,0,0,0,0
68,24931.2957746479,528.658591549296,2,30,3,20,0,0,0,1,1,0,4,2,0,36,5,0,2,0,0
69,25070.8490055995,533.287314153311,4,26,2,17,0,0,0,1,1,0,2,0,0,48,5,0,6,1,0
70,25077.0487424883,429.830180280436,1,29,2,19,0,1,0,1,3,1,6,0,0,27,2,0,2,3,0
71,26600.9164074124,930.971459488705,0,139,8,115,0,0,0,0,0,1,10,0,1,16,4,0,5,3,0
76,29048.7354184277,315.561284868977,1,35,3,44,1,1,1,1,2,1,6,1,1,32,3,0,11,0,0
77,29250.9942942943,722.497897897898,2,23,1,16,1,1,1,1,1,0,1,0,1,13,2,0,7,0,0
78,29377.4645076873,189.822047759241,4,81,12,77,1,3,1,3,1,6,12,1,1,13,10,0,6,2,0
79,30313.684822695,750.157163120567,7,47,1,27,2,1,2,1,3,3,8,1,1,38,11,0,0,2,0
80,30329.7968021319,947.104596935376,5,49,2,37,1,0,0,1,2,2,8,2,0,34,7,0,4,1,0
81,31158.0332733813,851.949340527578,20,36,3,52,3,1,2,1,8,0,8,1,5,11,10,0,7,1,0
83,31292.735966736,103.640332640333,4,66,10,37,1,1,0,0,3,2,5,0,3,10,4,0,9,4,0
84,31390.7342680143,803.039126181937,30,47,1,36,3,1,1,3,6,1,2,2,1,24,2,0,15,3,0
85,31492.8488604558,483.170931627349,6,66,5,27,1,1,2,3,4,0,5,0,0,15,9,0,3,1,0
86,31590.2913870246,171.43139448173,7,89,8,46,7,6,2,11,2,2,6,4,4,21,13,0,0,2,0
87,31796.7111545988,229.707632093933,6,86,3,74,1,0,0,1,3,2,4,1,2,27,6,0,9,22,0
88,31878.3357977992,327.632909215956,8,70,11,59,2,3,0,5,10,4,15,3,1,16,13,0,7,4,0
90,32379.8742876299,233.397586322494,5,61,4,30,0,3,1,3,1,1,3,2,0,24,3,0,1,3,0
92,32874.7220732797,848.389335716413,0,9,0,13,1,0,1,0,2,0,3,1,1,12,7,0,4,0,0
94,33213.1676126878,158.859766277129,2,44,7,26,1,0,0,0,3,0,4,1,0,13,5,0,3,0,0
96,33436.7729323308,696.768120300752,0,24,1,18,0,0,0,0,0,1,2,0,0,11,3,0,0,0,0
97,33521.8337016575,549.974033149171,1,35,3,19,0,0,0,1,2,2,3,0,0,17,4,0,0,1,0
98,33630.7805855162,701.918952234206,1,32,1,49,0,1,1,1,1,2,4,1,0,8,3,0,0,0,0
99,33790.849887496,703.138540662167,1,58,3,80,0,0,0,0,3,1,2,0,0,11,4,0,6,1,0
100,33936.3591178407,608.829163923634,2,37,1,19,0,0,0,0,5,1,4,2,1,10,3,0,0,0,0
101,34029.9224877451,855.078431372549,1,39,0,18,0,0,0,0,0,0,3,0,0,6,2,0,11,3,0
102,34058.400676819,572.629780033841,4,39,1,15,0,0,0,0,1,0,2,0,0,8,2,0,0,1,0
103,34212.1698245614,503.088771929825,1,20,1,8,1,1,1,2,2,3,4,0,0,7,4,0,2,0,0
104,34487.9014898145,895.913651565825,2,36,1,40,0,0,0,0,6,1,3,0,1,20,4,0,4,0,0
105,34667.5486801022,669.926199261993,4,19,4,24,2,0,0,0,2,0,5,0,0,19,7,0,16,1,0
106,34689.9310544612,331.594438006952,2,15,0,18,0,0,0,2,0,1,10,0,1,3,7,0,16,3,0
107,34990.132360886,900.615883306321,0,19,7,10,0,0,0,0,0,0,2,0,1,15,4,0,5,0,0
108,35091.0270100503,925.218907035176,0,34,2,22,0,0,0,0,1,0,0,0,0,2,1,0,6,0,0
110,36126.4251619502,172.105352881009,2,102,7,126,0,4,0,16,2,7,8,2,1,2,3,0,0,0,0
111,36354.9445361505,882.066688676131,0,58,1,116,1,1,0,5,2,0,4,3,0,4,3,0,0,0,0
112,36375.7192467173,370.149792674499,5,64,8,79,4,11,0,22,0,4,7,1,0,5,0,0,0,0,0
113,36475.4946384383,875.656172669783,1,73,1,107,0,2,0,3,1,2,6,1,0,4,3,0,0,1,0
114,36849.6189772391,680.261897723914,1,62,0,66,1,1,0,5,0,1,2,0,0,1,0,0,0,0,0
116,783.079369627507,1150.62693409742,7,95,29,141,1,0,1,3,2,1,28,0,2,25,15,0,11,1,0
117,888.149542015133,1752.90820390283,4,111,6,69,0,0,0,0,0,0,3,0,1,11,4,0,5,1,0
118,908.745393634841,1529.1648241206,4,94,13,68,1,0,1,1,4,0,11,0,1,14,11,0,4,1,0
119,973.586949429038,1664.56345840131,4,35,5,21,1,0,0,0,1,0,2,1,1,16,3,0,1,1,0
120,981.835820895522,1888.90191897655,4,65,2,50,0,0,0,1,0,0,1,0,0,3,1,0,7,0,0
121,1042.33678919259,1721.63901979265,0,31,0,12,0,0,0,0,0,0,2,0,3,20,4,0,1,1,0
122,1251.57879448076,1039.98750907771,8,142,24,250,0,0,0,1,13,8,15,1,6,44,26,0,2,2,0
123,1272.61700767263,1676.13842710997,4,17,2,31,0,0,0,0,2,1,9,0,2,13,9,0,10,0,0
124,3816.24170124481,1011.57183609959,4,39,8,19,0,1,0,0,2,4,4,1,0,4,9,0,0,0,0
125,6552.94520547945,1094.88195861265,1,55,5,26,2,1,0,0,4,0,3,0,0,10,5,0,3,0,0
126,8174.48595146871,1763.22381864623,5,50,10,43,0,0,0,0,3,0,11,0,4,15,13,0,12,1,0
127,8277.64041666667,1767.14333333333,2,36,2,44,0,0,0,0,0,1,1,0,0,8,2,0,0,0,0
128,8337.50600064872,1705.66007135907,1,24,4,14,0,0,0,0,0,4,2,0,0,5,4,0,0,0,0
129,8443.46418246065,1086.21940250562,6,53,1,55,1,0,0,0,3,0,2,0,0,18,3,0,0,1,0
130,8464.80935929648,973.743718592965,2,70,7,103,0,0,0,0,0,1,3,1,4,13,2,0,0,0,0
131,8471.30075798592,1536.38034650785,4,29,4,20,1,1,0,0,1,2,4,0,0,7,6,0,0,9,0
132,8527.8435768262,1150.9879093199,5,40,4,64,1,2,1,2,3,4,7,0,0,30,9,0,0,2,0
133,8803.49820485744,1347.88701161563,8,73,12,101,7,5,0,5,16,10,20,2,0,51,18,0,0,12,0
134,9277.89295542102,1852.52641717116,1,117,4,78,0,0,0,0,1,0,1,0,0,22,1,0,3,0,0
136,9379.25498260044,1765.19946219551,3,39,3,137,0,9,0,2,23,0,2,0,2,44,2,0,9,3,0
137,9507.72504032981,1770.11005556551,1,58,3,176,1,6,0,6,21,0,0,0,1,31,1,0,21,7,0
139,10418.671923555,1831.59143878185,9,88,9,74,2,1,1,2,3,2,6,1,1,23,8,0,3,1,0
140,11591.477887463,1212.40799605133,27,19,76,1001,0,7,0,528,46,1,5,51,444,18,248,0,91,10,0
141,12135.9031384419,1533.6660825235,1,3,4,2,1,7,1,1,9,0,0,0,32,127,65,0,16,4,0
142,12285.2554193232,1317.06022560078,2,36,36,60,6,1,1,8,71,1,6,3,131,295,109,0,19,5,0
143,12721.4886363636,1026.13220620843,1,21,2,29,1,0,1,4,1,1,4,0,2,4,10,0,6,0,0
144,12770.6982978723,1268.61617021277,1,22,2,15,0,0,0,0,3,0,0,1,3,33,14,0,12,0,0
145,12959.2273152479,1323.44309323355,3,21,4,36,1,3,0,2,2,5,8,0,2,19,9,0,5,2,0
146,13275.7835243109,1832.41344069371,7,48,18,63,3,1,0,0,4,3,5,0,3,8,6,0,6,1,0
149,13566.2831858407,1891.62602425434,2,39,7,64,1,2,2,1,5,3,12,0,0,11,17,0,4,1,0
150,13623.4133784292,1333.49267192785,1,66,6,33,0,0,0,0,0,0,1,0,1,20,5,0,2,3,0
