Xpos,Ypos,TXNRD1,EGFR,LOXL2,GAPDH
383.026026392962,389.42008797654,24,0,111,151
1038.27633248731,577.406091370558,14,0,4,102
1975.530876172,947.809246686065,37,3,46,199
2574.65383163458,912.161192902982,41,5,20,209
2991.88384054865,462.186026575225,15,2,137,151
2995.71212794314,618.812972012439,5,0,58,84
3384.11418842225,283.032236095346,102,4,510,446
3885.60100376412,519.761292346299,26,1,17,142
4125.31094393695,143.95754970446,43,1,47,206
4435.54889683959,714.312462731067,1074,0,355,1326
4567.59276802218,236.923059149723,993,12,421,1943
4803.87342192691,714.797009966777,666,2,397,1424
4962.89328268002,315.631669832499,486,5,367,1095
5148.21090984801,563.195086404331,486,3,297,1202
5166.44254937163,743.087073608618,524,2,237,987
5257.52481343284,345.995149253731,632,12,386,1325
5311.60079138272,929.973840404484,335,5,219,795
5456.66457571005,624.188708834292,819,6,540,1799
5664.8107606679,296.655253837072,11,0,40,166
5950.14095818333,482.760038770424,661,4,674,1647
6013.14327077748,849.100482573727,475,5,375,1983
6243.73257725181,557.937705456936,453,6,456,1401
6413.78928225024,865.821047526673,235,3,175,1179
6472.28023490549,580.108827307763,468,4,421,1274
6503.0524994771,309.307676218364,194,0,276,1198
6581.99048185604,85.8310529446758,12,0,42,209
6624.89175041876,675.315117252931,547,2,345,1247
6684.2063544055,87.6619718309859,33,0,58,225
6717.00508905852,886.226000462642,187,0,96,636
6782.83438636799,413.857170208692,366,7,194,997
6822.93002081165,904.356659729448,168,0,26,485
6834.57486528099,629.628752886836,320,3,235,931
6865.66721177433,183.772417552467,218,2,197,786
6942.64786045244,103.421095666394,73,4,89,303
6965.13516870213,420.312978679362,647,8,316,1248
7071.27541044088,78.3931009038923,152,2,168,722
7111.72654690619,197.35041029053,347,4,297,876
7118.14364539268,743.438477101343,1105,0,382,1802
7243.32766134053,294.1435982569,503,6,411,1281
7387.17441266599,284.172880490296,246,3,169,996
7404.97616428309,728.599559955996,596,3,339,1049
7406.51042786498,924.0408514298,211,9,146,1201
7512.11208900697,507.806210561275,757,1,509,1416
7563.28918764302,721.83209382151,261,3,65,551
7600.70356347439,226.548997772828,355,2,245,904
7688.17136088444,30.0697551987365,147,0,124,580
7744.93960310613,419.439171699741,602,4,247,1424
7779.94961664841,314.737495436291,463,3,152,1008
7943.01976794156,16.7211001289214,104,0,91,493
8027.92362154044,807.702853464922,170,4,59,1052
8118.27887139108,366.34864391951,243,3,227,1080
8179.07838133431,554.586219467736,444,10,197,1372
8255.01477219717,260.287824599596,131,8,334,1099
8404.59346642468,112.163460375076,279,3,148,373
8345.23277777778,969.068333333333,291,3,167,579
8448.51516696406,141.783583991843,281,4,161,245
8820.22298387097,18.2278225806452,158,0,171,190
8894.99562615101,253.656537753223,119,0,336,414
9318.0959631728,629.006846081209,106,0,58,265
9302.13096374046,672.386450381679,382,0,110,540
9337.33591367582,583.357025568848,268,2,104,1031
9453.32990264256,365.715438108484,127,1,64,716
9620.08831194868,959.086206896552,703,7,105,1302
9614.92335310646,254.90165469872,99,9,134,610
9749.61467324291,60.9565351418002,150,4,140,500
9873.24880486745,119.397870491091,85,4,136,602
10083.1787161442,54.0571550437193,260,5,208,820
10232.0629491233,337.630353549871,6,0,3,106
10215.5403817915,316.472099853157,42,2,14,314
10214.8523489933,355.751677852349,51,3,23,575
10329.1976942784,285.348420153715,98,1,20,1108
10873.53397225,144.545272493206,457,2,190,945
10998.6505882353,199.484470588235,227,2,112,353
11192.5153353556,122.83619817998,287,3,235,652
11515.23503861,25.4010617760618,39,2,152,111
11827.5831124574,837.293070806513,13,0,25,29
11895.8233269598,425.052772466539,13,1,130,70
12010.8225806452,416.712224108659,21,0,68,69
12033.7860215054,969.751075268817,66,2,29,46
12404.4879562044,173.029562043796,27,1,152,124
12502.8356772761,854.19096965211,245,0,81,401
12633.8820242161,390.720583669668,37,2,187,138
13001.2440327752,615.82935518347,9,0,117,105
13243.7993966818,72.9385369532428,2,1,125,84
13415.8432080925,126.066473988439,15,2,159,98
13616.7715023994,284.760797342193,14,0,154,113
13699.0476190476,739.078354978355,8,1,74,75
13723.6163922156,361.920284431138,13,1,160,114
13859.5826235094,452.681856899489,7,1,44,31
14456.9359534207,389.792940320233,41,0,0,66
14461.5852631579,908.951157894737,244,5,148,562
14567.1949784229,836.843075715967,23,0,40,84
14856.3148077655,860.489531785306,12,0,19,37
14916.2395104895,254.688811188811,36,1,5,147
14935.5917890521,148.725300400534,24,1,3,115
15323.2813159005,552.788274989456,28,0,2,104
15406.9932088285,595.135580887703,32,3,1,80
15758.0447007931,201.379596250901,16,0,73,107
16690.9363824581,590.493882928666,31,5,98,154
16851.5751645615,126.883472691692,36,0,109,197
17963.025577043,605.061447286338,499,10,73,845
17965.8046141607,619.546698488465,632,0,77,662
18423.0876948775,360.993318485523,65,13,83,349
18979.6179143228,876.568585028126,18,2,93,54
19693.6974882261,1220.29984301413,43,3,67,199
19813.6862186788,1292.15527714503,101,1,186,435
19849.5800054333,815.529204020647,19,3,69,95
20257.8810853951,783.205506783719,25,1,67,104
21077.5966007631,576.280610475199,51,4,47,159
21075.6211487257,786.228604031951,42,2,25,233
21220.7664974619,100.232166711194,174,2,185,676
21269.9035031847,384.324203821656,91,6,129,510
