Xpos,Ypos,BABAM1,KDM5A,GAPDH,LMNA
19.7433628318584,391.836516068933,0,6,341,31
47.9115138592751,54.6023454157783,8,13,754,212
303.710246174318,447.596141051231,6,8,419,98
307.526827207436,361.335868187579,16,6,617,199
400.232479356341,256.087867880584,13,22,527,169
438.451260722641,378.77644918118,11,13,606,222
456.589711417817,102.807402760351,7,5,678,152
491.948056665456,485.393752270251,21,10,821,277
623.301286391334,834.422985781991,10,21,621,170
697.744069495489,480.25526227865,6,4,827,175
723.084434968017,819.575692963753,7,4,473,79
839.185773480663,47.0103591160221,1,0,589,77
972.065820247244,432.522886735717,9,5,451,86
979.912215513237,72.4361356247097,3,6,384,89
1227.853043048,580.279317169718,26,24,884,159
1354.34472769409,308.689455388181,9,8,370,146
1383.75529661017,32.8797669491525,9,3,337,66
1418.68236691075,400.326142885415,13,9,840,194
1442.17470456723,162.362184605557,9,12,401,134
1444.52555978031,228.882129277567,11,15,780,260
1545.62231224681,767.469305079464,22,12,693,103
1679.13525091799,110.91370869033,12,12,858,230
1924.90939465409,290.650353773585,7,8,642,154
1951.87576064909,93.3392494929006,6,2,527,106
2052.84496788009,89.1267665952891,7,0,289,67
2080.75551537071,295.30705244123,6,7,652,177
2388.6475009395,564.475385193536,1,3,364,116
2396.4487804878,708.410643015521,6,4,534,108
2396.07838283828,14.1311881188119,3,6,273,53
2410.00962082626,123.55857385399,1,0,379,58
2524.76308539945,153.644168962351,6,0,696,87
2620.72111403839,616.661648475725,8,7,795,112
2779.62971754094,632.8070258723,10,16,507,144
2843.14805023133,539.559814937211,1,3,192,44
4100.13808606294,296.49100834939,3,7,498,173
4135.73712255773,544.365186500888,4,8,287,93
4203.48121292024,502.991430454845,4,4,351,145
4350.36622005684,93.4997969955339,6,5,693,175
5593.61822443598,557.519484324641,5,13,438,126
5812.0933988764,607.645716292135,6,8,352,77
6149.48765859285,503.974855824683,18,17,1077,333
6419.06488450558,561.892551258759,9,4,477,109
6456.51951672862,70.3118029739777,9,7,255,138
6471.5379403794,158.193315266486,1,4,227,63
6666.71961276443,249.7058682921,0,4,110,26
6651.2512926577,290.692347466391,5,11,376,163
6670.5664905328,801.681858212241,6,5,692,108
6681.77924217463,207.874794069193,4,12,234,105
6764.27567886659,257.159681227863,12,20,604,221
6779.96561085973,745.970135746606,18,6,657,126
6978.0418038183,197.31435154707,17,16,830,191
6987.41684532925,717.620826952527,17,21,1051,155
7033.15907207954,121.884838442419,10,7,704,192
7124.6896434635,501.920430107527,17,17,1277,362
7101.91251271618,174.848423194303,4,4,433,101
7123.05708737864,298.467572815534,3,10,331,104
7132.18103448276,52.3942528735632,13,5,696,168
7208.75657894737,303.068498452012,10,5,603,244
7318.9549150037,518.739098300074,6,6,296,76
7359.95108077361,276.976109215017,7,4,553,118
7465.67455386649,470.349107732981,9,1,775,212
7597.37280334728,248.88410041841,9,0,536,131
7754.30058939096,479.103798297315,4,0,385,107
7768.86413748379,281.383592736706,6,1,398,111
7850.14339109752,391.467210329596,5,1,411,89
7850.00474383302,499.084440227704,11,2,539,108
8017.91406603347,24.6322930800543,3,0,703,70
8148.80198019802,808.866336633663,12,0,538,229
8208.86522198731,826.708245243129,8,1,506,188
8346.7085155647,652.055569848212,14,11,712,327
8400.8583106267,937.262748151031,1,6,322,119
8466.72848244621,813.878539071348,5,8,711,259
8592.65131328512,636.537875904073,6,8,632,186
8691.28739693757,674.263839811543,7,8,544,118
8824.44881565396,901.752420185376,10,10,922,258
8988.25769341386,875.204774230659,18,17,911,175
9285.85817264372,745.393764642278,11,11,807,277
9439.83826199741,761.932036316472,14,24,772,416
9503.05273782488,397.356548069644,17,29,629,248
9553.62762685802,894.738083034341,11,12,520,263
9619.60754294249,951.577669902913,2,7,358,193
9817.92030965392,843.737818761384,32,48,1552,433
10135.0954185326,917.162073716845,6,13,498,118
11182.2156918688,848.308987161198,10,7,696,186
12757.1168767392,169.328040595842,7,2,975,220
13367.1133211201,380.590421355666,24,28,1232,282
14374.6542288557,720.071724709784,9,5,549,196
15018.6267357025,514.788891503883,9,16,774,302
15021.9028097651,415.455550437586,11,15,601,306
17748.5484298983,476.127819548872,13,12,1268,230
17784.0270413574,366.598267939201,11,15,888,160
17874.7966567438,435.62743302038,8,5,579,63
18400.1711380355,73.8392470791865,4,7,1008,302
18902.832289492,320.629088378566,2,2,233,48
18790.3558184708,111.208370121844,14,17,1368,283
18853.005907173,212.270886075949,6,9,753,273
18908.9127304147,319.583525345622,5,5,288,48
19001.5086562242,55.1434460016488,6,6,869,115
19282.8159482759,850.106896551724,11,7,596,116
19414.5993602559,609.409036385446,8,7,586,161
19534.0350297422,361.994712491738,9,14,476,164
19839.1013133208,404.131332082552,15,5,459,201
19858.1741556535,473.458737151248,8,6,487,238
19861.8321917808,162.863636363636,7,6,543,218
19991.6793710021,369.815298507463,5,3,551,213
20141.5554881747,30.5500303214069,6,0,447,175
20991.6321782178,708.025742574257,5,3,297,73
21059.8498259572,193.79612133267,6,4,564,304
21148.6500685244,651.68752855185,8,5,516,143
21184.1424211597,89.0050864699898,0,1,477,154
21207.7821873558,879.304568527919,9,4,484,60
21329.8755393296,271.106870229008,7,9,838,190
21422.4046042258,663.061179438663,6,11,606,127
21505.5346260388,488.861495844875,10,10,711,141
21581.7512315271,331.468801313629,5,8,341,93
21638.2988834812,40.8728886344117,11,6,842,301
21649.3535483871,300.018709677419,7,14,794,201
21869.5544405419,473.835423983944,8,7,407,127
21957.7374020157,431.040313549832,2,3,364,63
21971.6194387406,522.648186173854,2,2,136,28
22002.3493732309,84.1718560452891,4,1,552,83
22028.5046439628,469.854489164087,3,2,268,69
22049.7778571429,553.368571428571,1,3,250,78
22098.4014916097,344.497203231821,2,0,433,75
22206.447225573,749.738841978287,6,9,449,94
22715.2837665104,252.305922454197,17,8,932,364
23425.1774344569,1102.00702247191,22,22,1193,356
23718.7553440703,134.693411420205,19,12,755,263
23784.0266137041,451.874875868918,1,5,189,61
23763.7288135593,17.5486503452605,6,8,425,101
23864.4364747507,183.812158250241,11,15,811,123
23889.5345238095,423.825595238095,5,6,432,105
24172.0758842444,419.919935691318,9,3,402,72
24313.2695979173,419.658374312988,6,2,333,63
24334.9862099644,207.325177935943,4,1,471,88
24413.9992975061,205.871443624868,2,5,457,57
24516.3253262159,366.768683274021,2,4,406,117
24650.2717241379,361.831724137931,4,2,651,159
24684.1238648747,116.942244823829,2,0,511,96
25360.0242392986,59.5121196493038,2,1,287,73
25396.5835674157,159.207162921348,2,3,386,104
25473.3515509601,41.4623338257016,4,5,592,202
25817.6046743907,458.659009188973,34,20,1648,501
25827.2989336929,973.580830984189,10,8,1333,345
26010.2907399331,683.746474778311,6,9,307,144
25970.4410948036,81.9008330027767,7,6,343,55
26015.1573719066,692.810909724643,3,5,239,78
26057.0166204986,47.8662445587653,0,6,149,18
26076.8343310386,543.306345405567,29,29,1229,540
26584.2826866645,327.79817411151,5,11,744,307
26900.0084250344,916.952372764787,12,14,858,313
26928.7890319504,74.2354792560801,20,21,1209,405
26905.2594738112,904.002655080859,5,13,553,337
27107.5177664975,532.639932318105,20,21,519,245
27189.9418713087,930.924619210444,10,10,809,271
27538.0711955751,827.916323925684,53,55,1393,734
27793.2883895131,925.210362047441,5,10,546,150
27948.9911593837,599.263702955292,14,31,833,438
28035.9304508128,963.665158371041,6,17,635,349
28041.0876662636,419.890568319226,11,20,737,352
28130.8296943231,56.1726710334789,6,13,883,177
28245.5838255338,33.7619263970922,8,11,877,189
28267.007523511,709.763009404389,24,16,899,369
28433.3743421053,578.321052631579,14,10,753,384
29041.4874651811,1048.61142061281,11,1,333,247
29098.2533645407,1134.47805734348,17,6,427,487
29809.9117965368,35.1601731601732,14,7,275,161
29894.855925639,491.518977536793,10,11,351,229
30242.2996231156,225.332286432161,23,32,773,440
31157.4481132075,116.620976692564,34,31,1860,392
31406.5000151999,524.663170694634,43,75,2432,476
31860.9509241555,839.485022307202,3,3,381,123
31933.8526164186,836.809889582333,13,6,308,127
31995.6202346041,765.069892473118,12,3,266,118
32006.7204968944,693.839026915114,13,11,478,169
32084.1094339623,735.356603773585,10,8,375,163
32283.794094174,946.258978451716,17,4,636,153
32573.762248996,770.273895582329,8,7,393,105
32669.0962947006,860.421800947867,11,3,582,197
33156.0803006329,378.82792721519,4,2,320,70
33208.9193257074,457.298013245033,3,0,223,94
33236.8184171598,527.307322485207,3,6,274,85
33292.1207001832,287.797476083859,8,23,429,110
33329.3089171974,830.799893842888,5,8,495,147
33354.4197637568,621.452031114952,6,5,344,100
33358.2425725271,730.428171967843,3,6,250,110
33445.3680077054,293.155293768986,17,34,839,151
33452.2485207101,719.891377852916,13,16,452,137
33487.3697771588,634.791782729805,18,6,706,194
33729.8619354839,735.755268817204,11,14,510,173
33853.0020344288,604.180438184664,9,15,671,139
33915.3485392107,648.617631983598,5,3,304,130
33985.9621468927,501.957062146893,10,7,835,252
34227.203374373,37.5517555859553,3,3,354,64
34279.6137846656,601.912316476346,5,7,362,126
34295.4488539172,506.127266507013,13,12,561,186
34353.8138801262,365.925437338687,16,8,1139,259
34359.4281891169,633.631578947368,8,3,298,95
34386.8622589532,532.147229874503,8,8,674,251
34501.7397596272,101.917095903851,3,5,492,147
34492.5785413745,798.658835904628,2,4,299,64
34587.9088168802,251.043330821402,8,6,575,177
34593.8769414576,693.783452807646,11,10,689,151
34685.7269174402,61.3898387884709,0,0,250,76
34784.2192895905,405.033793783917,14,3,765,213
34891.1207831325,282.292168674699,1,2,285,101
34941.8039832285,641.985324947589,6,7,515,219
35013,669.112445414847,5,2,273,135
35047.4114441417,887.888283378747,8,5,720,261
35100.5475011256,719.648806843764,4,3,317,94
35096.8402815376,574.621007038441,5,8,569,189
35126.7337485403,290.135850525496,9,6,428,146
35245.5537909836,671.305840163934,4,7,328,71
35273.2800694746,757.455492835432,7,4,359,98
35306.377620313,590.782993799823,9,2,419,54
35302.5009319664,150.978564771668,11,4,427,153
35365.6969860065,684.79601722282,12,8,546,142
35374.7280742459,467.779118329466,24,11,667,110
35417.1952686447,601.463913392141,7,5,461,207
35457.515274514,393.375347148045,17,15,750,225
35510.5965861782,26.8563696919234,6,5,422,117
35571.1078787879,157.683232323232,6,7,791,218
35693.4251824818,492.014233576642,9,6,503,155
35790.9665998664,414.034068136273,12,8,699,192
35914.0317236517,504.987663024321,8,13,664,172
35941.8351794417,300.953478068232,6,3,571,128
36002.059151009,685.252261656228,13,9,667,178
36052.5196421626,233.314274601322,7,9,597,163
36106.7732323232,566.071717171717,7,11,532,164
36186.1910447761,791.240597014925,15,22,915,185
36197.6609553479,585.721703011423,6,9,493,151
36280.090078329,49.13772845953,7,6,462,92
36290.0666427804,452.015406664278,10,11,582,172
36316.8331475288,178.877740616871,4,5,629,155
36466.7078323042,639.907052323692,15,8,713,165
36543.7370786517,288.55543071161,6,4,503,249
36776.8287334594,831.875992438563,13,11,658,157
520.564551422319,1837.19912472648,12,12,677,217
1166.0065207266,1463.08709827667,25,10,2640,307
1499.21867924528,1115.59830188679,8,5,811,101
1540.82769024472,1455.38183037211,14,13,1118,199
1742.46454993835,986.264796547472,2,2,362,57
1762.70990237099,1484.67329149233,5,7,843,217
1829.82211086752,1417.01440651425,6,15,548,201
1943.422959702,1996.88435489333,0,0,84,26
1953.73385236448,1537.4815455594,6,7,612,342
2027.99625683847,1355.47250215952,9,6,426,204
2155.05680338542,1531.17122395833,3,11,307,157
2174.73463935886,1745.29118432769,5,9,273,167
2222.19852375827,1670.02721820698,1,6,152,116
2231.77879249112,1829.466768138,3,5,190,26
2344.26678603402,1411.23742166517,31,37,910,593
2570.15822368421,2060.38059210526,3,5,410,65
2643.56542750929,973.124163568773,2,4,293,35
2708.95717035611,1046.91193455245,1,2,48,2
3509.55772569444,1537.81901041667,11,5,391,133
3520.18416422287,1290.29442815249,4,5,476,170
4092.07246376812,1829.170447385,9,13,545,91
4485.85011820331,1446.1390070922,5,5,567,122
4559.58375634518,1359.00659898477,7,2,660,154
4596.10135135135,1265.83333333333,8,9,538,155
4917.41488162345,1874.35062006764,7,2,439,119
4945.60267275098,1774.71316818774,8,6,461,183
5936.84002147363,1000.05932089652,41,60,1741,745
5928.1018572105,1107.29139264482,30,70,2289,1167
5870.18854579955,1736.31895808177,13,11,779,276
6261.30325720704,1651.84275552228,20,3,850,265
6291.43503584229,1748.42069892473,13,9,720,235
7027.56198347107,1528.46679965802,19,28,520,165
8099.62023855329,1631.34898037707,3,5,406,90
8126.58658346334,1863.95475819033,2,1,394,34
8221.40390150304,1525.8141989127,13,11,810,231
8356.59671983824,1743.74208043136,2,6,627,81
8446.47226502311,1026.84745762712,6,13,428,188
8474.40726817043,2184.1223893066,5,9,449,125
8553.80463702014,1018.91030026606,6,3,402,68
8639.55677480916,1674.50811068702,7,16,621,125
8978.92555831265,1305.70843672457,4,4,327,73
9030.3192584964,1362.01802265705,3,3,262,76
9113.84516636102,1266.02462667016,4,4,438,144
9133.94718844985,1135.15425531915,6,2,539,146
9140.59369482976,1482.87667087011,13,17,831,210
9192.71376717656,1786.79621467462,11,14,802,212
9222.59833506764,1288.12174817898,1,2,267,53
9249.26669484362,1363.22442941674,4,4,352,72
9340.16227558871,1039.03474003264,3,4,879,275
9449.85794655415,1213.39441430581,9,5,640,239
9590.28829826504,1798.69139904024,8,2,439,139
9632.34834212509,1314.48040693293,3,5,956,182
9682.38631610397,1632.18046011353,9,7,640,168
9857.3312009305,1664.36522244839,10,8,953,281
9994.55501222494,1631.08875305623,3,5,608,202
9999.63437354448,1371.71914299022,1,2,397,77
10102.7776,1334.024,0,1,200,38
10267.0391691395,1010.34035608309,5,12,490,115
10490.760708402,1681.12252883031,13,14,484,127
10506.1989991169,1559.91845746247,7,6,380,139
10511.6848179935,1240.28203610536,24,21,816,304
10571.2783589744,1495.59015384615,17,20,820,300
10590.2457813646,972.353998532649,14,13,1185,251
10757.1582194799,1343.02930806523,19,23,745,272
10832.6125827815,1182.18285504047,23,11,1556,367
10830.1484202792,1732.49938770512,14,18,955,232
11342.544965962,1270.99785023289,19,17,724,435
11685.5983638489,1744.24931827035,10,11,463,276
11780.7951724138,1854.07793103448,16,9,489,323
11835.6504312532,1870.23033992897,8,3,399,140
12044.0312616301,1552.43803498325,2,6,416,95
12495.4696734059,1555.34525660964,8,8,456,241
12804.6633549866,1626.02674818494,7,4,452,118
12994.0142964635,1419.64484574868,6,3,342,156
13005.6812700965,1595.77491961415,0,3,324,79
13021.2812846069,1824.85326688815,4,7,518,100
13249.0357822611,1425.50856490293,4,14,548,177
13485.1167257683,1862.64391252955,7,10,606,196
13568.8701517707,994.354898053043,15,7,857,158
13526.4390519187,1142.11800852772,14,9,1301,223
13540.1175006224,1775.13169031616,15,10,677,314
14041.6828399123,1192.04221491228,17,33,795,310
14259.8096088587,1730.19128415789,18,14,1192,349
15269.1368491322,1853.65520694259,4,6,364,155
15567.1573275862,1885.24281609195,0,1,84,29
15809.712628866,2208.67719072165,13,5,442,204
15877.4748251748,2231.90804195804,3,4,130,91
16239.0026507621,1305.88866799205,4,4,568,231
16713.2766407904,1445.55716302047,5,6,436,210
17615.320808224,1260.28358738036,6,6,617,222
17861.8189901556,1187.02985074627,2,10,610,229
18303.0777676121,1688.59286367795,6,11,556,137
18392.4335976214,1705.90485629336,10,11,931,216
18559.8817334953,1328.27055488052,10,8,628,137
18773.8085948544,1339.61096974837,19,29,847,197
19111.3332470223,1493.53715691352,62,55,3079,794
19702.3909559244,1129.91986262164,15,5,606,223
20098.9760447165,1196.23076923077,10,4,604,118
20254.9699321048,1207.15712900097,3,2,499,47
20566.089347079,1362.01794578083,23,10,651,192
20700.8546292417,1162.52492668622,3,4,254,106
20725.5672913118,1046.88713798978,1,3,353,74
21023.148565904,1227.29326458266,5,10,1094,307
21142.6831226169,1787.5328115593,6,9,325,96
21330.3534064812,1305.41949476907,7,9,677,150
21380.4257142857,1746.61285714286,2,8,324,66
21423.3232533889,1801.44664581161,4,8,310,52
21425.2976851852,1671.00555555556,2,1,320,96
21438.212,1579.208,9,7,381,101
21460.7486932047,1473.34097305991,9,9,529,158
21505.9945459504,1314.0785383147,5,6,514,100
21573.68286268,1426.37278516058,3,5,435,110
21639.5875564476,1326.66833918715,7,6,502,158
21678.1100292113,1553.67867575463,4,3,479,104
21697.8024691358,1168.56027596224,1,2,641,79
21807.8513655462,1355.75630252101,6,5,782,157
21860.7780020182,1638.36226034309,5,6,436,75
21861.9027777778,1577.13819444444,3,1,291,54
21939.8139044944,1593.80266853933,9,1,447,79
21953.9836381136,1442.50866217517,1,7,521,82
22030.5771144279,1495.41741293532,8,6,506,72
22149.353071389,1587.55487917358,9,8,601,118
22188.219588272,1684.57267623206,8,7,644,154
22242.7714285714,1232.63512450852,17,24,343,72
22245.6798222687,1800.88369053842,3,7,433,157
22260.6828540423,1106.56375474769,14,10,269,63
22735.4443509952,1504.38351555929,21,15,591,326
22912.9057391304,1533.24869565217,22,7,775,442
23016.7584608252,1520.91747797867,15,6,547,314
23054.5320275278,1647.28163049232,18,12,733,407
