Xpos,Ypos,EGFR,PDGFRB,FOSL1,GAPDH
32.8052415210689,309.369989722508,5,0,0,350
55.6516411378556,127.846827133479,1,0,1,290
61.2026002166847,485.972553268328,11,0,1,295
126.28311965812,39.6570512820513,1,1,0,368
171.167853509664,398.232451678535,7,2,0,294
200.091500610004,471.725498169988,4,1,3,380
238.025,343.19375,1,5,3,165
252.434919524143,590.015045486354,3,0,1,383
490.649154421957,435.052813972831,20,6,8,898
592.79982166741,844.238074008025,4,1,0,263
645.73786407767,493.550456016475,2,1,9,480
637.219696969697,672.872895622896,1,0,3,430
673.231866825208,10.8156956004756,0,1,0,442
685.687155963303,812.952293577982,2,2,1,250
727.935530780417,911.393601551139,0,0,0,232
727.729940564636,604.962109955423,0,0,1,377
752.385571142285,152.464128256513,0,3,0,532
821.97396680768,768.365440937195,4,0,1,306
842.730485062641,511.025377449406,0,3,0,527
880.315332690453,656.540019286403,1,0,1,337
899.357285429142,128.332834331337,3,1,0,448
1349.15514669319,1131.18398806564,8,0,2,267
1005.15191256831,663.16247723133,6,0,0,273
1002.90063981935,760.875423409861,7,1,1,252
1058.39503386005,165.833521444695,4,0,0,251
1096.75030012005,237.376350540216,2,0,0,159
1104.67966573816,821.243577839678,14,0,0,333
1153.36477912127,472.019035077218,49,13,3,1059
1175.88421573478,30.0702622464127,7,0,1,531
1212.90353314807,848.44739976181,6,0,0,223
1247.45674337314,704.476551121468,10,0,0,395
1303.60731499858,546.886589169266,14,0,1,369
1307.76047058824,922.182117647059,2,0,0,231
1315.52584365656,306.514737291756,14,0,3,331
1368.23905723906,113.033389450056,15,0,6,808
1383.89740932642,503.60932642487,13,0,2,367
1388.16541055137,230.976993256644,8,0,1,405
1394.96709160984,649.802253187074,8,1,0,246
1394.34407894737,750.416447368421,0,0,0,172
1405.13803339518,381.994063079777,8,0,6,336
1407.35747232472,922.211715867159,1,0,0,213
1452.36918238994,803.005660377358,0,0,0,164
1457.12203791469,513.046800947867,10,1,0,250
1469.36394271272,174.566133108677,7,0,3,342
1482.25337331334,635.024487756122,9,0,2,246
1496.20331622582,385.586656138966,9,1,1,325
1507.17164511815,270.069995541685,4,0,1,271
1523.77215189873,477.48756001746,8,3,3,254
1554.95122807018,601.021754385965,9,2,4,284
1575.08847549909,691.026315789474,3,0,2,217
1598.32538631347,272.840618101545,2,0,6,355
1617.35204081633,144.324829931973,14,0,2,722
1643.32680965147,443.673190348525,9,1,1,411
