Xpos,Ypos,NGFR,NRG1,FOSL1,VEGFC
231.522572912505,489.653216140631,0,31,24,0
461.705047318612,465.223974763407,0,27,43,0
1133.29689922481,577.089147286822,1,9,7,0
1523.23587350959,49.0813893208917,1,18,39,0
1734.95958279009,313.35332464146,0,16,15,0
2160.1934335443,524.975870253165,0,6,13,0
2208.17411453161,149.105925190334,1,4,36,0
2324.70583038869,457.682273262662,1,10,12,0
2421.3816872428,947.409979423868,1,3,12,0
3220.41673182174,586.106333072713,0,4,5,0
3423.44006371963,579.899243329351,1,7,8,0
3672.50063911376,735.193012356199,0,0,2,0
3881.02420614263,898.010411244144,0,0,5,0
4049.37412314887,712.87295401403,0,1,2,0
4166.31941105769,244.350961538462,0,14,4,0
4207.29598051157,609.841250507511,1,4,4,0
4294.32581967213,614.120901639344,2,3,6,0
4440.41640042599,240.218317358892,0,22,7,0
4545.87372567192,595.317423540315,6,6,2,0
4772.08656957929,486.450242718447,0,5,8,0
4859.30418429713,101.236013164081,0,3,2,0
5046.96014492754,57.8229166666667,0,15,50,0
5185.82816537468,547.21188630491,1,7,3,0
5497.33301617507,805.194100856327,0,2,5,0
6158.60301507538,485.464465183058,1,18,15,0
6309.37514563107,625.046213592233,0,20,16,0
6855.16434305027,257.15251373046,2,9,23,0
7464.30043227666,373.981628242075,1,8,8,0
8120.00244242847,458.562805303559,2,22,44,0
8215.99284009546,857.290274463007,0,5,15,0
8464.66536152441,191.116940746541,1,13,25,0
8829.63391765185,154.325315939666,0,32,17,0
9601.70772833724,869.99906323185,3,2,0,0
9792.18721461187,528.941856925419,171,21,37,0
10011.8369605312,889.690888970859,0,2,5,0
10258.3409461664,874.594208809135,1,0,2,0
10703.9810640216,824.38007213706,0,0,10,0
10995.5856850716,516.850306748466,0,12,26,0
11617.7965254014,453.352724401158,0,11,17,0
11890.601618705,835.169064748201,0,8,19,0
12132.0636474908,494.700530395757,0,15,42,0
12365.8405999302,331.920823160098,3,14,36,0
12382.8207837957,437.385733157199,2,33,24,0
12494.6670956671,548.572286572287,0,21,10,0
12498.727311828,746.981505376344,0,1,3,0
12581.3565433634,449.413739508859,2,31,51,0
12709.2466800805,748.061569416499,0,1,6,0
13005.2394082044,370.077000672495,0,10,3,0
13171.8755118755,718.108927108927,0,1,0,0
13309.2220628089,483.661246612466,2,20,13,0
13704.190314934,123.607179139858,1,7,4,0
13783.0710403727,784.920419254658,0,1,2,0
13857.0893730547,337.955535793686,2,4,4,0
14067.3725868726,195.184942084942,0,8,13,0
14190.5973501011,519.247922748709,1,3,12,0
14243.6293543892,42.7450069670228,9,7,10,0
14296.160987074,921.653349001175,78,6,110,0
14329.9193095143,56.0124448012846,3,8,5,0
14528.5734251968,362.347834645669,0,10,78,0
14725.6668105309,189.287440656021,71,10,63,0
15193.9219396807,695.96244825547,0,3,9,0
15418.5653313366,687.916885061775,0,16,14,0
15602.8653637351,588.030673181325,1,20,23,0
15630.0749498998,853.970741482966,1,11,8,0
15729.4308975377,292.751787132645,1,19,24,0
15844.8272692455,235.655878973573,1,4,5,0
15862.4029492455,710.174897119342,4,3,3,0
15940.448868399,816.238893545683,0,1,7,0
15961.4698517298,532.521911037891,2,3,4,0
16085.8100192678,300.595375722543,4,19,45,0
16182.1444476163,575.561518698259,0,4,15,0
16369.3598867772,702.866558835423,0,2,2,0
16410.886921759,317.949743003998,1,45,55,0
17004.7080152672,28.8597328244275,0,1,5,0
17165.050059125,128.25108395743,1,13,16,0
17339.1313868613,665.812304483837,1,5,22,0
17885.3928088673,669.491213841579,0,0,8,0
18000.9483004856,915.43844615824,0,1,8,0
18287.1009329941,309.368108566582,2,23,12,0
18316.4638186574,733.928945074106,1,4,5,0
18374.8846675712,240.898236092266,2,5,10,0
18491.0229321835,850.760486083889,4,8,15,0
18512.3672532517,328.543993879112,0,2,1,0
18732.273313116,276.048521607278,0,5,19,0
18962.7626185378,78.9538085041297,5,19,26,0
19024.1362201173,817.652232746955,2,1,2,0
19268.9932741458,317.057304277643,0,26,55,0
19286.119748724,612.466431095406,1,11,4,0
19442.5845460845,907.539501039501,0,0,15,0
20236.9216954023,880.390445402299,1,2,9,0
20277.4565308694,610.065098698026,0,1,19,0
20558.1925015753,303.590107120353,0,5,13,0
20621.8021861777,597.387165021157,0,0,7,0
20774.7654229775,624.356113779091,2,3,5,0
20946.5307564422,907.323773898587,0,3,4,0
21000.1003051106,434.624332570557,0,13,38,0
21102.9724467303,862.435709037472,0,7,9,0
21269.676119403,509.839552238806,0,2,13,0
21361.900754498,322.504352872896,7,3,22,0
21394.7337579618,723.709554140127,0,2,3,0
21537.0609988563,41.8699961875715,0,1,17,0
21629.5006056935,887.009085402786,0,2,7,0
21911.045543777,611.321162151551,0,1,14,0
22048.5392077607,847.200080840744,0,1,5,0
22310.568096313,922.914597441685,0,0,4,0
22350.6517754868,36.1042382588774,3,2,5,0
22373.5232265034,196.741447605329,1,3,3,0
22403.0372432997,354.401322659241,2,2,6,0
22446.6303191489,592.966016548463,0,5,6,0
22735.6237309645,361.359137055838,2,6,5,0
22748.8434665771,564.191803829358,0,2,2,0
