cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,CYR61,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,WNT5A,VEGFC,AXL,EPHA2,LOXL2,RUNX2,FGFR1,JUN,VGF
1,151.169835234474,41.8572032108154,0,63,5,115,2,0,0,39,0,0,0,0,14,3,9,2,3,3,0
2,447.382485875706,938.662994350282,0,103,28,329,93,1,0,40,30,7,0,1,88,22,18,1,18,3,1
3,628.758296460177,902.032079646018,0,90,1,199,13,1,0,44,0,0,0,1,0,1,5,1,3,3,1
6,1783.32840722496,35.8669950738916,0,73,0,150,4,1,0,1,8,4,0,0,0,0,0,0,2,4,2
14,4217.07304256437,946.375197057278,0,86,7,128,30,0,0,1,6,3,0,2,0,0,0,0,14,3,2
15,4402.36389413989,681.716446124764,1,158,11,300,434,2,1,1,179,14,1,1,0,0,0,0,47,64,7
17,5887.79390282629,208.449031438552,0,96,7,547,16,1,0,2,30,9,0,0,0,0,0,0,27,0,6
19,7097.03294001967,730.064896755162,0,238,0,373,48,2,0,2,0,0,0,0,0,0,0,0,10,4,5
30,9291.71043293116,1189.91163946061,0,29,1,42,82,4,1,1,29,5,1,2,0,0,0,0,15,4,7
36,10608.8473662381,478.058896723351,0,93,6,171,4,0,0,1,1,2,0,0,0,0,0,0,11,1,3
37,10746.4765758092,82.9395229982964,0,216,10,385,16,0,0,0,4,5,0,0,0,0,0,0,22,9,8
39,11047.969047619,514.676666666667,2,76,4,126,13,0,6,2,5,1,3,3,0,0,0,0,15,2,3
55,15549.9198016915,53.3295421405658,0,145,16,312,13,0,0,0,9,4,1,3,0,0,0,0,13,20,11
57,16529.7459224357,404.312432040594,0,154,12,385,18,1,0,0,5,8,0,0,0,0,0,0,16,5,5
103,244.110077107152,1867.25791013028,0,103,13,215,7,0,0,1,7,14,0,0,76,43,8,0,47,2,3
104,271.607294832827,1152.26990881459,0,129,19,291,19,0,0,2,19,7,0,0,88,24,9,0,14,5,1
105,412.147975077882,1766.08099688474,0,93,8,222,3,0,0,1,3,4,0,0,13,6,5,0,17,7,2
106,460.233485938522,1566.99084368869,0,126,12,246,46,0,0,0,20,45,0,0,34,11,9,2,44,6,1
109,599.577907353418,1200.51830255912,0,206,21,465,90,2,0,0,6,5,0,1,22,20,12,1,4,3,3
110,649.196243005596,1300.55675459632,0,52,10,163,19,0,0,2,2,0,0,0,8,5,5,1,4,3,5
111,768.830076762038,1672.64410327983,0,181,14,269,24,0,0,2,5,7,0,0,53,6,16,0,18,10,1
112,791.67731231854,1197.63376192451,0,55,8,152,106,0,0,0,1,7,0,0,8,5,3,1,0,26,5
121,2854.50123839009,1618.09783281734,0,127,5,454,24,0,0,1,35,7,0,0,0,0,0,0,20,1,4
122,2952.13325471698,1214.5241745283,0,116,11,551,235,1,0,0,67,38,0,1,0,0,0,0,29,2,5
127,4398.04789382574,1204.17772648586,0,56,3,128,3,0,0,1,2,4,0,0,0,0,0,0,11,1,2
128,4724.48720531936,1007.83538182551,0,213,10,86,70,1,0,1,38,18,0,2,0,0,0,0,27,11,10
