cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF
1,208.652797704448,798.158775705404,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,433.992181947406,362.097014925373,7,60,0,36,10,6,0,16,12,6,0,4,5,41,0,0,3,0,0
3,908.190798376184,906.648624267028,2,50,0,74,2,0,0,2,0,0,0,1,0,5,0,0,2,0,0
4,2756.41682036149,990.145333825157,2,19,0,17,0,1,0,1,0,0,0,2,0,5,0,0,0,2,0
5,3815.73001776199,591.43028419183,0,17,0,13,0,1,0,0,1,0,0,1,0,26,0,0,1,2,0
6,3958.20952380952,793.111428571429,0,16,0,18,2,0,0,4,1,0,0,0,0,8,0,0,0,0,0
7,3989.4803554724,504.021515434986,0,16,0,23,7,11,0,19,3,3,0,6,0,25,0,0,0,0,0
8,4018.02822384428,583.569829683698,0,14,0,23,0,1,0,2,0,0,0,0,0,7,0,0,0,1,0
9,4871.12967581047,647.764754779717,0,8,0,11,0,0,0,1,0,0,0,0,7,6,0,0,7,0,0
10,4964.80009564802,814.415590626494,0,19,0,11,0,2,0,5,0,0,0,0,0,7,0,0,0,0,0
11,5009.95857461024,909.546102449889,0,10,0,24,0,1,0,1,1,2,0,0,0,9,0,0,1,2,0
12,8790.94456110878,458.536749265015,3,43,0,64,1,2,0,19,4,1,0,7,5,21,0,1,3,5,0
14,10387.8177676538,585.643507972665,0,20,0,12,0,0,0,0,1,1,0,1,1,10,0,0,2,1,0
16,10970.7004811548,542.558941459503,0,43,0,40,0,0,0,1,0,0,0,1,0,19,0,0,0,0,0
17,11082.883354619,884.446573009791,1,45,0,77,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
18,11159.9995458674,174.61080835604,1,32,0,30,0,1,0,0,1,0,0,1,1,4,0,0,0,0,0
