cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF
1,1319.7405165456,948.429782082324,1,132,1,102,0,0,0,0,2,0,1,1,2,41,2,3,67,2131,942
2,1525.70047978067,473.15695681974,1,66,1,58,0,0,0,0,5,5,1,2,2,6,2,3,39,767,261
3,1584.47846889952,536.305263157895,5,87,2,126,0,0,0,0,4,4,2,3,2,48,1,2,97,985,470
4,1719.34564554388,274.001355472721,3,91,3,138,0,0,0,0,7,8,1,7,3,24,1,7,155,1433,476
5,1910.08224786007,761.111648678824,1,38,1,61,0,0,0,0,1,0,0,1,1,7,1,2,27,1153,408
6,2116.0271973466,404.214262023217,0,42,0,52,0,0,0,0,2,0,0,0,2,18,0,0,46,1157,481
7,2298.63880790411,438.356656948494,0,79,0,76,0,0,0,0,2,4,1,1,2,15,0,0,62,1127,455
8,2340.58165256994,958.516916070267,0,82,0,57,0,0,0,0,4,2,1,1,1,10,0,2,16,1480,490
12,2684.40162145307,794.056750857499,0,65,0,51,0,0,0,0,3,0,0,1,1,12,0,1,26,1052,482
13,2713.01326259947,324.953012504737,2,68,0,92,0,0,0,0,4,4,0,2,2,39,0,3,85,1012,424
15,2804.71070395371,275.52700096432,0,42,0,33,0,0,0,0,0,1,0,0,1,22,0,0,37,839,387
16,2842.63847675569,104.93175074184,0,48,0,36,0,0,0,0,1,0,0,1,1,6,0,2,25,814,287
17,2840.81449389523,607.428121307601,1,47,1,45,0,0,0,0,1,3,1,1,1,8,1,1,27,927,432
18,2962.71771894094,695.693279022403,0,35,0,29,0,0,0,0,1,0,0,0,1,10,0,0,10,890,378
19,3019.79630407392,502.830743385132,0,29,0,29,0,0,0,0,0,0,0,0,1,5,0,0,4,669,243
20,3043.12955122777,393.96867061812,2,40,3,51,0,0,0,0,2,2,1,0,2,21,1,0,25,983,325
