cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF,cluster
4,5685.8986234958,1057.58055579604,0,109,0,97,4,1,1,0,10,8,0,0,6,9,52,0,10,0,0,noCluster
94,37732.609883364,1029.09699201964,0,74,0,211,0,1,0,2,0,0,0,0,0,0,1,0,3,0,0,noCluster
151,21007.3629544143,963.433641084824,2,29,3,230,0,0,0,34,3,11,0,6,8,6,42,0,27,0,0,noCluster
168,22898.7502787068,2257.09085841695,29,30,1,481,11,31,0,79,1,1,0,5,15,0,3,0,2,0,0,noCluster
172,23281.0251742835,1076.17621998451,5,2,1,276,4,9,0,37,1,1,0,1,12,0,6,0,3,0,0,noCluster
201,24894.8432529044,1673.86952636282,13,0,0,478,2,11,0,29,0,0,0,1,4,0,4,0,8,0,0,noCluster
235,28788.0817826786,1876.52871582816,9,6,1,137,16,26,1,140,1,0,0,0,1,1,3,0,24,0,0,noCluster
243,37661.2870182556,1070.66430020284,0,69,0,101,0,1,0,2,4,1,0,2,0,2,1,0,1,0,0,noCluster
257,1034.71211515394,2628.92323070772,4,51,1,62,1,1,0,13,2,2,0,1,1,1,25,0,0,0,0,noCluster
258,2051.21570039611,2461.2257832193,6,64,1,42,6,2,0,5,4,1,0,1,1,0,67,0,0,0,0,noCluster
260,3311.73637103336,2575.75345809601,7,77,12,102,0,2,1,21,4,0,0,1,5,1,85,0,15,0,0,noCluster
261,3657.72873311428,2500.61518802483,7,82,3,83,8,2,0,7,0,0,0,0,3,5,19,0,5,0,0,noCluster
262,4041.36258158086,2345.84517766497,1,51,4,56,0,0,0,10,8,2,0,2,4,2,54,0,9,0,0,noCluster
264,7788.0256097561,2779.74796747968,7,60,4,96,5,1,3,12,5,0,0,2,6,9,68,0,11,0,0,noCluster
265,7826.10468406162,2460.932725558,12,80,11,138,6,4,0,17,6,5,0,7,4,10,72,0,7,0,0,noCluster
266,8050.28512151749,2610.62418494369,8,96,10,113,5,7,0,33,7,3,0,0,0,6,65,0,10,0,0,noCluster
268,9165.38005557271,2618.75640629824,2,56,1,81,1,1,0,3,1,0,0,1,1,5,30,0,1,0,0,noCluster
269,9934.10298598416,2493.51675807435,20,100,8,70,3,4,0,23,13,9,0,1,6,6,46,0,19,0,0,noCluster
271,13097.4209771641,2119.51768454594,0,3,0,0,1,2,1,4,0,0,0,0,0,9,8,0,32,0,0,noCluster
273,15716.2568807339,2316.35338743825,21,55,3,456,10,14,0,56,3,2,0,0,0,2,2,0,15,0,0,cluster3
275,15920.0311811024,2392.98393700787,12,19,1,602,4,7,0,45,0,0,0,0,1,0,2,0,19,0,0,cluster3
276,15995.4693032881,2770.33134053805,5,1,0,701,4,17,0,45,1,2,1,5,3,0,3,0,33,0,0,cluster3
277,16029.2528578741,2169.35437638628,24,16,1,812,6,12,0,19,2,2,0,6,5,3,6,0,38,0,0,cluster3
278,16171.6827296248,2528.93984476067,13,11,9,746,4,8,0,31,0,0,0,2,10,1,3,0,47,0,0,cluster3
279,16394.6279209107,2695.91771519872,12,7,0,477,2,3,0,60,1,1,0,2,4,0,1,0,31,0,0,cluster3
