Xpos,Ypos,TXNRD1,EGFR,LOXL2,GAPDH
744.563820612333,803.832039672273,386,20,155,558
806.972750642674,488.504884318766,373,40,352,692
2039.06967893042,390.708987996487,317,58,204,1070
2413.57957490928,608.635044064282,78,21,95,862
2642.16887496989,332.01445434835,220,47,172,898
2714.34574028122,427.934036393714,118,46,160,689
2801.88352860096,167.031150930393,1,0,0,9
3957.59815078236,35.6906116642959,19,4,3,127
4259.91170431212,11.0435318275154,23,1,7,204
4755.03028350515,138.738402061856,7,4,0,20
5199.756320732,945.372983385504,145,18,86,459
5277.39773230578,544.549915847285,231,93,648,1198
6228.09642470206,21.5151679306609,116,28,52,459
6305.44138710893,84.089709762533,110,10,23,409
6488.3443233945,133.299598623853,160,24,43,674
6640.50397203686,273.561169367652,335,49,185,861
7535.12832515976,888.786372417893,149,47,79,821
7649.61955314159,456.461301073942,84,14,30,227
7710.23456521739,203.787391304348,198,25,106,690
7763.47326049454,499.936170212766,71,25,20,260
7840.83106516619,366.062156503533,134,34,101,568
7865.69046553268,574.273052820054,239,58,122,779
8471.91652919828,931.061200923788,242,23,1,141
8883.91856871136,311.69757489301,280,77,239,1019
9740.77840909091,65.3253246753247,198,88,82,903
9799.26578680203,792.061319796954,100,24,40,566
10086.5835285415,522.5191714955,378,39,158,891
10087.5175568744,897.820474777448,45,21,45,472
10122.9048014966,678.934109332779,126,25,78,473
10543.6901060584,126.744006973703,401,40,104,806
10687.4214253084,618.7320694381,193,31,131,809
10679.5428735303,914.459994264411,127,45,52,641
10911.4240656729,715.163966299417,225,69,356,684
12020.8485008585,774.557257957998,169,73,41,671
12236.0010351143,1029.70093160283,276,160,131,830
12560.8098240084,545.074862096139,99,21,37,285
12620.7986710963,39.7528239202658,224,40,207,1226
12648.9787703336,499.342431761787,108,24,32,385
12667.3140703518,907.60709798995,188,33,39,456
12937.5151983514,411.716125708398,52,63,105,511
12962.9609042553,134.260904255319,53,44,52,557
13090.8625162127,725.13081341486,8,3,9,30
13082.422112537,387.408687068114,33,59,89,204
13168.7120356612,342.709955423477,14,67,112,336
13560.5347650062,620.958281992607,47,69,73,199
13548.1508049242,46.3953598484849,100,24,50,305
13562.8948628245,212.429018596943,202,32,154,782
13650.3970117396,846.816008537887,43,31,18,373
13856.8553180726,1230.49475148603,350,26,258,807
13899.4547932029,287.470663674255,166,63,175,377
14171.4871428571,46.4955102040816,58,17,11,172
14279.3529736697,696.361719756951,30,9,18,75
14286.9906970087,544.576785458709,89,9,8,90
14307.3106767363,310.907596623723,24,14,18,143
14391.7312871907,497.051988725337,45,3,0,75
14626.2903627804,641.636388811963,40,8,30,154
15243.5889649273,452.891873396065,182,24,73,245
15321.3909585179,630.658679017318,130,14,38,91
17405.2642642643,627.746496496497,68,36,21,278
17465.539976825,931.054171494786,414,17,64,466
17535.377076412,794.752823920266,218,15,13,234
17573.273830156,526.943055211686,52,38,16,166
17670.4855290926,769.447995176364,10,3,9,28
17643.7524084778,814.387764932563,4,1,2,14
17680.0484325136,754.701896001502,21,7,7,48
17727.6506352087,592.551724137931,49,8,11,66
17882.8546429369,242.603544567727,245,78,122,1180
17924.1600948072,653.739280327516,30,16,13,55
18175.8588260497,552.729648671808,70,29,27,181
18226.6245042341,272.482902776289,403,72,143,977
18413.0476415732,458.914447898365,484,88,374,608
18547.1452472194,536.407982054398,123,25,107,132
18552.6386417878,526.996528531135,187,24,51,73
18786.9122333243,28.7701863354037,144,25,58,215
24243.8424835296,940.138350968257,309,22,141,723
24634.6093053951,888.84738491998,536,35,276,783
24704.7784161491,352.204968944099,732,97,385,1419
