Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH
58.1885202738283,660.819641916798,3,64,28,257
274.479486116867,226.429341069208,2,108,3,365
526.499196916158,112.119498875683,1,123,17,701
599.298982188295,513.148854961832,8,63,29,718
678.548587395219,949.720583669668,10,211,27,793
807.836906141367,598.666570104287,10,134,24,550
1337.76330690827,98.1245753114383,3,88,1,714
967.776526378186,848.892116182573,4,64,23,401
1060.31425030979,695.139281288724,4,52,17,413
1103.82797518331,465.922447828539,16,54,38,643
1311.51839544268,290.935437930216,6,86,42,610
1343.33808844508,102.153708987161,1,80,3,554
1422.12059489169,572.16941480763,13,105,40,670
1434.50166389351,12.977537437604,1,94,6,484
2102.70858085809,692.162376237624,13,192,2,1177
2374.05700156169,953.686100989068,0,221,27,758
2427.34292356873,122.648648648649,10,146,15,696
2605.52883642496,355.824620573356,1,104,6,581
2637.65894184521,583.557936160909,1,93,39,382
2676.7884057971,799.004106280193,3,124,32,680
2716.62662090008,175.257437070938,3,111,13,677
2819.93349667483,836.178508925446,4,51,3,257
2911.1661059714,688.856602186711,0,78,25,398
3215.0562403698,11.4298921417565,1,149,22,619
3332.73455759599,847.423622704507,1,94,1,352
3394.69230769231,296.353276353276,1,197,16,642
3478.29786513046,832.416468993561,5,100,5,452
3640.18733850129,139.367355727821,1,207,2,634
3698.52157788267,502.653068105192,2,139,0,337
3973.44033674963,323.173133235725,3,136,3,350
4017.04290553256,561.98306360557,1,99,2,273
4144.14705882353,857.917411764706,4,160,60,771
4238.75328576793,634.677431468269,2,165,14,412
4296.88472990217,715.387494683114,3,101,15,404
4375.28521536671,781.558789289872,1,111,9,384
4421.71911378145,860.352234322193,8,102,16,437
4466.55407499225,412.910753021382,5,224,39,730
4753.85260311021,875.787356321839,3,131,1,528
4815.01740595171,418.515160022459,18,160,51,1178
4896.97564553991,736.422828638498,2,77,30,421
5155.13358348968,857.906566604128,4,90,2,500
5463.44029304029,573.61978021978,2,244,23,1416
5628.27870150436,307.419635787807,3,209,29,932
