Xpos,Ypos,NGFR,JUN,LOXL2,SERPINE1
90.5895347321778,759.694578391763,1,4,9,0
54.1950624809509,330.195672051204,0,0,1,0
67.8774703557312,187.09255599473,1,5,2,0
111.619745575221,424.488384955752,0,4,2,0
252.357392493542,134.193283695487,1,2,3,0
231.858289595554,568.731089842544,0,0,4,0
276.080995323981,878.218770875083,0,4,6,0
328.313959660297,231.731422505308,1,8,7,0
353.696769230769,526.140307692308,0,5,7,0
321.746920492721,711.920772676372,0,2,1,0
400.578233657858,672.933240611961,0,13,5,0
417.028267103646,836.981974600573,0,1,2,0
421.016671628461,58.694254242334,0,10,5,0
443.141187925998,308.046738072055,2,8,3,0
467.781605839416,179.953284671533,1,4,5,0
477.350803043111,765.559171597633,0,0,3,0
510.588740458015,881.417938931298,0,0,3,0
515.610484608351,662.638524839988,2,3,2,0
515.757575757576,519.325042881647,2,6,3,0
544.569452980946,95.3051628764597,3,22,4,0
603.956643792888,471.468808484092,1,5,2,0
619.573995426331,216.631492976152,1,7,4,0
630.359478794073,337.266223811957,1,7,4,0
630.194990488269,796.540900443881,1,2,2,1
693.710564399421,73.0437771345876,0,19,5,0
740.254362614611,542.546583850932,1,5,3,0
739.826030085023,763.454218443427,0,1,2,0
758.203241053342,397.187373396354,0,0,2,0
781.515179822513,914.626809901915,0,0,1,0
857.385427306776,514.183520599251,0,3,4,0
917.20365752286,94.205527847049,0,3,5,0
925.914959928762,929.16518254675,0,0,1,0
963.211025641026,574.729230769231,0,8,4,0
975.354943273906,367.623987034036,1,2,2,0
990.228770206671,234.018006957233,0,1,7,0
1040.32614278377,662.175141242938,0,5,1,0
1054.13470643939,57.4074337121212,0,2,3,0
1080.59208776596,904.026928191489,0,1,2,0
1128.21233783426,574.680698967435,0,0,0,0
1145.78899361508,95.3675889328063,0,6,1,0
1178.6487747958,677.076137689615,0,0,2,0
1194.12881651643,223.373073567898,0,5,2,0
1232.13972115099,769.523583506378,0,2,2,0
1248.52471390309,483.221572924276,0,1,0,0
1234.53058371199,115.398462076197,0,2,0,0
1268.31938236489,569.613571718814,1,1,2,0
1329.94550724638,837.755942028985,4,1,1,0
1322.65189466924,710.068400770713,0,5,1,0
1354.43341463415,601.26243902439,0,0,0,0
1429.5927499292,200.348343245539,0,5,4,0
