cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF
1,2280.41276710847,151.89667297809,6,62,0,31,30,21,0,35,2,13,0,0,0,5,0,0,1,32,0
2,2753.32742200328,241.433169129721,10,91,0,60,58,27,0,61,21,30,0,11,5,8,0,0,9,30,0
3,3856.04635352287,723.892150803461,4,62,0,23,16,5,0,57,2,4,0,2,4,1,0,0,2,0,0
5,7572.49200304646,173.498857578065,6,98,0,32,10,3,0,3,0,6,0,0,2,3,0,0,3,4,0
6,9734.69943135662,758.180225136358,11,134,0,68,8,16,0,0,6,14,0,9,7,7,2,0,5,0,0
7,17569.6748790145,38.6700395952486,0,42,0,21,15,5,0,22,6,20,0,16,5,5,0,0,0,19,0
9,20932.0840517241,225.349753694581,13,80,3,57,32,15,1,51,8,20,1,14,15,15,3,1,10,18,0
10,20959.6474103586,113.840305444887,2,57,0,18,10,2,0,22,0,4,0,3,2,5,1,0,6,7,0
13,24597.3861015893,65.2424431287005,2,89,0,1,0,13,0,0,3,27,0,8,5,6,1,0,2,24,0
14,28044.0991128786,630.481798715203,8,6,0,270,18,18,0,74,1,3,1,32,22,1,1,0,46,11,0
15,28154.3546201232,533.285215605749,6,7,0,687,27,10,0,135,1,8,0,67,43,2,0,0,65,23,0
16,649.617897727273,1066.13565340909,1,90,0,19,48,15,0,77,7,9,0,35,18,4,5,0,12,21,0
17,718.504592422503,1631.57749712974,2,121,1,1,54,14,0,85,6,7,1,9,14,4,3,0,13,4,0
18,972.003888024883,1526.50272161742,1,56,1,7,28,4,0,63,1,0,0,7,3,3,1,0,3,2,0
19,1483.5474025974,1479.06850649351,8,86,0,45,24,3,0,49,2,5,0,13,9,4,0,0,10,11,0
20,3069.49307774228,1336.92580759673,0,45,0,33,13,2,0,42,2,7,0,11,6,2,1,0,0,14,0
21,4306.27928908234,1789.92564381574,13,86,0,60,46,9,0,36,5,9,0,12,5,1,1,1,3,9,0
24,20273.5094240838,1646.77958115183,9,45,0,143,21,12,0,76,6,20,0,9,3,3,1,0,8,35,0
25,22492.8881388621,1082.82770813243,1,68,0,56,11,1,0,27,0,4,0,2,0,4,0,0,2,2,0
26,25979.4065934066,1302.11826923077,2,214,1,116,9,2,0,33,2,5,0,3,4,1,3,0,18,11,0
27,26087.1310565276,1259.5418909825,0,137,0,108,22,2,0,54,3,2,0,7,0,0,0,0,12,15,0
28,28170.1900311526,1673.73095440385,10,56,0,33,21,9,0,39,7,6,0,11,9,4,1,0,7,9,0
29,28484.1952131638,1488.46596858639,7,122,0,100,54,12,0,105,11,17,0,20,8,5,0,0,6,41,0
30,29587.6312128923,1691.67718405428,4,8,0,274,157,32,0,113,4,54,0,10,56,8,2,0,55,4,0
31,29604.4393894044,1691.66087997606,5,11,0,255,157,32,0,113,4,54,0,10,56,8,2,0,40,6,0
32,29763.369602342,1796.3071480849,15,7,0,243,87,32,0,40,0,6,0,3,35,8,1,0,34,14,0
33,30204.8207319746,1830.58273065965,15,5,2,465,225,26,0,35,6,7,0,9,12,0,2,0,49,5,0
34,30655.0659630607,1522.6437994723,6,11,0,490,88,3,0,20,0,10,0,2,17,1,1,0,37,10,0
35,30841.0351620948,1575.86907730673,4,5,0,427,149,9,0,1,1,14,0,7,42,0,1,0,16,4,0
36,30930.1427148194,1816.0303860523,2,25,0,215,23,11,0,32,21,5,0,5,0,1,3,0,11,14,0
37,31064.6308089501,1316.34681583477,15,37,0,564,156,32,0,12,4,27,0,23,86,5,3,0,60,12,0
38,32022.9174936758,1571.5471881689,12,26,0,625,65,16,0,15,0,9,0,9,49,3,3,0,74,13,0
39,32045.7967042809,1784.0204191295,22,13,0,622,146,47,0,23,0,6,0,3,35,2,2,0,29,12,0
40,32381.6558568138,1573.21796916534,20,13,0,391,139,32,0,10,0,4,0,2,6,1,1,0,21,8,0
41,32767.0501218239,1845.44169857292,10,40,2,179,38,12,1,61,15,4,0,0,9,2,2,0,22,17,0
42,33838.2713966758,1223.78094765567,13,114,1,0,6,3,3,9,4,5,1,31,3,4,5,0,7,7,1
43,34446.5310166571,1043.55571510626,9,48,1,55,40,1,0,77,8,3,0,0,10,0,1,0,2,7,0
44,1485.83574284835,2684.33374346355,11,77,0,98,48,7,0,84,15,22,0,18,7,3,1,0,3,20,0
47,10123.0402197023,2031.78206945429,1,109,0,45,8,2,0,5,1,2,0,0,2,2,1,0,2,1,0
48,13787.0658096113,2203.47903275176,13,67,1,33,32,8,1,48,6,12,0,12,8,2,1,0,3,10,0
49,14457.4818696884,2481.87478753541,4,75,5,25,46,2,0,76,2,7,2,21,6,4,0,0,12,12,1
50,15294.7352283615,2634.63398275311,12,46,0,62,9,18,0,4,9,19,0,14,4,5,2,0,6,9,0
52,24929.7212003872,2792.59503065505,8,87,0,63,19,11,0,35,10,5,0,0,8,10,0,0,5,28,0
53,28754.4993566833,2660.2952108649,7,3,2,218,85,15,0,76,2,0,0,1,92,1,3,0,59,1,0
54,28857.2994555354,3011.01555613171,5,19,0,197,43,7,0,0,0,2,0,0,25,1,0,0,27,8,0
55,28869.5253963988,2920.10669174953,2,0,0,56,18,4,0,0,0,0,0,0,2,1,0,0,18,4,0
56,29311.9217694041,2635.40835551915,15,0,0,611,187,68,0,42,3,4,0,2,38,3,4,0,23,8,0
57,29369.1337835896,2286.1672654117,12,1,0,726,124,36,0,119,1,28,0,41,40,4,0,0,22,27,0
58,29394.2210708117,2123.27633851468,9,1,0,616,61,39,0,56,0,31,0,11,58,0,1,0,42,8,0
59,29420.3157227388,2206.5650887574,9,0,0,308,132,32,0,27,0,11,0,12,54,3,1,0,36,17,0
60,29500.935359589,1916.26155821918,5,4,0,275,26,7,0,16,4,3,0,4,23,2,2,0,14,2,0
61,29609.6039287346,2941.45682960256,2,3,0,97,65,39,0,8,2,5,0,2,9,2,0,0,31,20,0
62,29717.3206533419,2649.74897915323,9,1,0,108,97,53,0,17,1,1,0,1,20,2,1,0,27,6,0
63,29780.0054564533,2061.32864637985,20,9,0,96,151,51,0,11,5,15,0,0,25,6,2,0,15,4,0
64,29869.7529767911,2257.66014127144,12,4,0,169,302,38,0,70,2,9,0,3,33,4,1,0,31,8,0
65,29920.0201005025,2663.42844658073,2,6,0,123,39,28,0,11,0,5,0,7,10,1,1,0,7,17,0
66,29941.5865384615,2760.37644230769,2,9,0,301,85,29,0,43,0,15,0,5,43,0,0,0,33,8,0
67,30029.6619679759,2256.56001094841,17,6,0,298,314,70,0,76,1,8,0,7,35,2,2,0,43,3,0
68,30120.7231063017,2707.36855506047,2,33,0,483,196,12,0,56,0,7,0,14,105,2,1,0,58,6,0
69,31014.24726955,2531.65530799476,0,0,0,0,102,68,0,43,0,7,0,10,0,2,0,0,45,14,0
70,31313.6610015175,2811.23429438543,13,20,0,102,145,62,0,101,17,17,0,0,30,3,2,0,86,16,0
71,31318.6418758882,2225.29275225012,0,2,0,2,44,55,0,53,1,4,0,14,2,2,1,0,14,6,0
72,31579.8321232964,1945.31537383773,15,11,0,210,99,13,0,27,0,6,0,2,32,1,1,0,21,0,0
73,31643.843527904,2723.9578236048,16,33,0,291,152,17,0,15,0,4,0,1,22,0,3,0,50,3,0
74,31703.2224337892,2330.81218625584,4,20,0,262,100,33,0,39,0,2,0,1,6,0,1,0,9,2,0
75,31859.2278854254,2538.70261162595,17,52,0,484,120,32,0,27,1,11,0,2,20,1,1,0,16,0,0
76,31879.0663875598,2907.7769138756,1,0,0,18,78,3,0,4,1,8,2,1,10,4,3,1,37,17,0
77,31950.1744529864,2885.31460674157,0,1,0,31,100,4,0,2,0,6,0,0,3,1,0,0,32,13,0
78,32182.6568398727,2305.99268292683,28,30,0,1176,206,13,0,370,0,44,0,28,150,8,3,0,125,12,0
79,32395.2352406903,2486.30124129579,9,14,0,362,34,8,0,33,6,3,0,1,23,1,0,0,20,4,0
80,32445.583399968,2059.84567407644,10,5,0,346,84,16,0,79,1,3,0,4,32,1,1,0,99,5,0
81,32482.4733674391,2505.47487210352,1,1,0,154,61,24,0,22,0,0,0,0,6,0,2,0,6,1,0
82,32603.8422810785,2480.31758530184,7,7,0,338,65,6,0,109,0,0,0,0,15,0,0,0,11,0,0
83,32781.7473789316,2654.89698785156,19,3,1,427,112,22,0,50,1,6,0,1,23,1,1,0,17,8,0
84,32980.5087004813,2533.75490559052,7,14,0,632,163,34,0,182,2,2,0,6,28,0,1,0,38,9,0
85,33194.6398095238,2762.35542857143,5,3,0,214,86,27,0,13,2,9,0,1,24,1,2,0,8,4,0
86,33279.3136363636,2622.1652173913,6,7,0,353,71,15,0,82,1,2,0,1,21,0,0,1,30,13,0
87,33314.5603056588,2335.64291615035,14,23,0,571,198,34,0,99,2,4,0,1,34,0,1,0,55,7,0
89,33882.5706681608,2262.71872811318,7,43,0,706,83,13,0,222,4,21,0,22,76,2,1,0,35,31,0
90,33976.2435482186,2560.61884860516,21,22,1,485,60,19,0,284,1,9,0,7,55,0,3,0,38,9,0
91,34142.446436015,2663.9180908712,24,33,0,675,58,19,0,131,1,4,0,4,73,0,0,0,72,4,0
92,34295.697708082,2669.9599517491,10,5,0,133,28,7,0,47,0,9,0,0,7,0,1,0,31,2,0
96,1763.47934581015,3212.80441746754,9,132,0,60,57,17,0,12,11,8,0,14,19,5,1,0,5,24,0
97,3914.6486381323,2841.3411154345,20,193,0,127,76,31,0,91,22,6,0,18,18,9,0,0,19,59,0
98,12442.0097515362,3232.18968741651,12,204,0,97,43,15,0,85,2,5,0,5,2,9,0,0,5,19,0
99,13721.2438660858,3929.62221967439,4,196,0,88,1,3,0,28,9,20,0,21,1,1,0,0,1,2,0
101,13771.4581638582,2937.28675188844,11,93,0,57,40,9,0,12,3,18,0,31,14,7,0,0,9,18,0
102,14659.6235208447,3052.22428545421,20,158,0,54,49,23,0,86,12,15,0,9,21,8,1,0,10,27,0
103,14782.3024500721,3113.61704756022,8,110,0,20,18,5,0,33,3,9,0,0,6,4,1,0,3,11,0
104,14863.5573078006,3328.40805406928,1,70,0,24,26,3,0,52,2,4,0,2,1,1,1,0,6,4,0
105,15682.9210889042,3191.80013783597,9,65,0,40,38,3,0,68,3,19,0,7,8,2,0,0,1,8,0
