cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF
1,3335.76078167116,106.658018867925,1,94,1,432,1,0,4,0,0,1,1,2,1,57,5,1,3,3,0
2,3354.01558203483,481.399938893981,5,225,7,801,3,4,7,0,1,2,2,1,0,102,12,0,5,4,1
3,3499.34624043224,95.4232327780279,0,103,2,432,0,1,1,0,1,2,0,1,0,51,1,1,1,0,0
4,3569.432,832.908,0,133,2,714,0,1,4,0,3,1,6,2,0,36,2,0,4,0,0
5,3627.1295948484,421.857794472766,3,177,39,777,0,0,3,0,0,0,2,1,1,16,2,1,8,0,4
6,3635.2462372065,54.9620710415412,0,71,3,331,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
7,3650.02361199745,646.401084875558,3,98,12,560,0,0,3,0,0,0,0,1,1,2,5,1,2,0,1
8,3782.51320983905,192.927725478287,1,101,3,405,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0
9,3929.77292069632,33.9334622823985,0,98,0,393,0,0,1,0,1,0,0,1,0,2,2,0,0,0,0
10,3932.13380716934,601.32478368356,2,120,2,522,2,0,5,0,1,0,2,1,1,1,9,3,7,0,1
11,4071.87226107226,60.5575757575758,0,117,6,644,0,0,3,0,0,0,3,0,1,1,1,2,1,0,0
12,4072.01487123685,389.848748639826,4,166,5,549,2,0,4,0,0,0,0,1,0,0,3,0,1,0,0
13,4150.96741108354,948.764433416046,6,210,49,920,0,2,3,0,0,0,0,0,0,121,2,3,3,2,0
14,4157.4846362404,432.218933574334,4,218,19,562,0,0,5,0,0,0,1,1,1,3,7,2,8,0,0
15,4152.18382352941,658.893382352941,1,190,15,1007,0,0,5,0,2,1,1,1,1,0,9,0,8,1,0
16,4349.11194429566,47.0578468130691,2,143,0,741,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
17,4386.43584758942,715.83767496112,8,369,63,1067,1,0,5,0,3,0,0,0,1,4,4,0,4,0,1
