cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF
1,145.55737704918,754.301275045537,0,191,2,270,0,0,0,21,4,1,3,11,3,34,4,0,0,0,0
2,1774.04545454545,805.461444805195,1,115,2,241,0,0,0,7,8,5,3,19,1,20,43,0,1,4,0
3,1931.42551293488,921.161462979483,0,86,7,192,0,0,0,4,4,0,3,2,1,10,8,0,0,1,0
4,2174.60844803037,739.431893687708,0,40,4,87,0,0,0,0,2,1,0,3,0,8,0,0,0,0,0
5,2197.24862979571,636.309915296462,1,74,4,149,1,0,0,2,1,2,0,4,0,12,1,0,0,0,0
6,2246.76101083032,740.376173285199,0,97,5,165,0,0,0,6,4,1,1,6,0,14,7,0,0,0,0
8,3575.00841809891,610.926341634514,1,151,10,267,0,0,0,16,5,11,0,4,1,40,28,0,0,1,0
9,3669.79923273657,651.144075021313,0,98,7,199,0,0,0,2,1,3,3,4,1,31,7,0,1,1,0
10,4052.24325351577,924.923983276321,2,97,14,292,0,0,0,7,2,2,0,2,0,30,8,0,0,0,0
11,4198.03183791606,817.862156295224,0,167,15,225,0,0,0,12,3,6,0,2,1,14,17,0,0,0,0
13,5734.73559962229,841.134088762984,2,94,4,130,0,0,0,1,1,1,0,1,0,15,0,0,0,0,0
14,5760.21467257509,940.550960118168,0,100,0,129,0,0,0,0,1,0,1,2,1,18,1,0,0,0,0
16,8432.49284578696,702.756756756757,0,205,1,295,0,0,0,0,26,1,0,3,22,36,3,0,0,0,0
17,8719.58549057207,539.694790667945,0,174,0,216,0,0,0,2,17,1,0,2,15,28,1,1,0,1,0
18,9425.36860739575,611.786585365854,2,147,29,473,1,0,0,3,289,20,1,16,106,7,15,0,0,12,0
19,9500.41815419673,863.868401063426,3,172,10,381,0,0,0,5,91,4,0,2,10,40,3,0,0,1,0
20,9599.93713999499,615.952667167543,3,161,12,290,3,0,0,7,142,5,0,7,11,54,2,0,1,0,0
21,11764.5098855359,657.305237599723,1,138,20,332,0,1,0,6,6,1,1,10,3,35,13,0,1,2,0
22,12977.555503948,610.163957268927,0,100,6,225,1,1,0,8,1,1,0,0,0,16,5,0,0,1,0
23,13158.3747269891,555.647737909516,3,109,19,258,6,0,0,13,2,0,0,3,1,10,2,0,0,0,0
24,14207.3530869296,238.217633698121,6,219,36,415,1,0,0,14,242,7,0,1,2,7,33,2,0,32,0
26,14994.6259119497,958.079496855346,7,120,12,180,0,0,0,5,0,1,0,0,0,27,0,0,0,1,0
27,16041.8098969996,180.299820868786,5,54,17,436,0,2,0,87,12,26,0,30,71,5,7,0,0,16,0
30,16859.8047255038,746.011118832523,0,137,5,215,0,0,0,1,0,0,0,0,0,29,2,0,0,1,0
31,16882.3983759255,438.540482445665,0,190,8,304,0,0,0,3,2,1,0,3,1,85,8,0,0,0,0
32,16951.4973322101,756.274641954507,2,160,2,277,0,0,0,5,0,1,0,0,0,48,2,0,0,0,0
33,20260.3668138337,211.202354672553,0,110,12,200,1,1,0,11,112,6,0,5,14,6,8,1,0,6,0
34,20980.9747074368,760.802189505474,1,123,7,215,0,0,0,0,3,2,2,3,3,54,8,0,0,0,0
35,21174.2086761406,478.735602094241,1,100,7,350,0,2,0,31,249,9,0,39,28,32,20,0,0,3,0
36,21165.2661774516,403.876584389593,0,117,9,230,2,1,1,1,40,3,1,9,5,46,7,1,0,6,0
