cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF
1,233.719419924338,351.340163934426,39,40,0,119,37,45,0,2,0,11,0,3,9,1,2,0,20,28,0
2,310.409973431433,340.759043531576,70,16,0,239,165,73,0,8,0,3,0,2,39,1,4,0,49,25,0
3,567.058137510879,731.797911227154,66,18,0,333,162,34,0,9,0,4,0,11,69,1,5,0,90,55,0
4,1652.21175764847,62.9254149170166,41,7,0,166,63,46,0,9,0,18,0,7,25,1,6,0,54,6,0
5,1787.83527772941,196.603169075396,54,29,0,121,90,47,0,8,0,24,1,4,72,2,7,0,89,13,0
7,1954.7456192837,188.124882468587,50,0,0,57,133,51,0,1,0,30,0,5,87,0,1,0,96,42,0
8,2071.80105600603,357.913068074675,48,0,0,302,73,23,0,1,0,20,0,3,104,3,9,0,113,26,0
10,2534.07830832196,245.664938608458,49,0,0,218,41,15,0,7,0,16,0,4,67,2,27,0,70,32,0
11,2568.80427698574,75.8704684317719,27,0,0,54,20,24,0,3,0,3,0,2,68,0,7,0,85,40,0
12,2739.35330767821,108.882169690306,33,0,0,129,61,21,0,3,0,4,0,5,29,0,6,0,39,5,0
14,7920.11065444199,57.2699968384445,22,0,0,99,14,29,0,4,0,21,0,16,30,0,38,0,24,8,0
15,10411.3039838337,521.255629330254,49,3,0,179,69,48,0,11,0,22,0,10,62,3,11,0,45,48,0
16,10493.9604004782,439.235953377167,12,0,0,139,73,31,0,8,0,9,0,4,56,2,19,0,30,55,0
17,10667.9337783243,840.651326190058,51,2,0,169,77,56,0,5,0,10,0,14,80,0,37,0,53,2,0
18,11310.2364772505,802.392306190197,23,0,0,44,43,32,0,0,0,14,0,0,70,1,6,0,36,52,0
19,11321.7443543083,680.186143389608,18,6,0,95,62,28,0,0,0,8,0,0,54,1,10,0,44,4,0
20,11435.1972318339,458.766243752403,31,3,0,145,92,30,0,6,0,11,0,10,78,1,35,0,35,5,0
21,11478.3514362657,910.835502692998,22,8,0,73,124,58,0,0,0,5,0,1,42,2,11,0,87,9,0
22,11539.892614601,809.941213921902,34,11,0,228,83,46,0,2,0,6,0,2,48,1,18,0,73,11,0
23,11723.3074217803,878.427601261218,39,22,0,192,141,60,0,1,0,25,0,5,94,1,16,0,82,32,0
24,12002.8723882274,862.019321500786,15,2,0,80,29,30,0,9,0,9,0,3,28,0,18,0,32,15,0
25,12349.2519827782,828.697484704283,40,17,0,40,24,72,0,4,0,11,0,3,23,1,6,0,22,9,0
27,13496.0619047619,229.25900621118,53,20,0,239,52,40,0,18,0,96,0,28,56,3,30,0,41,7,0
28,13526.2120956399,114.983122362869,14,3,0,147,53,42,0,16,0,67,0,16,26,0,9,0,28,10,0
30,14735.8919546907,879.550972988673,13,3,0,196,20,19,0,4,0,9,0,3,29,0,14,0,2,33,0
32,14986.4367330517,878.39207402937,12,0,0,60,11,7,0,3,0,15,0,3,27,3,3,0,16,6,0
33,15084.0462646484,431.892211914062,13,15,0,98,97,24,0,8,0,34,0,6,31,0,17,0,38,37,0
35,15430.6435836701,164.896405183224,123,11,0,376,205,117,0,3,0,65,0,25,68,8,29,0,146,106,0
36,15717.5646687697,81.0890560543557,16,3,0,219,108,64,0,4,0,33,0,6,18,2,14,0,61,22,0
37,15881.9280583253,163.304921196526,26,2,0,69,48,25,0,3,0,35,0,15,20,6,8,0,35,47,0
39,16016.5577878104,82.7171557562077,19,6,0,212,97,33,0,2,0,19,0,3,33,0,4,0,59,22,0
40,17022.9711842939,464.212476250792,34,2,0,27,56,22,0,4,0,12,0,7,121,1,6,0,62,15,0
41,17546.1457191457,447.380268380268,50,9,0,98,124,104,0,1,0,17,1,5,151,1,15,0,77,3,0
42,17826.1629464286,398.948883928571,22,2,0,86,50,57,0,0,0,15,0,8,33,1,11,0,23,27,0
43,17886.2122460995,793.633205769797,74,4,0,96,49,77,0,1,0,13,0,11,139,0,5,0,109,63,0
45,18037.9600867679,210.204989154013,33,4,0,95,28,68,0,1,0,10,0,12,52,0,14,0,30,12,0
46,18064.8247668188,337.871403056162,29,6,0,102,25,44,0,8,0,13,0,10,28,1,18,0,33,7,0
47,18242.7540329575,346.950737207285,46,7,0,131,57,93,0,6,0,10,0,8,47,0,12,0,53,32,0
