cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF
2,2319.43135464231,616.898325722983,28,485,0,1057,14,4,0,5,5,3,0,0,1,13,0,0,77,5,0
3,2895.22781113094,261.637514197631,12,164,0,289,1,3,0,0,0,8,0,0,0,2,0,1,3,1,0
4,4125.57561361837,633.571126946424,5,22,0,500,4,0,0,29,11,18,0,0,44,0,0,0,40,4,0
5,4770.86817859674,430.870540987479,4,68,0,313,2,2,0,0,23,0,0,0,5,0,0,0,18,1,0
6,6470.87682500514,822.278017684557,1,51,0,622,1,0,0,2,4,2,0,0,4,4,0,0,90,9,0
10,8640.13503927033,814.649100582721,2,17,0,197,0,0,0,0,0,2,0,0,2,3,0,3,3,12,0
11,8899.45668874172,863.843443708609,24,12,0,395,13,1,0,0,1,1,0,0,41,0,0,0,23,19,0
12,9617.05898964543,257.515218073423,3,2,0,301,2,1,0,1,4,2,0,0,1,6,0,0,4,1,0
13,10204.8066871637,225.0476556495,9,9,0,547,0,0,0,1,1,2,0,0,4,4,0,0,11,22,0
15,10720.4301582894,396.370452652041,8,82,0,455,3,1,0,8,8,1,0,0,3,3,0,1,4,1,0
16,11690.8827705901,647.049542442411,10,405,0,1136,7,2,0,2,1,6,0,0,2,23,0,0,96,8,0
17,12381.719133574,210.313357400722,0,127,0,309,2,0,0,4,1,1,0,0,2,37,0,0,3,0,0
18,12392.6896932854,311.28654324399,9,205,0,462,0,3,0,1,1,0,0,0,1,17,0,0,32,2,0
19,12424.4350038158,884.947341643348,3,3,0,380,0,1,0,32,0,0,0,0,16,1,0,0,32,1,0
20,14814.7505024789,405.047969985261,12,169,0,665,1,1,0,2,6,2,0,0,1,7,0,1,27,8,0
22,14882.8985507246,245.449612403101,10,165,0,397,1,1,0,1,0,1,0,0,0,16,0,0,10,1,0
24,16070.0693976805,527.480920314254,4,88,0,425,1,2,0,6,18,1,0,0,4,5,0,0,36,0,0
25,16481.232390355,203.440098727929,9,266,0,644,2,2,0,7,7,1,0,0,1,73,0,0,7,3,0
27,17191.4584574644,807.703740483284,5,156,0,396,3,0,0,3,2,0,0,0,1,51,0,0,10,0,0
28,17299.0838044563,859.978716328567,1,168,0,304,0,0,0,4,1,1,0,0,0,9,0,0,3,0,0
32,17697.8783301867,218.137193203272,20,103,0,443,1,0,0,2,1,1,0,0,3,1,0,2,11,2,0
33,18360.9652160349,873.766651068476,16,181,0,600,2,5,0,13,2,2,0,0,1,6,0,0,46,3,0
34,18382.674173735,176.051184556888,19,218,0,523,4,1,0,3,3,2,0,0,2,4,0,0,38,0,0
35,18638.1868627451,808.978235294118,8,108,0,455,10,18,0,0,0,0,0,0,1,0,0,0,106,3,0
36,19330.1344358496,448.124299813284,38,432,0,924,11,6,0,14,15,4,0,0,13,8,0,0,122,13,0
38,20820.2042670046,828.83755809041,4,104,0,237,0,1,0,4,3,2,0,0,0,9,0,0,8,0,0
40,21854.92,235.613675213675,17,118,0,723,37,1,0,31,22,55,0,0,9,11,0,0,87,93,0
41,21986.018125177,393.995185499858,17,99,0,339,6,2,0,19,10,4,0,0,2,1,0,0,26,14,0
42,22216.7599027102,903.193884642113,3,169,0,274,0,0,0,8,0,0,0,0,0,7,0,0,20,20,0
43,22529.3030646992,503.494892167991,11,84,0,107,0,4,0,19,1,0,0,0,6,4,0,1,16,0,0
45,23246.1945392491,226.518771331058,5,110,0,226,2,0,0,3,0,0,0,0,0,0,0,0,1,6,0
46,23276.1944302938,661.800475462727,2,98,0,335,23,1,0,27,1,0,0,0,2,6,0,0,68,34,0
47,23767.6716656669,686.116976604679,7,219,0,327,3,4,0,17,4,0,0,0,2,4,0,1,42,3,0
48,24382.0298300382,252.277141866112,3,190,0,371,0,0,0,9,3,0,0,0,1,7,0,2,30,1,0
52,25693.2971157645,824.181746345318,8,41,0,160,1,0,0,44,3,1,0,0,1,2,0,0,3,2,0
54,26302.3173704832,756.70091423596,29,246,0,666,6,2,0,34,7,4,0,0,7,6,0,2,55,12,0
55,26380.6441746081,580.732400860744,32,277,0,691,6,5,0,17,5,0,0,0,6,9,0,0,18,10,0
57,26963.4886408404,245.521076822062,8,33,0,471,3,2,0,6,1,1,0,0,8,11,0,0,13,16,0
58,27099.1970578726,686.582444228904,15,23,0,237,21,2,0,11,0,0,0,0,2,6,0,0,19,9,0
59,27878.6255096098,763.193942923704,28,365,0,1077,22,2,0,5,1,0,0,0,4,18,0,2,91,3,0
60,28316.6947674419,525.549626245847,7,157,0,444,17,1,0,31,17,0,0,0,2,9,0,0,23,0,0
61,28657.7700945626,192.587470449173,27,264,0,834,4,3,0,13,3,0,0,0,6,30,0,1,24,6,0
62,29175.2994598244,546.092167454423,11,39,0,340,3,1,0,7,0,0,0,0,9,8,0,0,41,4,0
63,29638.4434334764,172.136137339056,19,187,0,612,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0
64,30422.0471856287,296.264431137725,17,168,0,477,2,1,0,9,0,1,0,0,4,11,0,0,9,3,0
65,30842.7262686567,660.532537313433,3,32,0,196,0,3,0,1,0,0,0,0,0,0,0,1,13,3,0
66,30980.1165014164,809.310198300283,4,108,0,759,39,0,0,19,30,3,0,0,4,3,0,0,111,34,0
67,31859.3490442142,960.003064351379,6,89,0,309,1,20,0,2,1,3,0,0,1,7,0,2,3,20,0
68,121.763994626064,1890.88804299149,1,121,0,486,1,0,0,0,0,0,0,0,0,1,0,0,5,6,0
69,1945.93714285714,1570.18666666667,0,54,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0
70,2292.65050287356,1856.38254310345,3,85,0,161,0,0,0,1,0,1,0,0,0,1,0,0,0,8,0
71,2675.11742313324,1620.51830161054,4,27,0,0,1,2,0,1,1,4,0,0,2,1,0,0,0,4,0
72,2892.23821681068,1423.79772191673,13,49,0,587,4,0,0,0,2,2,0,0,1,4,0,0,13,22,0
73,2914.5080890973,1785.54935521688,2,53,0,197,1,0,0,2,1,0,0,0,0,1,0,0,4,0,0
74,3524.40052721352,1714.14637928361,10,246,0,554,0,2,0,2,0,3,0,0,1,9,0,1,12,3,0
75,3991.82513227513,1703.08148148148,17,30,0,423,1,1,0,1,3,0,0,0,7,0,0,0,54,6,0
76,4094.95940690326,1575.06854642684,2,93,0,314,0,0,0,0,0,1,0,0,1,2,0,0,7,3,0
77,4976.94667295894,1074.63001415762,0,59,0,14,0,0,0,0,0,3,0,0,1,2,0,0,12,8,0
78,5769.40259943627,1224.3786407767,1,138,0,106,0,1,0,0,0,2,0,0,0,7,0,1,72,5,0
79,5887.40040887851,1112.19392523364,0,65,0,84,0,2,0,0,0,1,0,0,0,3,0,0,19,1,0
80,5997.9821215733,1235.68295589988,0,53,0,101,0,0,0,0,0,1,0,0,0,0,0,0,16,1,0
81,6024.04845222073,1619.94784656797,1,74,0,23,1,0,0,0,0,1,0,0,0,2,0,0,5,1,0
82,6080.64166666667,1708.590625,0,77,0,21,0,1,0,0,0,0,0,0,0,3,0,0,14,0,0
83,6102.78466741826,1539.21871476888,3,102,0,29,3,3,0,3,5,10,0,0,2,7,0,1,13,47,0
84,6657.65653981452,1278.79692996482,2,43,0,232,3,0,0,2,2,1,0,0,0,4,0,0,0,1,0
85,6691.17861568419,1879.52186227651,19,11,0,246,0,0,0,0,1,10,0,0,2,0,0,0,2,21,0
86,6770.55542487504,1238.94295795354,3,77,0,292,8,1,0,0,1,0,0,0,0,1,0,0,0,0,0
87,7133.27027845036,1565.79388619855,11,95,0,386,0,2,0,2,8,1,0,0,0,2,0,0,6,1,0
88,8368.39262295082,1269.3381147541,1,174,0,326,1,0,0,0,1,0,0,0,0,5,0,0,9,0,0
89,8413.49138576779,1606.45443196005,14,65,0,329,2,1,0,3,3,2,0,0,4,1,0,0,12,2,0
90,8730.2523501149,1262.81387090036,2,102,0,480,2,0,0,0,1,1,0,0,1,0,0,0,10,7,0
91,9111.95530535653,1200.80859774821,13,80,0,393,3,0,0,2,3,3,0,0,4,2,0,0,12,36,0
92,9712.97832071576,1729.82450103235,0,101,0,343,9,1,0,12,10,1,0,0,2,4,0,0,0,0,0
93,10096.0486516542,968.690575479566,5,103,0,404,0,0,0,1,0,0,0,0,0,3,0,0,15,7,0
94,11359.1622928177,1265.10462707182,3,39,0,223,0,0,0,4,2,3,0,0,1,0,0,0,45,4,0
95,12548.3648648649,1270.37644787645,16,206,0,560,7,1,0,2,4,2,0,0,0,3,0,0,65,76,0
97,13386.6703243111,1725.30772982199,5,59,0,587,0,1,0,0,7,0,0,0,5,1,0,0,12,16,0
98,14360.9920821114,977.722580645161,10,77,0,440,5,0,0,16,9,1,0,0,0,4,0,0,56,3,0
99,15136.8141762452,1407.68122605364,6,79,0,374,5,2,0,4,0,0,0,0,5,5,0,1,8,0,0
100,15196.0105184072,1346.62283996995,9,86,0,343,3,0,0,9,2,0,0,0,4,1,0,0,11,1,0
101,15690.2226794696,1292.3260173754,6,49,0,457,2,18,0,3,0,0,0,0,39,5,0,0,8,8,0
102,16085.608338805,1579.83831254104,17,320,0,775,7,0,0,0,1,1,0,0,1,1,0,0,63,1,0
103,16205.1735722284,1508.21640537514,7,205,0,351,0,0,0,11,7,1,0,0,0,3,0,0,11,8,0
104,16230.6121971951,1274.89991500212,25,291,0,579,6,0,0,9,8,4,0,0,3,10,0,0,38,6,0
105,16814.2726365677,1321.95485158394,5,63,0,316,1,1,0,1,1,0,0,0,9,0,0,0,9,0,0
106,16889.935299109,1544.56894357234,11,41,0,526,0,2,0,3,3,0,0,0,0,1,0,0,76,1,0
107,17077.3487070115,1452.15782458011,4,125,0,402,1,1,0,43,10,1,0,0,0,1,0,0,18,0,0
108,17172.559912854,1266.76819172113,15,43,0,607,2,5,0,6,4,2,0,0,4,0,0,0,42,33,0
109,17690.7652363184,960.295087064677,6,173,0,371,1,4,0,3,0,0,0,0,0,1,0,0,34,0,0
110,17891.3888287508,995.486685429747,6,104,0,557,1,4,0,3,10,0,0,0,4,5,0,0,18,44,0
111,18391.4704699673,1662.83915556673,10,55,0,414,2,0,0,6,4,1,0,0,3,2,0,0,25,0,0
112,18969.3223702093,1804.73063332427,14,119,0,234,1,1,0,3,1,0,0,0,0,3,0,0,31,0,0
113,19056.3261003386,1545.64250538627,32,422,0,1106,3,6,0,17,8,3,0,0,4,34,0,0,47,3,0
114,19250.606423886,1127.95227324135,2,269,0,697,2,1,0,10,2,1,0,0,0,26,0,0,11,2,0
115,19410.9449307075,983.048140043764,1,165,0,379,0,3,0,6,0,2,0,0,0,14,0,0,23,3,0
116,20744.7679334917,1782.6325415677,4,49,0,332,2,2,0,13,9,0,0,0,3,1,0,4,6,1,0
117,20986.5704989154,967.139190166305,6,70,0,168,0,0,0,1,10,0,0,0,3,3,0,0,19,0,0
118,21265.8064688586,1782.26196204223,15,41,0,609,3,0,0,19,1,3,0,0,4,3,0,1,25,34,0
119,21330.4073544433,1594.89152196118,8,115,0,674,55,4,0,2,0,0,0,0,3,12,0,1,137,2,0
120,21623.7107347719,1744.61513247747,11,39,0,609,21,0,0,4,18,1,0,0,4,3,0,0,51,6,0
121,21666.4001762891,1483.04671661525,9,28,0,222,2,0,0,39,2,0,0,0,5,3,0,3,34,23,0
122,22183.0493474715,1547.37724306688,11,36,0,160,2,1,0,18,4,0,0,0,6,9,0,7,12,87,0
123,22377.6260069045,1668.52896049099,4,27,0,171,3,1,0,10,4,1,0,0,2,0,0,0,59,7,0
124,23110.9674897119,1422.28436213992,7,55,0,205,8,12,0,8,3,0,0,0,5,1,0,0,80,0,0
125,23272.1542362768,1047.23806682578,44,23,0,187,46,0,0,14,8,74,0,0,12,1,0,0,7,7,0
127,25280.1012280119,1591.94888815134,3,143,0,356,3,0,0,7,1,1,0,0,0,2,0,0,1,0,0
128,26562.341554559,1063.9740284006,18,220,0,665,0,7,0,7,2,0,0,0,6,10,0,1,36,16,0
