cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF
1,716.62296091105,845.333641120345,2,259,0,505,1,2,0,0,4,2,0,1,4,26,0,0,15,0,0
4,1991.22121517288,358.528029540114,2,182,0,374,1,0,0,0,5,0,0,3,1,6,0,2,3,1,0
5,2264.76065162907,489.067355889724,5,147,0,360,0,1,0,0,2,1,0,2,1,20,0,1,17,1,0
6,2290.78224172856,402.836596893991,4,127,0,237,1,1,0,1,5,0,0,1,0,6,0,0,18,0,0
7,3141.82270742358,171.022416302766,8,247,0,325,8,1,0,9,3,3,0,6,2,16,0,5,6,0,0
8,3233.99631384939,413.307003686151,3,159,0,449,1,1,0,1,63,10,0,11,4,6,0,2,23,15,0
9,3616.40236131934,462.109070464768,1,254,0,624,4,6,0,4,17,11,0,4,1,87,0,0,15,4,0
11,3925.58854886476,414.167028627838,0,158,0,599,0,0,0,3,11,0,0,0,9,4,0,0,14,2,0
12,4085.54256187109,361.54147402774,16,134,0,765,0,1,0,2,2,5,0,0,1,9,0,1,5,31,0
13,4544.28196248196,601.386435786436,5,201,0,287,2,1,0,13,3,2,0,1,7,8,0,5,5,93,0
14,5221.23753867308,401.937091784118,1,157,0,247,2,4,0,5,3,1,0,1,0,10,0,1,8,9,0
16,6878.07515337423,802.438036809816,4,197,0,352,2,1,0,0,0,3,0,1,0,37,0,0,20,0,0
17,7569.39492031872,478.072875166003,1,211,0,498,0,2,0,2,0,5,0,1,3,4,0,0,76,2,0
18,7684.10532302093,281.587807097361,1,152,0,505,0,3,0,0,2,1,0,4,4,7,0,0,10,1,0
19,8821.69870362092,547.993071077336,10,358,0,691,1,4,0,1,2,2,0,0,1,41,0,0,20,6,0
21,9246.261394838,797.998901702361,4,116,0,453,2,0,0,0,11,5,0,2,5,4,0,1,16,5,0
22,10092.1000951022,877.058012363291,7,169,0,460,0,0,0,0,4,2,0,5,3,31,0,3,9,0,0
23,10519.684624018,819.453049008605,0,100,0,411,1,0,0,2,6,2,0,3,0,9,0,0,0,1,0
26,12415.7415899267,978.835745160684,0,276,0,643,3,0,0,2,0,2,0,0,0,91,0,0,16,0,0
27,12666.1729484095,481.000534616413,1,183,0,482,3,1,0,1,14,6,0,8,6,7,0,0,28,8,0
29,15007.7311527722,133.560430793777,2,166,0,289,0,0,0,0,1,0,0,0,0,13,0,0,8,1,0
30,15162.4393290507,774.556031406138,0,48,0,80,0,0,0,1,0,0,0,0,1,6,0,0,5,0,0
31,15773.6886227545,566.193377949982,0,56,0,204,0,1,0,0,0,0,0,1,0,0,0,3,14,0,0
32,16591.5539052497,610.15390524968,4,123,0,350,0,0,0,1,0,0,0,0,1,0,0,0,46,24,0
33,16848.5675675676,165.338364338364,2,152,0,232,0,0,0,0,1,0,0,0,0,9,0,0,6,0,0
35,17868.9266055046,569.009766203019,1,245,0,441,0,0,0,3,1,2,0,1,0,18,0,0,7,0,0
36,18089.5925404645,892.523926812104,11,143,0,448,0,0,0,0,0,0,0,2,0,0,0,1,10,44,0
37,19481.5825418363,831.861601085482,1,153,0,221,2,0,0,6,0,1,0,1,0,0,0,0,15,0,0
39,20319.551387847,828.970742685671,4,209,0,958,0,1,0,1,0,5,0,1,0,3,0,0,9,1,0
40,20756.8924750044,331.885634099281,1,268,0,1463,2,3,0,2,2,7,0,6,1,7,0,1,64,6,0
41,21043.8519313305,945.24034334764,1,115,0,526,0,0,0,0,0,3,0,0,1,0,0,0,17,0,0
42,21274.2670239596,492.693253467844,1,85,0,204,4,2,0,5,2,2,0,1,2,1,0,0,9,5,0
43,21368.7369139736,945.367319071461,0,162,0,534,1,0,0,2,1,1,0,0,2,54,0,1,19,23,0
45,21518.8359020852,327.411000302206,2,194,0,412,0,0,0,0,3,1,0,1,0,39,0,0,12,3,0
46,21520.3618817853,878.088540410133,2,68,0,750,2,2,0,0,2,9,0,2,2,3,0,0,30,2,0
47,22766.7761617595,514.806669031571,1,139,0,271,2,3,0,5,7,2,0,2,0,12,0,0,5,0,0
48,23448.1175,875.099375,1,86,0,435,1,1,0,1,1,0,0,0,1,0,0,0,5,11,0
49,23732.6612625043,179.253535701966,1,164,0,401,2,0,0,9,0,2,0,0,4,42,0,1,3,0,0
50,24151.5397794407,507.171524222135,0,144,0,244,0,1,0,4,0,0,0,3,2,74,0,0,20,54,0
52,25328.5440371991,590.264496717724,2,149,0,400,2,0,0,5,1,1,0,2,2,3,0,2,7,29,0
53,25551.0804405075,409.758678477376,1,187,0,543,3,2,0,4,4,0,0,1,3,7,0,1,11,2,0
54,25554.3120024495,580.441212492345,5,202,0,602,2,0,0,7,2,3,0,7,1,6,0,1,16,2,0
56,27138.4649068323,327.710248447205,6,203,0,490,0,1,0,5,7,0,0,1,4,27,0,0,21,0,0
57,27848.6291653443,618.131386861314,3,217,0,446,5,0,0,11,7,1,0,2,3,12,0,0,23,21,0
58,28576.6050030883,409.663063619518,6,171,0,451,0,0,0,14,3,1,0,2,1,5,0,1,9,1,0
60,28687.0868362832,29.5608407079646,2,111,0,302,1,0,0,3,1,0,0,2,1,17,0,2,8,2,0
61,28811.8019535197,301.920175143146,3,29,0,64,1,0,0,5,2,0,0,0,9,3,0,7,8,2,0
63,29579.0428571429,343.024829931973,1,136,0,157,0,1,0,1,3,0,0,0,0,8,0,1,6,0,0
64,29831.2852173913,736.160869565217,1,167,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
65,29898.0221392371,820.017071218992,1,204,0,10,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
66,30401.3399689762,938.655118924509,1,261,0,303,0,1,0,0,0,0,0,0,0,40,0,0,2,3,0
67,30961.7260726073,603.742574257426,0,139,0,327,0,0,0,2,2,1,0,2,0,13,0,0,7,0,0
68,31183.5278419297,970.020785219399,2,208,0,495,2,1,0,1,0,1,0,0,0,10,0,1,15,2,0
69,31371.875979465,277.837341259119,1,303,0,631,8,6,0,22,12,5,0,7,6,75,0,0,31,1,0
70,31561.9569339112,821.89707475623,0,17,0,166,0,0,0,2,0,0,0,1,0,2,0,0,6,3,0
71,31792.4355628059,211.709624796085,0,71,0,268,4,0,0,6,6,2,0,0,4,64,0,0,17,0,0
72,354.674733096085,1646.44650059312,2,66,0,169,1,2,0,0,8,1,0,0,1,8,0,2,23,3,0
73,451.823370055987,995.480585154416,4,48,0,86,0,0,0,0,0,0,0,0,0,11,0,0,5,1,0
74,1142.59994361432,1071.61347617705,1,74,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
77,2534.83674717212,1544.34760012229,0,134,0,310,0,0,0,1,4,1,0,0,3,33,0,1,7,4,0
78,2892.91980360065,1569.6464811784,4,170,0,320,1,0,0,2,1,0,0,1,1,26,0,0,4,0,0
79,3264.63797533402,1489.73304213772,0,162,0,330,0,0,0,0,2,0,0,0,0,35,0,0,2,1,0
80,3310.93129770992,1041.32230703986,10,394,0,1092,0,4,0,0,6,3,0,7,3,29,0,3,22,20,0
81,3365.86058758315,1599.46618625277,0,278,0,472,0,1,0,0,1,4,0,1,0,18,0,4,10,0,0
82,4262.1773359841,1073.88667992048,1,152,0,225,1,3,0,2,1,2,0,0,0,8,0,0,2,2,0
83,5390.22582759751,1067.40675188463,0,188,0,235,4,2,0,4,10,3,0,0,25,4,0,0,39,31,0
84,5430.50540315877,1871.21529509559,4,126,0,431,1,1,0,0,4,3,0,7,1,4,0,2,22,99,0
85,5687.24227093873,1016.36087689713,1,96,0,215,0,1,0,0,1,0,0,2,1,0,0,2,5,3,0
86,6062.23190702588,1754.05018489171,5,260,0,256,0,2,0,0,1,1,0,1,2,13,0,0,15,2,0
87,6624.41169635941,1812.96553059644,0,132,0,173,0,1,0,0,6,2,0,0,0,3,0,0,13,0,0
89,6918.18218047253,1496.35752917734,2,239,0,542,0,2,0,0,0,7,0,0,0,59,0,0,8,1,0
90,8271.00404653515,1523.94309559939,3,143,0,302,2,0,0,1,30,0,0,2,13,1,0,1,1,0,0
91,8884.70541189016,1386.82644628099,5,226,0,389,4,1,0,0,6,10,0,1,4,41,0,2,10,3,0
92,9311.29696745562,1166.74963017751,1,122,0,87,0,1,0,0,5,4,0,0,7,29,0,0,5,1,0
93,9445.41896435777,1195.05447209146,1,156,0,27,0,0,0,0,0,1,0,0,0,24,0,0,7,0,0
94,9517.66329787234,1734.76622340426,1,68,0,147,0,2,0,2,2,1,0,10,7,0,0,1,16,0,0
98,11814.6382214858,1280.12841756421,0,204,0,388,6,2,0,3,7,5,0,2,0,0,0,1,0,0,0
99,12473.8627680312,1852.25964912281,2,226,0,353,3,4,0,3,3,1,0,0,0,16,0,0,5,1,0
100,14247.0496604414,1059.28225806452,0,161,0,372,4,1,0,1,2,5,0,2,2,11,0,0,8,16,0
101,15001.3781276963,1685.16522864538,0,57,0,166,1,0,0,5,1,0,0,2,2,7,0,2,0,46,0
102,15180.8797752809,1580.78707865169,1,80,0,181,3,4,0,13,1,0,0,2,0,1,0,0,5,1,0
103,15849.87290663,1092.94838265657,0,193,0,735,0,0,0,1,0,2,0,0,0,6,0,0,32,0,0
105,18848.7074041035,1430.08117752007,0,219,0,544,1,0,0,4,0,1,0,0,1,109,0,0,1,0,0
106,19030.2766379881,1596.08272667108,1,266,0,470,2,2,0,1,4,0,0,2,2,94,0,0,1,0,0
107,19175.7493801259,1805.34236124356,0,148,0,462,0,1,0,4,0,1,0,0,0,21,0,0,6,0,0
108,19404.9687347338,1804.32144601856,0,111,0,331,0,0,0,2,0,0,0,2,0,17,0,0,6,0,0
109,19678.2566269689,1507.53745678064,2,191,0,497,0,0,0,2,1,1,0,0,1,54,0,0,12,2,0
110,20534.385362891,1109.56756756757,3,177,0,361,1,0,0,3,3,1,0,1,1,28,0,0,16,2,0
111,20605.518707483,1694.97902494331,1,95,0,231,0,0,0,2,1,1,0,3,1,7,0,1,2,43,0
112,20953.6240500671,1806.52302190434,3,88,0,305,3,2,0,4,3,3,0,3,2,0,0,2,8,0,0
113,21046.5530487805,1784.10640243902,2,119,0,341,3,1,0,2,1,0,0,3,1,4,0,0,11,0,0
114,21724.5997304582,1870.03908355795,0,79,0,198,0,0,0,6,0,1,0,0,7,19,0,0,39,3,0
116,23492.0741626794,1474.07974481659,2,236,0,426,1,2,0,11,10,1,0,1,0,10,0,0,4,1,0
117,23734.8132260947,1717.08459934465,1,44,0,212,5,0,0,10,3,1,0,20,4,5,0,0,11,2,0
119,24064.9019148105,1105.77999218445,0,121,0,448,0,1,0,1,0,0,0,0,1,22,0,0,6,0,0
121,25132.5606497249,1694.69426250982,0,49,0,167,0,1,0,0,0,1,0,0,2,3,0,1,3,10,0
122,25185.0744255004,1437.34469977761,20,273,0,1007,10,0,0,0,2,4,0,0,1,12,0,0,44,6,0
123,25614.5523171087,1099.54707082483,2,288,0,714,2,2,0,11,4,4,0,3,4,45,0,0,26,0,0
124,25786.5374191561,1469.16630736064,6,162,0,458,2,2,0,10,10,4,0,3,4,25,0,0,15,2,0
125,25999.4184711714,1815.87685885729,1,103,0,329,1,0,0,2,1,0,0,1,1,13,0,0,3,0,0
126,26114.2958728388,1742.44450641383,0,115,0,306,1,0,0,1,3,0,0,1,0,12,0,0,3,0,0
127,26153.3593174975,1000.18835731014,1,134,0,278,2,2,0,2,0,1,0,0,1,14,0,1,3,1,0
128,26738.882527881,1063.7156133829,0,176,0,455,3,1,0,12,3,0,0,5,0,69,0,0,15,5,0
129,26812.0293291732,1407.88611544462,1,71,0,268,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0
130,27709.0420954163,1826.41206735267,1,86,0,248,1,0,0,7,2,1,0,5,3,0,0,4,32,1,0
131,28079.1868512111,1445.29488658208,5,53,0,129,3,0,0,11,27,1,0,4,22,2,0,1,23,1,0
132,28380.7158891617,1531.24780778674,3,359,0,483,4,1,0,9,22,4,0,3,7,18,0,2,21,1,0
133,28792.1197749196,1833.68837084673,1,143,0,601,1,0,0,1,1,1,0,0,0,40,0,0,2,0,0
134,28945.2544019429,1155.69368548877,1,170,0,474,0,1,0,6,3,0,0,0,0,0,0,0,1,0,0
135,29508.2484356895,1260.52931633835,17,208,0,681,3,3,0,14,6,5,0,2,0,2,0,1,2,1,0
137,31470.5856219709,969.715670436187,0,55,0,102,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
138,31580.7216567217,1658.88627588628,1,119,0,182,1,0,0,2,1,0,0,1,2,22,0,0,12,1,0
139,31979.0476641414,1165.5422979798,3,160,0,56,1,0,0,1,5,1,0,1,2,21,0,0,24,3,0
140,32291.9559672762,1098.24590952839,14,160,0,337,5,1,0,2,7,4,0,7,8,6,0,0,130,8,0
141,523.8963883955,2684.3883955003,1,238,0,521,4,1,0,0,7,1,0,2,3,14,0,0,7,5,0
142,814.906432748538,2622.27173489279,7,349,0,1001,4,3,0,1,11,7,0,7,6,43,0,4,14,1,0
143,1140.88235294118,2024.92174851592,1,232,0,426,1,0,0,0,0,0,0,1,0,38,0,0,10,14,0
144,1192.82712539096,2430.74864941712,0,126,0,361,2,0,0,0,1,4,0,5,1,1,0,0,28,35,0
145,1628.64417744917,2287.04205175601,5,238,0,631,2,4,0,2,4,0,0,5,0,11,0,1,20,12,0
146,1969.27114624506,2244.81449275362,3,85,0,117,1,0,0,1,2,1,0,1,3,8,0,1,7,0,0
147,2022.75824561404,2585.20456140351,2,161,0,279,1,0,0,0,4,0,0,3,2,2,0,1,18,5,0
150,4377.71678832117,2496.49751824818,2,252,0,457,1,1,0,1,1,1,0,2,0,49,0,0,13,2,0
151,4541.22686230248,2527.94864559819,0,122,0,448,2,2,0,1,2,4,0,1,0,3,0,0,17,6,0
152,4703.00762195122,2090.79039634146,0,20,0,60,0,0,0,1,0,1,0,2,1,3,0,4,0,5,0
154,7576.41801385681,2491.69053117783,3,136,0,390,1,0,0,0,2,2,0,1,1,8,0,0,0,0,0
155,7711.96250768285,2592.43208358943,1,140,0,365,0,0,0,1,6,1,0,1,3,9,0,2,0,1,0
156,8864.0611150822,2002.1962115797,3,216,0,452,1,1,0,1,1,1,0,0,0,43,0,0,17,0,0
157,9016.16357440364,2446.02423324498,2,91,0,145,0,0,0,0,1,0,0,0,1,9,0,0,2,0,0
159,9530.80759760816,2795.97045374604,4,71,0,197,0,1,0,3,1,1,0,0,0,1,0,0,13,9,0
160,10136.6778152808,2133.98220312979,1,93,0,285,0,0,0,0,3,1,0,0,0,11,0,0,5,10,0
161,10261.4071301248,2122.82459893048,0,155,0,471,0,0,0,0,5,2,0,1,0,13,0,1,10,27,0
162,10337.9004211048,2605.34208570721,6,214,0,487,1,1,0,5,4,1,0,0,4,3,0,3,17,0,0
164,11583.7860148916,2755.34703787634,5,196,0,494,3,1,0,0,6,5,0,2,1,22,0,0,10,1,0
165,12221.4599006388,2021.67459190916,0,78,0,463,1,0,0,0,4,3,0,0,1,3,0,0,13,3,0
166,12746.9787290614,2365.09758043074,6,189,0,452,2,2,0,0,14,3,0,0,1,19,0,0,5,2,0
