Xpos,Ypos,APCDD1,EGFR,MAP1B,GAPDH
3909.16651362106,921.743189470462,114,21,10,305
4272.83915066899,833.888307155323,184,13,6,393
4782.35304150085,652.676520750426,27,12,2,248
7650.28274932615,875.814285714286,3,2,1,30
7668.77922077922,962.852813852814,63,27,9,186
7735.98265124555,862.181049822064,9,7,2,97
8491.01780185758,799.629772961816,39,24,1,314
8620.18734630002,325.958640733289,82,27,15,493
8625.18405410945,599.984218077475,49,17,4,491
8702.96804162022,71.3952062430323,73,49,14,1129
8740.13075807037,192.817011244106,67,64,11,1138
8919.71782762692,747.085005903188,93,17,7,482
9077.73733804476,441.366313309776,87,55,17,1697
9556.34299116998,871.884657836645,101,38,7,585
9671.40931636834,435.074401552728,98,52,11,617
10060.388425153,890.727323316639,32,29,3,324
12553.6016359918,25.6977505112474,76,30,17,629
12679.3908227848,224.741410488246,121,25,10,1044
12828.9292389853,507.243658210948,212,37,24,1141
13001.4964902808,636.406587473002,85,31,4,454
13119.8311897106,328.519292604502,57,47,30,909
13219.691921497,20.1802829758101,37,19,32,463
13453.9653928844,581.832859421596,85,81,18,1597
13647.5868902439,57.5835365853659,85,30,41,628
13691.5604367699,172.72219400711,85,40,44,902
14738.7425191371,8.38065414057063,3,1,0,18
14924.6701639344,76.5101639344262,42,16,5,325
14813.8796844181,77.4404057480981,14,8,0,99
14813.4825888788,305.486964448496,29,1,0,138
14831.7923151751,495.838521400778,1,0,0,1
16854.0592705167,8.97340425531915,19,3,4,101
17476.178142514,236.950960768615,204,48,11,437
18086.4322460886,73.1556616282153,93,25,4,345
18217.7832970059,644.818974417804,92,96,11,157
18788.6335744575,230.660763282614,155,40,13,621
18845.9020995518,140.429110639302,128,45,37,796
18986.9354518371,470.772481518261,78,33,45,2001
19122.870602565,508.598839292112,46,55,44,2326
19202.935499515,15.4030067895247,12,12,9,577
19594.1992054484,534.930571320469,44,12,7,234
20944.7831732616,178.008374951978,246,73,43,1540
21212.8439697838,946.343839541547,19,26,29,1352
21288.3603417796,195.762374779022,92,67,14,1971
22261.3877495586,522.484041830775,32,34,11,1045
22487.155277697,811.011049723757,7,11,10,289
22557.3721524872,531.171780567178,16,18,8,492
22593.9752105897,133.671961492178,96,43,30,778
23278.1090909091,28.844019138756,83,28,12,420
23302.9014145811,267.691403699674,164,50,17,896
23709.5068216271,80.0103587670541,79,30,39,650
23909.9177477945,567.077322262584,162,162,33,227
23981.7445830597,765.58913328956,73,53,8,702
23981.134525447,269.312242090784,100,67,19,307
24968.951644837,1025.97730734085,175,150,9,2619
25173.7233577336,293.459834585037,23,90,18,1596
25500.8035291331,527.045120795831,17,108,23,1194
26136.3492927095,784.707290533188,33,37,4,654
27048.6260504202,435.338735494198,342,31,11,795
27590.538560082,467.513451191391,93,12,8,305
28205.7148625264,49.8871370890213,118,35,20,928
28387.2594866071,373.187686011905,162,23,29,943
28783.5151650312,871.046089800773,11,30,3,451
28855.6625680087,1189.31882480958,45,24,0,275
29053.9989386542,698.716832944173,7,22,7,218
29482.8506745941,506.471987194146,55,33,32,913
29918.3574344023,718.70612244898,38,8,5,380
29915.3546881629,20.5871871022486,47,17,2,396
30099.4194659776,879.337209302326,24,2,4,253
30130.1684526361,749.108444063438,18,9,6,275
30297.5526850508,93.721915820029,148,23,23,877
31006.0223989952,472.100062800921,95,47,7,778
31005.5638230979,641.260951582477,43,10,9,651
31555.0398648649,389.821283783784,147,83,30,1674
31599.9126849382,896.917050691244,64,18,3,603
31701.4056731202,716.266321476812,30,18,1,519
31970.997624269,592.99634502924,82,26,20,670
32104.0284195086,251.060322698937,195,71,27,1281
32240.514556755,513.68171409879,123,57,23,1338
32609.4568296026,360.103700319781,38,24,0,309
33116.6052240486,968.505336635893,187,111,19,1936
33722.7435623952,162.120219411854,292,72,14,1596
33797.4860476915,54.8702435312024,227,50,7,809
34538.7064833736,963.220509009846,119,52,11,934
34841.0683945284,878.128509719223,34,54,11,629
35320.8273914578,231.246205435934,37,30,16,730
35430.8586913678,443.451517540402,82,84,22,1228
35599.0792722547,862.583820662768,31,32,1,189
35905.8226737968,217.646203208556,120,115,12,802
36048.7467997396,528.725970926448,81,75,5,444
104.414249363868,1175.28753180662,3,2,1,29
449.536742424242,1451.84621212121,23,82,37,591
1639.1638975424,1721.64832121841,16,5,5,551
1730.64019946298,1069.34023782125,169,46,29,1295
2081.59382422803,1478.53206650831,55,26,13,635
2105.42747187685,1278.89855930531,31,42,16,686
2295.62550490479,1347.92238892095,42,20,12,509
2440.41264031235,1690.99487554905,21,27,19,525
2482.8770212766,1376.23234042553,148,37,15,795
2627.56994279771,1763.70280811232,43,29,19,707
