Xpos,Ypos,APCDD1,EGFR,MAP1B,GAPDH
100.154413514157,952.470378301213,0,32,2,269
1072.5137354857,104.620787312376,25,42,28,1290
1253.94461538462,10.8907692307692,10,12,3,596
1432.64411027569,565.042606516291,0,3,16,687
1447.68109339408,438.483566547348,0,6,4,996
1482.16433616837,137.068761712556,5,26,22,1209
1582.35904463587,64.445967110415,4,17,27,846
2140.60135135135,916.118484555985,15,6,4,163
2268.63494902522,962.11446968342,42,46,33,749
2797.67092044529,895.641053489004,47,4,5,741
4157.33328866256,663.610962208523,21,38,2,894
4983.12337788108,571.09161340306,4,34,9,885
5604.26100258884,223.691927512356,30,61,33,1732
5740.99553072626,418.088966480447,49,30,7,933
5863.80633373934,757.057450263906,8,16,4,488
5852.94893310957,507.173099976025,51,31,12,1019
5901.96475449684,176.389158969373,60,50,40,1905
6021.81738403677,928.446301713331,17,52,26,1392
6121.6758008198,643.329284955215,19,40,6,1386
6544.15663922314,671.727886848216,7,4,1,319
6533.79409956976,665.241548862938,21,20,7,575
6635.96161965074,259.114949146037,28,25,6,857
6866.08731770353,253.063872992431,46,40,20,973
6948.25972083749,486.360917248255,7,31,12,994
6970.46793516561,954.592670894996,8,23,22,1348
6982.17087967644,395.146865520728,8,17,10,784
7013.27078021418,848.507394186639,4,8,5,778
7063.66296783901,142.651871356028,10,61,33,1196
7226.56359649123,727.514692982456,15,16,4,1066
7247.2097329888,407.184969853575,12,26,3,526
7440.67674934463,877.202460173422,12,8,9,377
7544.51735150096,528.820310836704,15,21,0,532
8042.85689948893,684.512350936968,13,97,14,1669
8347.56478117973,478.464452516866,1,20,13,1183
8525.15732600733,665.504761904762,6,29,3,697
8639.22084586799,932.65616705008,7,36,10,1017
9402.70250696379,238.516805942433,14,160,7,1029
10414.3407094843,944.388499092292,1,38,2,270
10338.5346570726,946.155478641042,2,35,3,223
10451.1635789474,51.9730526315789,11,27,5,496
10491.3579133163,943.856736615023,0,12,2,313
10568.3976261128,1003.22527200791,14,17,8,1676
10910.1863013699,618.922557077626,20,27,3,435
11002.1681739661,257.72025200691,21,91,25,1286
11154.8030392737,474.637260706532,8,29,15,817
12127.2066375546,745.136244541485,1,1,1,37
12107.1548507463,720.807213930348,2,4,2,227
12150.0561674009,771.111233480176,1,13,3,186
12395.3758348512,46.1238615664845,19,14,8,1078
12541.178582727,101.009807023094,21,16,18,1512
13061.8999348346,395.02577655492,122,88,11,2242
13299.5736187716,740.009628867907,6,27,4,605
13788.6188972553,1251.12241923731,6,9,1,162
13927.9575289575,482.739261583012,27,32,12,1371
13920.7573169024,260.629043551323,82,35,10,1074
14127.1794871795,135.070741758242,138,42,20,1021
14497.843953186,156.8918508886,94,86,121,1437
14530.268459069,861.606340288925,0,5,5,178
15087.3613431055,135.966251917505,34,87,14,1393
15675.1232227488,11.6261848341232,37,27,3,640
15726.8172678888,238.736842105263,25,30,6,624
15860.4618735182,130.117053536969,75,62,32,1168
16260.4830659537,45.5958747135218,21,17,38,800
16316.7648083624,185.821666138739,43,124,35,1092
16489.5846194088,571.267067747842,5,41,5,583
16644.9266630805,250.73032096109,43,76,11,1400
16676.1589024872,510.407619423608,11,24,10,560
16872.653256705,34.60312899106,12,17,6,430
16970.4967915545,752.31836058787,1,18,1,402
17034.8711389047,240.108963426189,44,33,22,1237
17093.0139959432,500.691480730223,8,43,6,725
17266.1719084472,49.0788737032768,19,39,17,994
17511.0566318927,573.053278688525,8,2,3,206
17603.3341508277,522.817903126916,4,1,2,152
18016.6339026748,45.2616822429907,13,36,12,553
18139.8926664793,383.143298679404,9,18,8,567
19006.7913508694,313.166295140437,98,37,6,435
19067.4684914067,197.187778485041,168,36,13,1049
19098.3053536021,257.855584930601,157,46,7,658
19180.7032594524,134.138722294654,68,57,6,757
19439.3175388154,297.277170787809,14,16,12,684
19456.3790421613,672.089848546869,84,28,7,1100
19591.4738078459,164.808550622504,81,47,9,1089
19445.5771420438,291.48975234842,26,8,2,477
19466.4707086211,668.746482476337,37,12,2,511
19574.3642113457,857.193733579839,41,21,6,983
19585.2785987958,175.78507571611,58,39,2,651
20012.1671701913,544.104229607251,13,58,2,859
20091.0737115767,389.973237498088,30,67,7,1273
20218.2239367708,519.876176138502,16,31,7,769
20812.3373513602,526.447141228213,11,46,2,899
21301.9150382328,55.5267629566695,40,47,5,848
21578.5012383311,556.573442560488,54,40,24,1342
21902.03827318,416.655335610519,45,248,30,2463
21861.6627086008,708.354300385109,12,32,5,660
22164.4160498637,740.780872613946,13,54,1,791
22382.9673728814,883.611440677966,7,16,12,826
22605.7107284152,848.91040260647,7,15,0,660
24784.3121085595,28.1544885177453,7,16,8,486
24899.3039906103,669.738654147105,7,54,13,401
24955.1381297639,457.16174010039,13,58,11,922
25317.9007302151,490.870436155516,23,96,10,1717
25991.8805323429,420.483132157227,42,37,11,946
26282.3608333333,372.618541666667,12,31,10,582
26626.1537376587,685.971967559944,64,52,8,926
26655.2175905718,554.467372326495,77,71,20,1325
26644.395081529,821.544774124566,24,6,7,381
26684.1104737232,283.799962990377,20,46,17,1045
26794.4301994302,54.7077737077737,29,23,6,855
27251.789233433,692.854819245501,12,70,8,1955
28244.804706116,345.471405877681,164,92,59,2065
28262.2473929087,752.386651692604,2,56,3,511
28287.0925756187,680.611976779713,4,41,5,598
28690.8266771902,792.91728492502,5,7,3,222
28696.6229817572,792.551687984903,2,1,1,181
28760.8086463501,117.975194897236,25,101,5,1181
28770.5613903476,359.840210052513,2,28,3,999
28912.7936799078,96.2616077979247,30,129,13,1508
29046.5586008875,788.42364917776,1,37,4,532
29108.5863941233,858.291600127755,3,64,5,1179
29366.2851851852,705.039300411523,4,46,1,1030
29478.1953445209,775.995127987008,3,49,4,988
29468.0273381295,53.6151079136691,19,12,39,1138
29519.4691537042,303.880174004746,22,103,22,1729
29987.2330120482,377.118554216867,23,14,5,340
30017.2407994151,221.202534730685,35,16,9,501
30179.5420951157,757.492448586118,10,40,0,612
30438.3227688635,171.345047075985,17,49,12,892
31090.7076774815,478.52200449727,14,16,5,554
31193.709736681,616.356705450092,11,4,5,367
